"astro-ph/0212003","Alan Kostelecky","Alan Kostelecky, Ralf Lehnert, and Malcolm Perry","Spacetime-varying couplings and Lorentz violation","4 pages","Phys.Rev.D68:123511,2003","10.1103/PhysRevD.68.123511","IUHET 452","astro-ph hep-ph",,"  Spacetime-varying coupling constants can be associated with violations of
local Lorentz invariance and CPT symmetry. An analytical supergravity cosmology
with time-varying fine-structure constant provides an explicit example.
Estimates are made for some experimental constraints.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 19:35:11 GMT""}]","2009-09-25"
"hep-th/0212004","Laxmidhar Maharana","B. B. Deo and L. Maharana","Derivation of Einstein Equation from a New Type of four Dimensional
  Superstring","7pages","Grav.Cosmol. 10 (2004) 195-200",,,"hep-th",,"  A new type of superstring in four dimension is proposed which has the central
charge 26. The Neveu Schwarz and the Ramond vacua are both tachyonic. The self
energy of the scalar tachyon cancels from the contribution of the fermionic
loop of the Ramond sector. The NS tachyonic vacuum is used to construct a
massless graviton. Coulombic vector excitations of zero mass, referred as a
`Newtonian' graviton are also shown to exist. The propagators are explicitly
evaluated. Following the method of Weinberg, we deduce the Einstein's field
equation of general relativity.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 08:09:01 GMT""},{""version"":""v2"",""created"":""Tue, 10 Dec 2002 09:06:38 GMT""},{""version"":""v3"",""created"":""Fri, 13 Dec 2002 12:43:48 GMT""},{""version"":""v4"",""created"":""Thu, 19 Dec 2002 05:36:33 GMT""},{""version"":""v5"",""created"":""Tue, 24 Dec 2002 02:49:45 GMT""},{""version"":""v6"",""created"":""Fri, 31 Jan 2003 16:29:06 GMT""},{""version"":""v7"",""created"":""Thu, 13 Feb 2003 11:03:16 GMT""},{""version"":""v8"",""created"":""Thu, 13 Mar 2003 09:09:12 GMT""}]","2007-05-23"
"hep-th/0212349","Edward Witten","Edward Witten","Singularities in string theory",,"Proceedings of the ICM, Beijing 2002, vol. 1, 495--504",,"ICM-2002","hep-th math.AG",,"  String theory is a quantum theory that reproduces the results of General
Relativity at long distances but is completely different at short distances.
Mathematically, string theory is based on a very new -- and little understood
-- framework for geometry that reduces to ordinary differential geometry when
the curvature is asymptotically small. In the 1990's, many interesting results
were obtained about the behavior of string theory in spacetimes that develop
singularities. In many cases, the physics at the singularity is governed by an
effective Lagrangian constructed using an interesting bit of classical geometry
such as the association of A-D-E groups with certain hypersurface singularities
or the ADHM construction of instantons. In other examples, the physics at the
singularity cannot be described in classical terms but involves a non-Gaussian
conformal field theory.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math-ph/0212001","Vadim Kostrykin","Vadim Kostrykin and Robert Schrader","Quantum wires with magnetic fluxes",,"Comm. Math. Phys. 237 (2003), 161 - 179","10.1007/s00220-003-0831-7",,"math-ph math.MP",,"  In the present article magnetic Laplacians on a graph are analyzed. We
provide a complete description of the set of all operators which can be
obtained from a given self-adjoint Laplacian by perturbing it by magnetic
fields. In particular, it is shown that generically this set is isomorphic to a
torus. We also describe the conditions under which the operator is
unambiguously (up to unitary equivalence) defined by prescribing the magnetic
fluxes through all loops of the graph.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 22:29:55 GMT""},{""version"":""v2"",""created"":""Tue, 15 Apr 2003 22:33:58 GMT""}]","2007-05-23"
"math-ph/0212079","Ludvig D. Faddeev","Ludvig D. Faddeev","Knotted solitons",,"Proceedings of the ICM, Beijing 2002, vol. 1, 235--244",,"ICM-2002","math-ph math.MP",,"  The dynamical model on 3+1 dimensional spacetime admitting soliton solutions
is discussed. The proposal soliton is localized in the vicinity of a closed
contour, which could be linked and/or knotted. The topological charge is Hopf
invariant. Some applications in realistic physical systems are indicated.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212001","Sergei Loktev","B. Feigin, S. Loktev","Multi-dimensional Weyl Modules and Symmetric Functions","LaTeX, 13 pages; more detail added. To appear at Comm. Math. Phys","Comm. Math. Phys. 251 (2004), no. 3, 427-445","10.1007/s00220-004-1166-8",,"math.QA math.RT",,"  The Weyl modules in the sense of V.Chari and A.Pressley [CP] over the current
Lie algebra on an affine variety are studied. We show that local Weyl modules
are finite-dimensional and generalize the tensor product decomposition theorem
from [CP].
  More explicit results are stated for currents on a non-singular affine
variety of dimension $d$ with coefficients in the Lie algebra $sl_r$. The Weyl
modules with highest weights proportional to the vector representation one are
related to the multi-dimensional analogs of harmonic functions. The dimensions
of such local Weyl modules are calculated in the following cases.
  For $d=1$ we show that the dimensions are equal to powers of $r$. For $d=2$
we show that the dimensions are given by products of the higher Catalan numbers
(the usual Catalan numbers for $r=2$). We finally formulate a conjecture for an
arbitrary $d$ and $r=2$.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 10:13:50 GMT""},{""version"":""v2"",""created"":""Mon, 13 Jan 2003 19:18:24 GMT""},{""version"":""v3"",""created"":""Thu, 11 Sep 2003 11:50:14 GMT""},{""version"":""v4"",""created"":""Fri, 5 Mar 2004 13:35:07 GMT""}]","2015-06-26"
"math/0212004","Julian Pfeifle","Julian Pfeifle and G\""unter M. Ziegler","Many Triangulated 3-Spheres","9 pages, 4 figures; Incorporated referee's comments; to appear in
  Math. Annalen",,,,"math.MG math.CO math.GT",,"  We construct 2^{\Omega(n^{5/4})} combinatorial types of triangulated
3-spheres on n vertices. Since by a result of Goodman and Pollack (1986) there
are no more than 2^{O(n log n)} combinatorial types of simplicial 4-polytopes,
this proves that asymptotically, there are far more combinatorial types of
triangulated 3-spheres than of simplicial 4-polytopes on n vertices. This
complements results of Kalai (1988), who had proved a similar statement about
d-spheres and (d+1)-polytopes for fixed d >= 4.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 16:23:23 GMT""},{""version"":""v2"",""created"":""Tue, 25 Nov 2003 00:38:24 GMT""}]","2007-05-23"
"math/0212005","Daowei Ma","Buma L. Fridman and Daowei Ma","Perturbation of domains and automorphism groups","14 pages",,,,"math.CV",,"  The paper is devoted to the description of changes of the structure of the
holomorphic automorphism group of a bounded domain in ${\Bbb C}^n$ under small
perturbation of this domain in the Hausdorff metric. We consider a number of
examples when an arbitrary small perturbation can lead to a domain with a
larger group, present theorems concerning upper semicontinuity property of some
invariants of automorphism groups. We also prove that the dimension of an
abelian subgroup of the automorphism group of a bounded domain in ${\Bbb C}^n$
does not exceed $n$.
","[{""version"":""v1"",""created"":""Sat, 30 Nov 2002 17:58:21 GMT""}]","2007-05-23"
"math/0212006","N. Hemachandra","N. Hemachandra and V. Cheriyan","Bounds for covariances and variances of truncated random variables","7 pages. Revised during October 2002",,,"02_2002","math.PR",,"  We show that a lower bound for covariance of $\min(X_1,X_2)$ and
$\max(X_1,X_2)$ is $\cov{X_1}{X_2}$ and an upper bound for variance of \\
$\min(X_2,\max(X,X_1))$ is $\var{X} + \var{X_1} +\var{X_2}$ generalizing
previous results. We also characterize the cases where these bounds are sharp.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 06:01:34 GMT""}]","2007-05-23"
"math/0212007","A. J. van Es","A.J. van Es and H.-W. Uh","Asymptotic Normality of Nonparametric Kernel Type Deconvolution Density
  Estimators: crossing the Cauchy boundary",,,,,"math.ST stat.TH",,"  We derive asymptotic normality of kernel type deconvolution density
estimators. In particular we consider deconvolution problems where the known
component of the convolution has a symmetric lambda-stable distribution,
0<lambda<= 2. It turns out that the limit behavior changes if the exponent
parameter lambda passes the value one, the case of Cauchy deconvolution.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 12:26:18 GMT""},{""version"":""v2"",""created"":""Thu, 22 May 2003 11:53:17 GMT""}]","2007-06-13"
"math/0212008","Julien Dubedat","Julien Dubedat","SLE and triangles","17 pages, 9 figures. Minor revisions, one additional section","Electr. Comm. Probab. 8 (2003), 28--42",,,"math.PR",,"  By analogy with Carleson's observation on Cardy's formula describing crossing
probabilities for the scaling limit of critical percolation, we exhibit
``privileged geometries'' for Stochastic Loewner Evolutions with various
parameters, for which certain hitting distributions are uniformly distributed.
Consequences for limiting probabilities of events concerning various critical
plane discrete models are then examined.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 14:03:10 GMT""},{""version"":""v2"",""created"":""Tue, 3 Jun 2003 08:50:46 GMT""}]","2007-05-23"
"math/0212009","Boaz Tsaban","Tomasz Weiss and Boaz Tsaban","Topological diagonalizations and Hausdorff dimension","Small updates","Note di Matematica 22 (2003), 83--92","10.1285/i15900932v22n2p83",,"math.LO math.CA math.CO math.DS math.GN",,"  The Hausdorff dimension of a product XxY can be strictly greater than that of
Y, even when the Hausdorff dimension of X is zero. But when X is countable, the
Hausdorff dimensions of Y and XxY are the same. Diagonalizations of covers
define a natural hierarchy of properties which are weaker than ``being
countable'' and stronger than ``having Hausdorff dimension zero''. Fremlin
asked whether it is enough for X to have the strongest property in this
hierarchy (namely, being a gamma-set) in order to assure that the Hausdorff
dimensions of Y and XxY are the same.
  We give a negative answer: Assuming CH, there exists a gamma-set of reals X
and a set of reals Y with Hausdorff dimension zero, such that the Hausdorff
dimension of X+Y (a Lipschitz image of XxY) is maximal, that is, 1. However, we
show that for the notion of a_strong_ gamma-set the answer is positive. Some
related problems remain open.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 14:03:34 GMT""},{""version"":""v2"",""created"":""Mon, 14 Apr 2003 20:11:34 GMT""},{""version"":""v3"",""created"":""Thu, 17 Jul 2003 01:26:03 GMT""},{""version"":""v4"",""created"":""Tue, 9 Nov 2004 17:51:43 GMT""},{""version"":""v5"",""created"":""Thu, 17 May 2007 18:32:53 GMT""}]","2010-08-02"
"math/0212390","Noga Alon","Noga Alon","Discrete mathematics: methods and challenges",,"Proceedings of the ICM, Beijing 2002, vol. 1, 119--135",,"ICM-2002","math.CO",,"  Combinatorics is a fundamental mathematical discipline as well as an
essential component of many mathematical areas, and its study has experienced
an impressive growth in recent years. One of the main reasons for this growth
is the tight connection between Discrete Mathematics and Theoretical Computer
Science, and the rapid development of the latter. While in the past many of the
basic combinatorial results were obtained mainly by ingenuity and detailed
reasoning, the modern theory has grown out of this early stage, and often
relies on deep, well developed tools. This is a survey of two of the main
general techniques that played a crucial role in the development of modern
combinatorics; algebraic methods and probabilistic methods. Both will be
illustrated by examples, focusing on the basic ideas and the connection to
other areas.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212391","Douglas N. Arnold","Douglas N. Arnold","Differential complexes and numerical stability",,"Proceedings of the ICM, Beijing 2002, vol. 1, 137--157",,"ICM-2002","math.NA",,"  Differential complexes such as the de Rham complex have recently come to play
an important role in the design and analysis of numerical methods for partial
differential equations. The design of stable discretizations of systems of
partial differential equations often hinges on capturing subtle aspects of the
structure of the system in the discretization. In many cases the differential
geometric structure captured by a differential complex has proven to be a key
element, and a discrete differential complex which is appropriately related to
the original complex is essential. This new geometric viewpoint has provided a
unifying understanding of a variety of innovative numerical methods developed
over recent decades and pointed the way to stable discretizations of problems
for which none were previously known, and it appears likely to play an
important role in attacking some currently intractable problems in numerical
PDE.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2014-01-29"
"math/0212392","Alberto Bressan","Alberto Bressan","Hyperbolic systems of conservation laws in one space dimension",,"Proceedings of the ICM, Beijing 2002, vol. 1, 159--178",,"ICM-2002","math.AP",,"  Aim of this paper is to review some basic ideas and recent developments in
the theory of strictly hyperbolic systems of conservation laws in one space
dimension. The main focus will be on the uniqueness and stability of entropy
weak solutions and on the convergence of vanishing viscosity approximations.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212393","Luis A. Caffarelli","Luis A. Caffarelli","Non linear elliptic theory and the Monge-Ampere equation",,"Proceedings of the ICM, Beijing 2002, vol. 1, 179--187",,"ICM-2002","math.AP",,"  The Monge-Ampere equation, plays a central role in the theory of fully non
linear equations. In fact we will like to show how the Monge-Ampere equation,
links in some way the ideas comming from the calculus of variations and those
of the theory of fully non linear equations.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212394","Sun-Yung Alice Chang","Sun-Yung Alice Chang, Paul C. Yang","Non-linear partial differential equations in conformal geometry",,"Proceedings of the ICM, Beijing 2002, vol. 1, 189--207",,"ICM-2002","math.DG",,"  In the study of conformal geometry, the method of elliptic partial
differential equations is playing an increasingly significant role. Since the
solution of the Yamabe problem, a family of conformally covariant operators
(for definition, see section 2) generalizing the conformal Laplacian, and their
associated conformal invariants have been introduced. The conformally covariant
powers of the Laplacian form a family $P_{2k}$ with $k \in \mathbb N$ and $k
\leq \frac{n}{2}$ if the dimension $n$ is even. Each $P_{2k}$ has leading order
term $(- \Delta)^k$ and is equal to $ (- \Delta) ^k$ if the metric is flat.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212395","David L. Donoho","David L. Donoho","Emerging applications of geometric multiscale analysis",,"Proceedings of the ICM, Beijing 2002, vol. 1, 209--233",,"ICM-2002","math.ST stat.TH",,"  Classical multiscale analysis based on wavelets has a number of successful
applications, e.g. in data compression, fast algorithms, and noise removal.
Wavelets, however, are adapted to point singularities, and many phenomena in
several variables exhibit intermediate-dimensional singularities, such as
edges, filaments, and sheets. This suggests that in higher dimensions, wavelets
ought to be replaced in certain applications by multiscale analysis adapted to
intermediate-dimensional singularities.
  My lecture described various initial attempts in this direction. In
particular, I discussed two approaches to geometric multiscale analysis
originally arising in the work of Harmonic Analysts Hart Smith and Peter Jones
(and others): (a) a directional wavelet transform based on parabolic dilations;
and (b) analysis via anistropic strips. Perhaps surprisingly, these tools have
potential applications in data compression, inverse problems, noise removal,
and signal detection; applied mathematicians, statisticians, and engineers are
eagerly pursuing these leads.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-06-13"
"math/0212396","Uffe Haagerup","Uffe Haagerup","Random matrices, free probability and the invariant subspace problem
  relative to a von Neumann Algebra",,"Proceedings of the ICM, Beijing 2002, vol. 1, 273--290",,"ICM-2002","math.OA",,"  Random matrices have their roots in multivariate analysis in statistics, and
since Wigner's pioneering work in 1955, they have been a very important tool in
mathematical physics. In functional analysis, random matrices and random
structures have in the last two decades been used to construct Banach spaces
with surprising properties. After Voiculescu in 1990--1991 used random matrices
to classification problems for von Neumann algebras, they have played a key
role in von Neumann algebra theory. In this lecture we will discuss some new
applications of random matrices to operator algebra theory, namely applications
to classification problems for $C^*$-algebras and to the invariant subspace
problem relative to a von Neumann algebra.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212397","Michael J. Hopkins","Michael J. Hopkins","Algebraic topology and modular forms",,"Proceedings of the ICM, Beijing 2002, vol. 1, 283--309",,"ICM-2002","math.AT",,"  Modular forms appear in many facets of mathematics, and have played important
roles in geometry, mathematical physics, number theory, representation theory,
topology, and other areas. Around 1994, motivated by technical issues in
homotopy theory, Mark Mahowald, Haynes Miller and I constructed a topological
refinement of modular forms, which we call {\em topological modular forms}. At
the Zurich ICM I sketched a program designed to relate topological modular
forms to invariants of manifolds, homotopy groups of spheres, and ordinary
modular forms. This program has recently been completed and new directions have
emerged. In this talk I will describe this recent work and how it informs our
understanding of both algebraic topology and modular forms.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212398","Harry Kesten","Harry Kesten","Some highlights of percolation",,"Proceedings of the ICM, Beijing 2002, vol. 1, 345--362",,"ICM-2002","math.PR",,"  We describe the percolation model and some of the principal results and open
problems in percolation theory. We also discuss briefly the spectacular recent
progress by Lawler, Schramm, Smirnov and Werner towards understanding the phase
transition of percolation (on the triangular lattice).
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212399","Laurent Lafforgue","Laurent Lafforgue","Chtoucas de Drinfeld, formule des traces d'Arthur-Selberg et
  correspondance de Langlands",,"Proceedings of the ICM, Beijing 2002, vol. 1, 383--400",,"ICM-2002","math.NT math.AG",,"  Cet expos\'e est consacr\'e \`a la preuve de la correspondance de Langlands
pour les groupes $\GL_r$ sur les corps de fonctions.
  -----
  This article is devoted to the proof of the Langlands correspondence for the
groups $GL_r$ over function fields.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212400","David Mumford","David Mumford","Pattern theory: the mathematics of perception",,"Proceedings of the ICM, Beijing 2002, vol. 1, 401--422",,"ICM-2002","math.NA math.ST stat.TH",,"  Is there a mathematical theory underlying intelligence? Control theory
addresses the output side, motor control, but the work of the last 30 years has
made clear that perception is a matter of Bayesian statistical inference, based
on stochastic models of the signals delivered by our senses and the structures
in the world producing them. We will start by sketching the simplest such
model, the hidden Markov model for speech, and then go on illustrate the
complications, mathematical issues and challenges that this has led to.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2009-09-29"
"math/0212401","Hiraku Nakajima","Hiraku Nakajima","Geometric construction of representations of affine algebras",,"Proceedings of the ICM, Beijing 2002, vol. 1, 423--438",,"ICM-2002","math.QA math.AG",,"  Let $\Gamma$ be a finite subgroup of $\SL_2(\C)$. We consider $\Gamma$-fixed
point sets in Hilbert schemes of points on the affine plane $\C^2$. The direct
sum of homology groups of components has a structure of a representation of the
affine Lie algebra $\ag$ corresponding to $\Gamma$. If we replace homology
groups by equivariant $K$-homology groups, we get a representation of the
quantum toroidal algebra $\Ut$. We also discuss a higher rank generalization
and character formulas in terms of intersection homology groups.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212402","Yum-Tong Siu","Yum-Tong Siu","Some recent transcendental techniques in algebraic and complex geometry",,"Proceedings of the ICM, Beijing 2002, vol. 1, 439--448",,"ICM-2002","math.CV math.AG",,"  This article discusses the recent transcendental techniques used in the
proofs of the following three conjectures. (1)~The plurigenera of a compact
projective algebraic manifold are invariant under holomorphic deformation.
(2)~There exists no smooth Leviflat hypersurface in the complex projective
plane. (3)~A generic hypersurface of sufficiently high degree in the complex
projective space is hyperbolic in the sense that there is no nonconstant
holomorphic map from the complex Euclidean line to it.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212403","Richard Taylor","Richard Taylor","Galois representations",,"Proceedings of the ICM, Beijing 2002, vol. 1, 449--474",,"ICM-2002","math.NT",,"  In the first part of this paper we try to explain to a general mathematical
audience some of the remarkable web of conjectures linking representations of
Galois groups with algebraic geometry, complex analysis and discrete subgroups
of Lie groups. In the second part we briefly review some limited recent
progress on these conjectures.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212404","Gang Tian","Gang Tian","Geometry and nonlinear analysis",,"Proceedings of the ICM, Beijing 2002, vol. 1, 475--493",,"ICM-2002","math.DG",,"  Nonlinear analysis has played a prominent role in the recent developments in
geometry and topology. The study of the Yang-Mills equation and its cousins
gave rise to the Donaldson invariants and more recently, the Seiberg-Witten
invariants. Those invariants have enabled us to prove a number of striking
results for low dimensional manifolds, particularly, 4-manifolds. The theory of
Gromov-Witten invariants was established by using solutions of the
Cauchy-Riemann equation. These solutions are often refered as
pseudo-holomorphic maps which are special minimal surfaces studied long in
geometry. It is certainly not the end of applications of nonlinear partial
differential equations to geometry. In this talk, we will discuss some recent
progress on nonlinear partial differential equations in geometry. We will be
selective, partly because of my own interest and partly because of recent
applications of nonlinear equations. There are also talks in this ICM to cover
some other topics of geometric analysis by R. Bartnik, B. Andrew, P. Li and
X.X. Chen, etc.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212405","Moti Gitik","Moti Gitik","The power set function",,"Proceedings of the ICM, Beijing 2002, vol. 1, 507--513",,"ICM-2002","math.LO",,"  We survey old and recent results on the problem of finding a complete set of
rules describing the behavior of the power function, i.e. the function which
takes a cardinal $\kappa$ to the cardinality of its power $2^\kappa$.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212406","W. Hugh Woodin","W. Hugh Woodin","Beyond $\underTilde{\Sigma}^2_1$ absoluteness",,"Proceedings of the ICM, Beijing 2002, vol. 1, 515--524",,"ICM-2002","math.LO",,"  There have been many generalizations of Shoenfield's Theorem on the
absoluteness of $\Sigma^1_2$ sentences between uncountable transitive models of
$\mathrm{ZFC}$. One of the strongest versions currently known deals with
$\Sigma^2_1$ absoluteness conditioned on $\mathrm{CH}$. For a variety of
reasons, from the study of inner models and from simply combinatorial set
theory, the question of whether conditional $\Sigma^2_2$ absoluteness is
possible at all, and if so, what large cardinal assumptions are involved and
what sentence(s) might play the role of $\mathrm{CH}$, are fundamental
questions. This article investigates the possiblities for $\Sigma^2_2$
absoluteness by extending the connections between determinacy hypotheses and
absoluteness hypotheses.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212407","Brian White","Brian White","Evolution of curves and surfaces by mean curvature",,"Proceedings of the ICM, Beijing 2002, vol. 1, 525--538",,"ICM-2002","math.DG",,"  This article describes the mean curvature flow, some of the discoveries that
have been made about it, and some unresolved questions.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212408","Richard Pink","Richard Pink, Damian Roessler","On Hrushovski's proof of the Manin-Mumford conjecture",,"Proceedings of the ICM, Beijing 2002, vol. 1, 539--546",,"ICM-2002","math.NT math.AG",,"  The Manin-Mumford conjecture in characteristic zero was first proved by
Raynaud. Later, Hrushovski gave a different proof using model theory. His main
result from model theory, when applied to abelian varieties, can be rephrased
in terms of algebraic geometry. In this paper we prove that intervening result
using classical algebraic geometry alone. Altogether, this yields a new proof
of the Manin-Mumford conjecture using only classical algebraic geometry.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212409","Michael McQuillan","Michael McQuillan","Integrating $\partial \bar{\partial}$",,"Proceedings of the ICM, Beijing 2002, vol. 1, 547--554",,"ICM-2002","math.AG",,"  We consider the algebro-geometric consequences of integration by parts.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212410","Peter Bickel","Peter Bickel, Yaacov Ritov, Tobias Ryd\'en","Hidden Markov and state space models: asymptotic analysis of exact and
  approximate methods for prediction, filtering, smoothing and statistical
  inference",,"Proceedings of the ICM, Beijing 2002, vol. 1, 555--556",,"ICM-2002","math.ST stat.TH",,"  State space models have long played an important role in signal processing.
The Gaussian case can be treated algorithmically using the famous Kalman
filter. Similarly since the 1970s there has been extensive application of
Hidden Markov models in speech recognition with prediction being the most
important goal. The basic theoretical work here, in the case $X$ and $Y$ finite
(small) providing both algorithms and asymptotic analysis for inference is that
of Baum and colleagues. During the last 30-40 years these general models have
proved of great value in applications ranging from genomics to finance.
  Unless the $X,Y$ are jointly Gaussian or $X$ is finite and small the problem
of calculating the distributions discussed and the likelihood exactly are
numerically intractable and if $Y$ is not finite asymptotic analysis becomes
much more difficult. Some new developments have been the construction of
so-called ``particle filters'' (Monte Carlo type) methods for approximate
calculation of these distributions (see Doucet et al. [4]) for instance and
general asymptotic methods for analysis of statistical methods in HMM [2] and
other authors.
  We will discuss these methods and results in the light of exponential mixing
properties of the conditional (posterior) distribution of $(X_1,X_2,...)$ given
$(Y_1,Y_2,...)$ already noted by Baum and Petrie and recent work of the authors
Bickel, Ritov and Ryden, Del Moral and Jacod, Douc and Matias.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-06-13"
"math/0212411","Lawrence D. Brown","Lawrence D. Brown","Statistical equivalence and stochastic process limit theorems",,"Proceedings of the ICM, Beijing 2002, vol. 1, 557--566",,"ICM-2002","math.ST stat.TH",,"  A classical limit theorem of stochastic process theory concerns the sample
cumulative distribution function (CDF) from independent random variables. If
the variables are uniformly distributed then these centered CDFs converge in a
suitable sense to the sample paths of a Brownian Bridge. The so-called
Hungarian construction of Komlos, Major and Tusnady provides a strong form of
this result. In this construction the CDFs and the Brownian Bridge sample paths
are coupled through an appropriate representation of each on the same
measurable space, and the convergence is uniform at a suitable rate.
  Within the last decade several asymptotic statistical-equivalence theorems
for nonparametric problems have been proven, beginning with Brown and Low
(1996) and Nussbaum (1996). The approach here to statistical-equivalence is
firmly rooted within the asymptotic statistical theory created by L. Le Cam but
in some respects goes beyond earlier results.
  This talk demonstrates the analogy between these results and those from the
coupling method for proving stochastic process limit theorems. These two
classes of theorems possess a strong inter-relationship, and technical methods
from each domain can profitably be employed in the other. Results in a recent
paper by Carter, Low, Zhang and myself will be described from this perspective.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-06-13"
"math/0212412","Jean Bricmont","Jean Bricmont","Ergodicity and mixing for stochastic partial differential equations",,"Proceedings of the ICM, Beijing 2002, vol. 1, 567--585",,"ICM-2002","math.PR",,"  Recently, a number of authors have investigated the conditions under which a
stochastic perturbation acting on an infinite dimensional dynamical system,
e.g. a partial differential equation, makes the system ergodic and mixing. In
particular, one is interested in finding minimal and physically natural
conditions on the nature of the stochastic perturbation. I shall review recent
results on this question; in particular, I shall discuss the Navier-Stokes
equation on a two dimensional torus with a random force which is white noise in
time, and excites only a finite number of modes. The number of excited modes
depends on the viscosity $\nu$, and grows like $\nu^{-3}$ when $\nu$ goes to
zero. This Markov process has a unique invariant measure and is exponentially
mixing in time.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212413","Daniel A. Spielman","Daniel A. Spielman, Shang-Hua Teng","Smoothed analysis of algorithms",,"Proceedings of the ICM, Beijing 2002, vol. 1, 597--606",,"ICM-2002","math.OC",,"  Spielman and Teng introduced the smoothed analysis of algorithms to provide a
framework in which one could explain the success in practice of algorithms and
heuristics that could not be understood through the traditional worst-case and
average-case analyses. In this talk, we survey some of the smoothed analyses
that have been performed.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
"math/0212414","Albert Cohen","Albert Cohen","Adaptive methods for PDE's: wavelets or mesh refinement?",,"Proceedings of the ICM, Beijing 2002, vol. 1, 607--620",,"ICM-2002","math.NA",,"  Adaptive mesh refinement techniques are nowadays an established and powerful
tool for the numerical discretization of PDE's. In recent years, wavelet bases
have been proposed as an alternative to these techniques. The main motivation
for the use of such bases in this context is their good performances in data
compression and the approximation theoretic foundations which allow to analyze
and optimize these performances. We shall discuss these theoretical
foundations, as well as one of the approaches which has been followed in
developing efficient adaptive wavelet solvers. We shall also discuss the
similarities and differences between wavelet methods and adaptive mesh
refinement.
","[{""version"":""v1"",""created"":""Sun, 1 Dec 2002 00:00:00 GMT""}]","2007-05-23"
