"astro-ph/0202286","Yong-Seon Song","Lloyd Knox and Yong-Seon Song (UC Davis)","A limit on the detectability of the energy scale of inflation","4 pages, 3 figures, submitted to PRL","Phys.Rev.Lett. 89 (2002) 011303","10.1103/PhysRevLett.89.011303",,"astro-ph hep-ph",,"  We show that the polarization of the cosmic microwave background can be used
to detect gravity waves from inflation if the energy scale of inflation is
above 3.2 times 10^15 GeV. These gravity waves generate polarization patterns
with a curl, whereas (to first order in perturbation theory) density
perturbations do not. The limiting ``noise'' arises from the second--order
generation of curl from density perturbations, or rather residuals from its
subtraction. We calculate optimal sky coverage and detectability limits as a
function of detector sensitivity and observing time.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 19:02:21 GMT""}]","2009-11-07"
"gr-qc/0202057","Joel Smoller","Joel A. Smoller","The Interaction of Gravity with Other Fields","25 pages, LaTeX",,,,"gr-qc",,"  We consider the interaction of gravity, as expressed by Einstein's Equations
of General Relativity, to other force fields. We describe some recent results,
discussing both the mathematics, and the physical interpretations. These
results concern both elementary particles, as well as cosmological models.
(This paper describes joint work variously done with with F. Finster, N.
Kamran, B. Temple, and S.-T. Yau.)
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 20:07:37 GMT""}]","2007-05-23"
"hep-ex/0202033","Pam Morehouse","S.B. Athar, et al, CLEO Collaboration","Measurement of the Ratio of Branching Fractions of the Upsilon(4S) to
  Charged and Neutral B Mesons","18 pages postscript, also available through
  http://w4.lns.cornell.edu/public/CLNS, submitted to PRL","Phys.Rev.D66:052003,2002","10.1103/PhysRevD.66.052003","CLNS02/1775, CLEO 02-1","hep-ex",,"  The ratio of charged and neutral B meson production at the Upsilon(4S),
f_{+-}/f_{00}, is measured through the decays B bar -> D* l- nu_l bar,
reconstructed using a partial reconstruction method where the D* is detected
only through a pion daughter from the decay D* -> D pi. Using data collected by
the CLEO II detector, the charged and neutral B decays are measured in such a
way that their ratio is independent of decay model, limited mainly by the
uncertainty in the relative efficiency for detecting neutral and charged pions.
This measurement yields the ratio of production fractions times the ratio of
semileptonic branching fractions, f_{+-}b_{+}/f_{00}b_0. Assuming that b_+/b_0
is equal to the lifetime ratio tau_+/tau_0 and using the world average value of
tau_+/tau_0 as input, we obtain f_{+-}/f_{00}=1.058+- 0.084+- 0.136.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 18:10:21 GMT""}]","2010-04-08"
"hep-lat/0202019","Francesco Knechtli","A. Hasenfratz (Colorado U.) and F. Knechtli (Humboldt U.)","The phase diagram of QCD with two and four flavors: results with HYP
  fermions","3 pages, 4 figures, Lattice2001(hightemp)","Nucl.Phys.Proc.Suppl. 106 (2002) 432-434","10.1016/S0920-5632(01)01737-6","COLO-HEP-476","hep-lat",,"  We study the finite temperature phase transition of four and two flavor
staggered fermions with hypercubic smeared link actions. These preliminary
studies suggest that the improved flavor symmetry of the fermionic action can
have a significant effect on the finite temperature phase diagram.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 16:09:38 GMT""}]","2009-11-07"
"hep-ph/0202151","Corrado Appignani","Corrado Appignani (Dipartimento di Fisica - Universita' di Bologna -
  Bologna - Italy)","QCD Universality recovered via the Total Available Quadri-Scalar: Atot","V1: 24 pages, 4 figures; V2: reduced to 18 pages, layout and
  presentation improved, content unchanged; V3: definitive published version,
  adp latex style, a comparison to GPDs added, content unchanged","Ann. Phys. (Leipzig) 13, No. 6, 307-327 (2004)","10.1002/andp.200310095",,"hep-ph",,"  After presenting a brief review of the phenomenology of the Leading Effect,
we define a new variable, the ``Total Available Quadri-Scalar'' (Atot), and
propose it as the invariant quantity effectively available for the production
of the multihadronic final states. The introduction and the definition of this
new variable are justified by means of simple geometrical-kinematical
considerations and we show that Atot reduces to the so-called Effective Energy
in the single specific situation where the use of the latter applies. Using
Atot to re-plot existing data, the quantity <Nch> is shown to be a
``Universality Feature'' - that is, independent from the process under exam,
the collider nominal energy, and even from the hadronic invariant mass - as
imposed by QCD Universality.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 17:01:49 GMT""},{""version"":""v2"",""created"":""Wed, 4 Jun 2003 10:38:55 GMT""},{""version"":""v3"",""created"":""Wed, 28 Jul 2004 17:14:19 GMT""}]","2007-05-23"
"hep-ph/0202154","Shuquan Nie","Mariana Frank and Shuquan Nie","b -> s gamma in the left-right supersymmetric model","12 figures","Phys.Rev. D65 (2002) 114006","10.1103/PhysRevD.65.114006","CUMQ/HEP 120","hep-ph",,"  The rare decay $b \to s \gamma$ is studied in the left-right supersymmetric
model. We give explicit expressions for all the amplitudes associated with the
supersymmetric contributions coming from gluinos, charginos and neutralinos in
the model to one-loop level. The branching ratio is enhanced significantly
compared to the standard model and minimal supersymmetric standard model values
by contributions from the right-handed gaugino and squark sector. We give
numerical results coming from the leading order contributions. If the only
source of flavor violation comes from the CKM matrix, we constrain the scalar
fermion-gaugino sector. If intergenerational mixings are allowed in the squark
mass matrix, we constrain such supersymmetric sources of flavor violation. The
decay $b \to s \gamma$ sets constraints on the parameters of the model and
provides distinguishing signs from other supersymmetric scenarios.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 17:28:00 GMT""}]","2009-11-07"
"hep-ph/0202155","Thomas G. Rizzo","J.L. Hewett and T.G. Rizzo","Shifts in the Properties of the Higgs Boson from Radion Mixing","17 pages, 7 figs., LaTex; revised version","JHEP 0308:028,2003","10.1088/1126-6708/2003/08/028","SLAC-PUB-9132","hep-ph",,"  We examine how mixing between the Standard Model Higgs boson, $h$, and the
radion present in the Randall-Sundrum model of localized gravity modifies the
expected properties of the Higgs boson. In particular, we demonstrate that the
total and partial decay widths of the Higgs, as well as the $h\to gg$ branching
fraction, can be substantially altered from their Standard Model expectations.
The remaining branching fractions are modified less than $\lsim 5%$ for most of
the parameter space volume.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 18:28:24 GMT""},{""version"":""v2"",""created"":""Mon, 23 Sep 2002 18:52:39 GMT""},{""version"":""v3"",""created"":""Wed, 2 Jul 2003 17:33:33 GMT""}]","2011-07-19"
"hep-ph/0202156","Ting T. Wang","Gordon L. Kane, Lian-Tao Wang, Ting T. Wang","Supersymmetry and the Cosmic Ray Positron Excess","15 pages, 3 figures","Phys.Lett. B536 (2002) 263-269","10.1016/S0370-2693(02)01839-7",,"hep-ph astro-ph",,"  We explore several supersymmetric alternatives to explain predictions for the
cosmic ray positron excess. Light sneutrino or neutralino LSP's, and a
fine-tuned model designed to provide a delta-function input, can give adequate
statistical descriptions of the reported HEAT data if non-thermal production of
the relic cold dark matter density dominates and/or if ``boost factors''(that
could originate in uncertainties from propagation or local density
fluctuations) to increase the size of the signal are included. All the
descriptions can be tested at the Tevatron or LHC, and some in other WIMP
detecting experiments.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 20:51:55 GMT""}]","2009-11-07"
"hep-ph/0202157","Ted Barnes","T. Barnes","Hadron 2001 Conference Summary: Theory","17 pages, 5 figures. Presented at HADRON2001 (Protvino, Russia, 25
  Aug - 1 Sep 2001)","AIP Conf.Proc. 619 (2002) 447-462","10.1063/1.1482473",,"hep-ph nucl-th",,"  This contribution reviews some of the theoretical issues and predictions that
were discussed at HADRON2001. The topics are divided into principle areas, 1)
exotics, 2) vectors, 3) scalars, and 4) higher-mass states. The current status
of theoretical predictions for each area are summarized, together with a brief
description of experiment. New and detailed experimental results are presented
in the companion Experimental Summary by Klempt.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 21:07:10 GMT""}]","2009-11-07"
"hep-ph/0202159","Leonard S. Kisslinger","Leonard S. Kisslinger","Instanton Model of QCD Phase Transition Bubble Walls","8 pages, 1 figure, revtex, revised to give more details of the model
  and relationship to other recent research",,,,"hep-ph",,"  Using the liquid instanton model continued into Minkowski space and modified
for finite temperature, the energy momentum tensor and the surface tension for
buble walls during the QCD phase transition are derived. The resulting surface
tension is in agreement with lattice calculations. Application to bubble
collisions is discussed.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 22:27:50 GMT""},{""version"":""v2"",""created"":""Fri, 10 Jan 2003 02:39:16 GMT""},{""version"":""v3"",""created"":""Fri, 21 Mar 2003 22:08:06 GMT""}]","2007-05-23"
"hep-ph/0202161","Ariel Zhitnitsky","Ariel R. Zhitnitsky (University of British Columbia, Vancouver,
  Canada)","""Nonbaryonic"" Dark Matter as Baryonic Color Superconductor","Title changed. Two figures and Appendix added. Part on baryogenesis
  is removed and posted as a separate paper hep-ph/0309086","JCAP 0310:010,2003","10.1088/1475-7516/2003/10/010",,"hep-ph astro-ph nucl-th",,"  We discuss a novel cold dark matter candidate which is formed from the
ordinary quarks during the QCD phase transition when the axion domain wall
undergoes an unchecked collapse due to the tension in the wall. If a large
number of quarks is trapped inside the bulk of a closed axion domain wall, the
collapse stops due to the internal Fermi pressure. In this case the system in
the bulk, may reach the critical density when it undergoes a phase transition
to a color superconducting phase with the ground state being the quark
condensate, similar to the Cooper pairs in BCS theory. If this happens, the new
state of matter representing the diquark condensate with a large baryon number
$B \sim 10^{32}$ becomes a stable soliton-like configuration. Consequently, it
may serve as a novel cold dark matter candidate.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 23:21:47 GMT""},{""version"":""v2"",""created"":""Fri, 21 Jun 2002 18:47:55 GMT""},{""version"":""v3"",""created"":""Wed, 13 Nov 2002 21:53:17 GMT""},{""version"":""v4"",""created"":""Wed, 10 Sep 2003 18:38:34 GMT""}]","2010-12-17"
"hep-ph/0202162","Tim M. P. Tait","Debajyoti Choudhury, Tim M.P. Tait and C.E.M. Wagner","Probing Heavy Higgs Boson Models with a TeV Linear Collider","21 pages","Phys.Rev.D65:115007,2002","10.1103/PhysRevD.65.115007","ANL-HEP-PR-02-018, EFI-02-65, MRI-P-011207","hep-ph",,"  The last years have seen a great development in our understanding of particle
physics at the weak scale. Precision electroweak observables have played a key
role in this process and their values are consistent, within the Standard Model
interpretation, with a light Higgs boson with mass lower than about 200 GeV. If
new physics were responsible for the mechanism of electroweak symmetry
breaking, there would, quite generally, be modifications to this prediction
induced by the non-standard contributions to the precision electroweak
observables. In this article, we analyze the experimental signatures of a heavy
Higgs boson at linear colliders. We show that a linear collider, with center of
mass energy \sqrt{s} <= 1 TeV, would be very useful to probe the basic
ingredients of well motivated heavy Higgs boson models: a relatively heavy
SM-like Higgs, together with either extra scalar or fermionic degrees of
freedom, or with the mixing of the third generation quarks with non-standard
heavy quark modes.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 00:02:21 GMT""}]","2008-11-26"
"hep-ph/0202163","Muneyuki Ishida","Keiji Igi (Kanagawa univ.) and Muneyuki Ishida (Tokyo Institute of
  Tech)","Investigations of the pi N total cross sections at high energies using
  new FESR: log nu or (log nu)^2","to be published in Phys. Rev. D 5 pages, 2 eps figures","Phys.Rev. D66 (2002) 034023","10.1103/PhysRevD.66.034023",,"hep-ph",,"  We propose to use rich informations on pi p total cross sections below N= 10
GeV in addition to high-energy data in order to discriminate whether these
cross sections increase like log nu or (log nu)^2 at high energies, since it is
difficult to discriminate between asymptotic log nu and (log nu)^2 fits from
high-energy data alone. A finite-energy sum rule (FESR) which is derived in the
spirit of the P' sum rule as well as the n=1 moment FESR have been required to
constrain the high-energy parameters. We then searched for the best fit of pi p
total cross sections above 70 GeV in terms of high-energy parameters
constrained by these two FESR. We can show from this analysis that the (log
nu)^2 behaviours is preferred to the log nu behaviours.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 06:53:12 GMT""},{""version"":""v2"",""created"":""Sat, 6 Apr 2002 10:00:10 GMT""},{""version"":""v3"",""created"":""Fri, 5 Jul 2002 10:22:27 GMT""}]","2009-11-07"
"hep-ph/0202164","Zheng Xiaoping","Zheng Xiaoping, Li Jiarong","Kinetic-theory approach to Gluon Self-energy beyond Hard Thermal Loops","9 pages,2 figures","J.Phys.G29:2423-2429,2003","10.1088/0954-3899/29/10/308",,"hep-ph",,"  We compare the effective dynamics of soft fields, based on temperature field
theory, with the mean field dynamics from non-Abelian kinetic theory. We derive
the polarization tensor with the leading logarithmic factor
$\log({gT\over\mu})$ from the effective Boltzmann-Langevin equation given by
Litim and Manuel. The tensor is identical with effective one-loop contributions
within the hard thermal loop effective theory.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 08:52:49 GMT""}]","2008-11-26"
"hep-ph/0202165","Qun Wang","Q. Wang, K. Redlich, H. St\""ocker, W. Greiner","From the Dyson-Schwinger to the Transport Equation in the Background
  Field Gauge of QCD","Revtex 4, 37 pages, 6 figures, with section VI rewritten and some
  errors corrected, final version to be published by Nucl. Phys. A","Nucl.Phys.A714:293-334,2003","10.1016/S0375-9474(02)01357-X","CERN-TH/2002-015","hep-ph",,"  The non-equilibrium quantum field dynamics is usually described in the
closed-time-path formalism. The initial state correlations are introduced into
the generating functional by non-local source terms. We propose a functional
approach to the Dyson-Schwinger equation, which treats the non-local and local
source terms in the same way. In this approach, the generating functional is
formulated for the connected Green functions and one-particle-irreducible
vertices. The great advantages of our approach over the widely used
two-particle-irreducible method are that it is much simpler and that it is easy
to implement the procedure in a computer program to automatically generate the
Feynman diagrams for a given process. The method is then applied to a pure
gluon plasma to derive the gauge-covariant transport equation from the
Dyson-Schwinger equation in the background covariant gauge. We discuss the
structure of the kinetic equation and show its relationship with the classical
one. We derive the gauge-covariant collision part and present an approximation
in the vicinity of equilibrium. The role of the non-local source kernel in the
non-equilibrium system is discussed in the context of a free scalar field.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 12:59:02 GMT""},{""version"":""v2"",""created"":""Tue, 29 Oct 2002 12:49:01 GMT""}]","2008-11-26"
"hep-th/0202092","Lukas Popp","I. Fruhwirth, J. M. Grimstrup, Z. Morsli, L. Popp, M. Schweda","The role of the field redefinition in noncommutative Maxwell theory","13 pages, amsLaTeX",,,"TUW-02-02","hep-th",,"  We discuss $\theta$-deformed Maxwell theory at first order in $\theta$ with
the help of the Seiberg-Witten (SW) map. With an appropriate field redefinition
consistent with the SW-map we analyse the one-loop corrections of the vacuum
polarization of photons. We show that the radiative corrections obtained in a
previous work may be described by the Ward-identity of the BRST-shift symmetry
corresponding to a field redefinition.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 19:07:19 GMT""}]","2007-05-23"
"hep-th/0202093","Lukas Popp","J. M. Grimstrup, H. Grosse, L. Popp, V. Putz, M. Schweda, M.
  Wickenhauser, R. Wulkenhaar","IR-Singularities in Noncommutative Perturbative Dynamics?","6 pages, amsLaTeX","Europhys.Lett. 67 (2004) 186-190","10.1209/epl/i2003-10285-9","TUW 02-04, UWThPh-2002-07","hep-th",,"  We analyse the IR-singularities that appear in a noncommutative scalar
quantum field theory on $\mathcal{E}_4$. We demonstrate with the help of the
quadratic one-loop effective action and an appropriate field redefinition that
no IR-singularities exist. No new degrees of freedom are needed to describe the
UV/IR-mixing.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 19:28:03 GMT""},{""version"":""v2"",""created"":""Mon, 18 Feb 2002 19:33:36 GMT""}]","2009-11-07"
"hep-th/0202094","Frederic Leblond","Frederic Leblond, Donald Marolf and Robert C. Myers","Tall tales from de Sitter space I: Renormalization group flows","32 pages, 16 figures, references added","JHEP 0206:052,2002","10.1088/1126-6708/2002/06/052",,"hep-th",,"  We study solutions of Einstein gravity coupled to a positive cosmological
constant and matter, which are asymptotically de Sitter and homogeneous.
Regarded as perturbations of de Sitter space, a theorem of Gao and Wald implies
that generically these solutions are `tall,' meaning that the perturbed
universe lives through enough conformal time for an entire spherical Cauchy
surface to enter any observer's past light cone. Such observers will realize
that their universe is spatially compact. An interesting fact, which we
demonstrate with an explicit example, is that this Cauchy surface can have
arbitrarily large volume for fixed asymptotically de Sitter behavior. Our main
focus is on the implications of tall universes for the proposed dS/CFT
correspondence. Particular attention is given to the associated renormalization
group flows, leading to a more general de Sitter `c-theorem.' We find, as
expected, that a contracting phase always represents a flow towards the
infrared, while an expanding phase represents a `reverse' flow towards the
ultraviolet. We also discuss the conformal diagrams for various classes of
homogeneous flows.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 20:28:26 GMT""},{""version"":""v2"",""created"":""Mon, 18 Feb 2002 12:59:49 GMT""},{""version"":""v3"",""created"":""Tue, 9 Apr 2002 21:57:36 GMT""}]","2010-02-03"
"hep-th/0202095","Abhishek Agarwal","A.Agarwal, S.G.Rajeev","A Cohomological Interpretation of the Migdal-Makeenko Equations","10 Pages, LATeX","Mod.Phys.Lett. A17 (2002) 481-490","10.1142/S0217732302006667",,"hep-th",,"  The equations of motion of quantum Yang - Mills theory (in the planar `large
N' limit), when formulated in Loop-space are shown to have an anomalous term,
which makes them analogous to the equations of motion of WZW models. The
anomaly is the Jacobian of the change of variables from the usual ones i.e. the
connection one form $A $, to the holonomy $U$. An infinite dimensional Lie
algebra related to this change of variables (the Lie algebra of loop
substitutions) is developed, and the anomaly is interpreted as an element of
the first cohomology of this Lie algebra. The Migdal-Makeenko equations are
shown to be the condition for the invariance of the Yang-Mills generating
functional $Z$ under the action of the generators of this Lie algebra.
Connections of this formalism to the collective field approach of Jevicki and
Sakita are also discussed.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 20:45:04 GMT""}]","2009-11-07"
"hep-th/0202096","George Siopsis","Scott Ness, George Siopsis","dS/CFT Correspondence in Two Dimensions","11 pages","Phys.Lett. B536 (2002) 315-320","10.1016/S0370-2693(02)01831-2","UTHET-02-0102","hep-th",,"  We discuss the quantization of a scalar particle moving in two-dimensional de
Sitter space. We construct the conformal quantum mechanical model on the
asymptotic boundary of de Sitter space in the infinite past. We obtain explicit
expressions for the generators of the conformal group and calculate the
eigenvalues of the Hamiltonian. We also show that two-point correlators are in
agreement with the Green function one obtains from the wave equation in the
bulk de Sitter space.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 22:24:28 GMT""}]","2009-11-07"
"hep-th/0202097","Sang-Jin Sin","Sang-Jin Sin","Tachyon mass, c-function and Counting localized degrees of freedom","15 pages, 2 figures, v2: typo corrected, reference added. v3:
  abstract stretched","Nucl.Phys. B637 (2002) 395-408","10.1016/S0550-3213(02)00433-9",,"hep-th",,"  We discuss the localized tachyon condensation in the non-supersymmetric
orbifold theories by taking the cosmological constant as the measure of degrees
of freedom (d.o.f). We first show asymptotic density of state is not a proper
quantity to count the 'localized' d.o.f. We then show that localized d.o.f lead
us a c-function given by the lightest tachyon mass, which turns out to be the
same as the tachyon potential recently suggested by Dabholkar and Vafa. We also
argue that delocalized d.o.f also encode information on the process of
localized tachyon condensation in the g-function, based on the fact that the
global geometry of the orbifolds is completely determined by the local geometry
around the fixed points. For type II, both c- and g-function respect the
stability of the supersymmetric models and both allow all the process suggested
by Adams, Polchinski and Silverstein.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 01:31:14 GMT""},{""version"":""v2"",""created"":""Thu, 21 Feb 2002 06:50:45 GMT""},{""version"":""v3"",""created"":""Sat, 23 Feb 2002 13:27:26 GMT""}]","2009-11-07"
"hep-th/0202098","Shin'ichi Nojiri","Shin'ichi Nojiri, Sergei D. Odintsov, and Sachiko Ogushi","Graviton correlator and metric perturbations in de Sitter brane-world","LaTeX file, 20 pages, minor changes","Phys.Rev.D66:023522,2002","10.1103/PhysRevD.66.023522","YITP-02-9","hep-th hep-ph",,"  We consider de Sitter brane-world motivated by dS/CFT correspondence where
both bulk and brane are de Sitter spaces. The brane tension is fixed by
holographic RG. The 4d effective action for metric perturbations and 4d
graviton correlator are explicitly found. The induced values of cosmological
and Newton constants are calculated. The short distance behaviour of the
graviton correlator (when no brane matter presents) turns out to be
significally stronger than in the case of General Relativity. It is shown that
quantum brane CFT gives the dominant contribution to graviton correlator on
small scales like in Brane New World scenario.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 01:58:51 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jun 2002 04:21:59 GMT""}]","2009-09-17"
"hep-th/0202099","Kiyoshi Shiraishi","Kiyoshi Shiraishi (Yamaguchi University)","Noncommutative gravity in three dimensions coupled to point-like sources","4 pages, no figures. Talk given at 11th Workshop on General
  Relativity and Gravitation (JGRG11), Waseda University, Japan, 9-12 Jan 2002",,,,"hep-th gr-qc math-ph math.MP",,"  Noncommutative gravity in three dimensions with no cosmological constant is
reviewed. We find a solution which describes the presence of a torsional
source.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 03:52:04 GMT""}]","2007-05-23"
"hep-th/0202101","Toshiaki Tanaka","Toshiaki Tanaka","A Family of Quasi-solvable Quantum Many-body Systems","9 pages, REVTeX4, final version","Phys.Lett.B567:100-106,2003","10.1016/S0370-2693(03)00866-9","KUCP-0202","hep-th math-ph math.MP nlin.SI quant-ph",,"  We construct a family of quasi-solvable quantum many-body systems by an
algebraic method. The models contain up to two-body interactions and have
permutation symmetry. We classify these models under the consideration of
invariance property. It turns out that this family includes the rational,
hyperbolic (trigonometric) and elliptic Inozemtsev models as the particular
cases.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 12:46:16 GMT""},{""version"":""v2"",""created"":""Fri, 1 Aug 2003 04:17:01 GMT""}]","2014-11-18"
"math/0202142","Georges Racinet","Georges Racinet","Doubles melanges des polylogarithmes multiples aux racines de l'unit'e","41 pages, french, w/iso-latin-1 encoding. Uses mathrsfs and
  (included) French Math. Soc. document class smfart",,,"Preprintreihe des SFB 478 (Muenster, Germany) - Nr 206","math.QA math.AG",,"  The values at positive integers of the polyzeta functions are solutions of
the polynomial equations arising from Drinfeld's associators, which have
numerous applications in quantum algebra. Considered as iterated integrals they
become periods of the motivic fundamental groupoid of
$\mathbb{P}^1\setminus\{0,1,\infty\}$. From there comes a fundamental, yet no
more explicit, system of algebraic relations; it implies the system of
associators.
  We focus here on the combinatorics properties of another system of relations,
the ``double shuffles'', which comes from elementary series and integrals
manipulations. We show that it shares a torsor property with associators and
``motivic'' relations, is implied by the latter and defines a polynomial
algebra over $\mathbb{Q}$ (a result first due to J. Ecalle). We obtain these
results for more general numbers: values of Goncharov's multiple polylogarithms
at roots of unity.
  These results were previously announced in math.QA:0012024. Here is the
detailed proof.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 18:35:54 GMT""}]","2007-05-23"
"math/0202147","Gouezel","Sebastien Gouezel","Sharp polynomial estimates for the decay of correlations","33 pages",,,,"math.DS",,"  We generalize a method developed by Sarig to obtain polynomial lower bounds
for correlation functions for maps with a countable Markov partition. A
consequence is that LS Young's estimates on towers are always optimal.
Moreover, we show that, for functions with zero average, the decay rate is
better, gaining a factor 1/n. This implies a Central Limit Theorem in contexts
where it was not expected, e.g. x+Cx^(1+\alpha) with 1/2 < \alpha < 1. The
method is based on a general result on renewal sequences of operator, and gives
an asymptotic estimate up to any precision of such operators.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 18:05:16 GMT""}]","2007-05-23"
"math/0202148","Leclerc Bernard","Bernard Leclerc","Imaginary vectors in the dual canonical basis of $U_q(n)$","11 pages, 5 figures",,,,"math.QA math.RT",,"  Let $n$ be the maximal nilpotent subalgebra of a simple complex Lie algebra
$g$. We introduce the notion of imaginary vector in the dual canonical basis of
$U_q(n)$, and we give examples of such vectors for types $A_n (n\ge 5)$, $B_n
(n\ge 3)$, $C_n (n\ge 3)$, $D_n (n\ge 4)$, and all exceptional types. This
disproves a conjecture of Berenstein and Zelevinsky about $q$-commuting
products of vectors of the dual canonical basis. It also shows the existence of
finite-dimensional irreducible representations of quantum affine algebras whose
tensor square is not irreducible.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 19:44:50 GMT""},{""version"":""v2"",""created"":""Wed, 11 Sep 2002 17:44:20 GMT""}]","2007-05-23"
"math/0202149","Mikhail Kogan","Mikhail Kogan","Existence of perfect Morse functions on spaces with semi-free circle
  action","16 pages",,,,"math.GT math.SG",,"  Let $M$ be a compact oriented simply-connected manifold of dimension at least
8. Assume $M$ is equipped with a torsion-free semi-free circle action with
isolated fixed points. We prove $M$ has a perfect invariant Morse-Smale
function. The major ingredient in the proof is a new cancellation theorem for
the invariant Morse theory.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 21:12:40 GMT""},{""version"":""v2"",""created"":""Tue, 1 Apr 2003 23:15:31 GMT""}]","2007-05-23"
"math/0202151","Long Wang","Long Wang","Frequency Response of Uncertain Systems: Strong Kharitonov-Like Results","18 pages, 8 figures",,,,"math.OC math.DS",,"  In this paper, we study the frequency response of uncertain systems using
Kharitonov stability theory on first order complex polynomial set. For an
interval transfer function, we show that the minimal real part of the frequency
response at any fixed frequency is attained at some prescribed vertex transfer
functions. By further geometric and algebraic analysis, we identify an index
for strict positive realness of interval transfer functions. Some extensions
and applications in positivity verification and robust absolute stability of
feedback control systems are also presented.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 10:01:58 GMT""}]","2007-05-23"
"nucl-th/0202050","S. Karataglidis","K. Amos and S. Karataglidis","Total reaction cross sections for neutron-nucleus scattering","5 pages, 1 figure, RevTeX 4","Phys.Rev. C65 (2002) 057603","10.1103/PhysRevC.65.057603","LA-UR-02-834","nucl-th",,"  Neutron total reaction cross sections at 45, 50, 55, 60, 65, and 75 MeV from
nuclei 12C, 28Si, 56Fe, 90Zr, and 208Pb have been measured and are compared
with (microscopic) optical model predictions. The optical potentials were
obtained in coordinate space by full folding effective nucleon-nucleon
interactions with realistic nuclear ground state density matrices. Good to
excellent agreement is found.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 16:29:14 GMT""}]","2009-11-07"
"nucl-th/0202051","Carsten Greiner","K.Gallmeister, C.Greiner and Z.Xu","Energy Loss of High $\pT{}$ Hadrons by Final Hadronic State","6 pages, 4 figures; contribution to the Int. Workshop XXX on Gross
  Properties of Nuclei and Nuclear Excitations: Ultrarelativistic Heavy Ion
  Collisions, Hirschegg, Jan. 13-19, 2002",,,,"nucl-th hep-ph",,"  In the context of the `jet quenching' phenomena typically materialization of
the jet is assumed to take place in vacuum outside the reaction zone. On the
other hand quantum mechanical estimates give a hadronization time on the order
of only a few fm/c for jets materializing into hadrons with transverse momenta
of $\pT{} \leq 10 GeV$, which thus should well take place inside the fireball.
Typical (in-)elastic collisions of these high $\pT{}$ particles with the bulk
of hadrons of the fireball have a rather low invariant mass and are thus
nonperturbative. An analysis within an opacity expansion in the number of
collisions by means of the FRITIOF collision scheme for various hadrons will be
presented. It shows that late hadronic collisions can substantially account for
the modification of the high $\pT{} $-spectrum observed for central collisions
at RHIC.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 16:33:19 GMT""}]","2007-05-23"
"nucl-th/0202052","Carsten Greiner","C. Greiner","Chemical Equilibration of Antihyperons","revised version for some typos and two references; 6 pages, 4
  figures; contribution to the Int. Workshop XXX on Gross Properties of Nuclei
  and Nuclear Excitations: Ultrarelativistic Heavy-Ion Collisions, Hirschegg,
  Jan. 13 - 19, 2002",,,,"nucl-th hep-ph",,"  Rapid chemical equilibration of antihyperons by means of the interplay
between strong annihilation on baryons and the corresponding backreactions of
multi-mesonic (fusion-type) processes in the later, hadronic stage of an
ultrarelativistic heavy ion collision will be discussed. Explicit rate
calculations for a dynamical setup are presented. At maximum SPS energies
yields of each antihyperon specie are obtained which are consistent with
chemical saturated populations of $T \approx 150-160 $ MeV. The proposed
picture supports dynamically the popular chemical freeze-out parameters
extracted within thermal models.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 16:41:43 GMT""},{""version"":""v2"",""created"":""Mon, 25 Feb 2002 14:08:15 GMT""}]","2007-05-23"
