"astro-ph/0202443","Ersin Gogus","Richard Lieu (University of Alabama in Huntsville)","The effect of Planck scale space time fluctuations on Lorentz invariance
  at extreme speeds","Accepted by Astrophysical Journal Letters","Astrophys.J. 568 (2002) L67-L70","10.1086/340377",,"astro-ph gr-qc hep-ex hep-ph hep-th math-ph math.MP",,"  The starting point of this work is the axiomatic existence of a smallest
measurable interval, viz. the Planck time $t_P$, set by quantum fluctuations in
the vacuum metric tensor. By the Relativity Principle, the same limit must then
apply to the accuracy of all clocks which register time of events in their own
frames. Further, it implies that the ordinary meaning of distance also ceases
in the same manner beyond a scale l_P = c t_P. We demonstrate that quantum
space-time, if real, may be made manifest by observing very energetic
collisions, defined as interactions which occurred with the center-of-mass
frame $\Sigma'$ (of the participating bodies) moving at a high speed $v$
relative to our laboratory frame $\Sigma$. In such situations, the initial
conditions of the interaction are determined from direct measurements of the
ultra-energetic particles or photons by instruments aboard $\Sigma$: they
gather a raw dataset ${\cal S}$ which are subject to the limiting uncertainties
\~ (t_P, l_P). Yet a meaningful (i.e. experimentally verified) version of the
interaction is one where the interaction is viewed from frame $\Sigma'$. Since
no instruments aboard $\Sigma'$ have taken any data, the way we proceeded is by
a Lorentz transformation of ${\cal S}$ from $\Sigma$ to $\Sigma'$. Beware
however that the resulting ${\cal S'}$ no longer consists of raw data, i.e.
Lorentz distortions of probability distributions render the uncertainties
non-Planckian - in fact, it will be shown that as v -> c they are >> (t_P,
l_P), and are no longer negligible. Examples will given to indicate how a
proper interpretation of the most current high energy cosmic and gamma-ray data
necessitates incorporation of the said effect.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:18:08 GMT""},{""version"":""v2"",""created"":""Tue, 26 Feb 2002 02:55:04 GMT""}]","2009-11-07"
"cs/0202037","Jan Van den Bussche","Jan Van den Bussche, Stijn Vansummeren, Gottfried Vossen","Towards practical meta-querying","Includes a new section ""Experimental performance evaluation""","Information Systems, Volume 30, Issue 4 , June 2005, Pages 317-332","10.1016/j.is.2004.04.001",,"cs.DB",,"  We describe a meta-querying system for databases containing queries in
addition to ordinary data. In the context of such databases, a meta-query is a
query about queries. Representing stored queries in XML, and using the standard
XML manipulation language XSLT as a sublanguage, we show that just a few
features need to be added to SQL to turn it into a fully-fledged meta-query
language. The good news is that these features can be directly supported by
extensible database technology.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 19:35:12 GMT""},{""version"":""v2"",""created"":""Mon, 13 Oct 2003 12:29:04 GMT""}]","2007-05-23"
"gr-qc/0202086","Steven Detweiler","Steven Detweiler and Bernard F. Whiting","Self-force via a Green's function decomposition","PRD, in press. Enhanced emphasis on the equivalence principle","Phys.Rev.D67:024025,2003","10.1103/PhysRevD.67.024025",,"gr-qc",,"  The gravitational field of a particle of small mass \mu moving through curved
spacetime is naturally decomposed into two parts each of which satisfies the
perturbed Einstein equations through O(\mu). One part is an inhomogeneous field
which, near the particle, looks like the \mu/r field distorted by the local
Riemann tensor; it does not depend on the behavior of the source in either the
infinite past or future. The other part is a homogeneous field and includes the
``tail term''; it completely determines the self force effects of the particle
interacting with its own gravitational field, including radiation reaction.
Self force effects for scalar, electromagnetic and gravitational fields are all
described in this manner.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:34:29 GMT""},{""version"":""v2"",""created"":""Thu, 7 Mar 2002 21:13:44 GMT""},{""version"":""v3"",""created"":""Thu, 21 Nov 2002 19:07:39 GMT""}]","2010-05-12"
"gr-qc/0202090","Wolfram Schmidt","Wolfram Schmidt","Celestial mechanics in Kerr spacetime","25 pages (LaTeX), 5 figures, submitted to Class. Quantum Grav","Class.Quant.Grav. 19 (2002) 2743","10.1088/0264-9381/19/10/314",,"gr-qc",,"  The dynamical parameters conventionally used to specify the orbit of a test
particle in Kerr spacetime are the energy $E$, the axial component of the
angular momentum, $L_{z}$, and Carter's constant $Q$. These parameters are
obtained by solving the Hamilton-Jacobi equation for the dynamical problem of
geodesic motion. Employing the action-angle variable formalism, on the other
hand, yields a different set of constants of motion, namely, the fundamental
frequencies $\omega_{r}$, $\omega_{\theta}$ and $\omega_{\phi}$ associated with
the radial, polar and azimuthal components of orbital motion. These
frequencies, naturally, determine the time scales of orbital motion and,
furthermore, the instantaneous gravitational wave spectrum in the adiabatic
approximation. In this article, it is shown that the fundamental frequencies
are geometric invariants and explicit formulas in terms of quadratures are
derived. The numerical evaluation of these formulas in the case of a rapidly
rotating black hole illustrates the behaviour of the fundamental frequencies as
orbital parameters such as the semi-latus rectum $p$, the eccentricity $e$ or
the inclination parameter $\theta_{-}$ are varied. The limiting cases of
circular, equatorial and Keplerian motion are investigated as well and it is
shown that known results are recovered from the general formulas.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 13:16:24 GMT""}]","2009-11-07"
"gr-qc/0202091","Megan Govender","M. Govender, et al","Radiating spherical collapse with heat flow","13 pages, including 3 figures, submitted to IJMP-D","Int.J.Mod.Phys. D12 (2003) 667-676","10.1142/S0218271803003086",,"gr-qc",,"  We present here a simple model of radiative gravitational collapse with
radial heat flux which describes qualitatively the stages close to the
formation of a superdense cold star. Starting with a static general solution
for a cold star, the model can generate solutions for the earlier evolutionary
stages. The temporal evolution of the model is specified by solving the
junction conditions appropriate for radiating gravitational collapse.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 13:27:58 GMT""}]","2009-11-07"
"gr-qc/0202092","Anders Hoeglund","G. Bergqvist and A. Hoglund","Algebraic Rainich theory and antisymmetrisation in higher dimensions","16 pages, LaTeX","Class.Quant.Grav. 19 (2002) 3341-3356","10.1088/0264-9381/19/12/316",,"gr-qc",,"  The classical Rainich(-Misner-Wheeler) theory gives necessary and sufficient
conditions on an energy-momentum tensor $T$ to be that of a Maxwell field (a
2-form) in four dimensions. Via Einstein's equations these conditions can be
expressed in terms of the Ricci tensor, thus providing conditions on a
spacetime geometry for it to be an Einstein-Maxwell spacetime. One of the
conditions is that $T^2$ is proportional to the metric, and it has previously
been shown in arbitrary dimension that any tensor satisfying this condition is
a superenergy tensor of a simple $p$-form. Here we examine algebraic Rainich
conditions for general $p$-forms in higher dimensions and their relations to
identities by antisymmetrisation. Using antisymmetrisation techniques we find
new identities for superenergy tensors of these general (non-simple) forms, and
we also prove in some cases the converse; that the identities are sufficient to
determine the form. As an example we obtain the complete generalisation of the
classical Rainich theory to five dimensions.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 14:49:20 GMT""}]","2009-11-07"
"hep-ex/0202044","Henry J. Frisch","D. Acosta, et al, The CDF collaboration","Search for New Physics in Photon-Lepton Events in pbar-p Collisions at
  root-s= 1.8 TeV","As accepted by Phys. Rev. Lett- shortened by removing one figure and
  with some changes to text","Phys.Rev.Lett.89:041802,2002","10.1103/PhysRevLett.89.041802","FERMILAB-PUB-02/031-E; EFI-02-66","hep-ex hep-ph",,"  We present the results of a search in pbar-p collisions at root-s=1.8 TeV for
anomalous production of events containing a photon and a lepton (e or mu), both
with large transverse energy, using 86 pb-1 of data collected with the Collider
Detector at Fermilab during the 1994-95 collider run at the Fermilab Tevatron.
The presence of large missing transverse energy, additional photons, or
additional leptons in these events is also analyzed. The results are consistent
with standard model expectations, with the possible exception of photon-lepton
events with large missing transverse energy, for which the observed total is 16
events and the expected mean total is 7.6 \pm 0.7 events.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 02:53:19 GMT""},{""version"":""v2"",""created"":""Mon, 19 Aug 2002 22:14:33 GMT""}]","2010-05-12"
"hep-lat/0202025","Thomas Lippert","J. van den Eshof, A. Frommer, Th. Lippert, K. Schilling, and H. A. van
  der Vorst","Numerical Methods for the QCD Overlap Operator: I. Sign-Function and
  Error Bounds","30 pages, 2 figures","Comput.Phys.Commun. 146 (2002) 203-224","10.1016/S0010-4655(02)00455-1","WUB 02-04","hep-lat",,"  The numerical and computational aspects of the overlap formalism in lattice
quantum chromodynamics are extremely demanding due to a matrix-vector product
that involves the sign function of the hermitian Wilson matrix. In this paper
we investigate several methods to compute the product of the matrix
sign-function with a vector, in particular Lanczos based methods and partial
fraction expansion methods. Our goal is two-fold: we give realistic comparisons
between known methods together with novel approaches and we present error
bounds which allow to guarantee a given accuracy when terminating the Lanczos
method and the multishift-CG solver, applied within the partial fraction
expansion methods.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 19:09:57 GMT""}]","2009-11-07"
"hep-lat/0202026","Keh-Fei Liu","Keh-Fei Liu","Finite Density Algorithm in Lattice QCD -- a Canonical Ensemble Approach","Invited talk at Nankai Symposium on Mathematical Physics, Tianjin,
  Oct. 2001, 18 pages, 3 figures; expanded and references added","Int.J.Mod.Phys. B16 (2002) 2017-2032","10.1142/S0217979202011755","UK/02-02","hep-lat cond-mat.supr-con hep-ph nucl-th",,"  I will review the finite density algorithm for lattice QCD based on finite
chemical potential and summarize the associated difficulties. I will propose a
canonical ensemble approach which projects out the finite baryon number sector
from the fermion determinant. For this algorithm to work, it requires an
efficient method for calculating the fermion determinant and a Monte Carlo
algorithm which accommodates unbiased estimate of the probability. I shall
report on the progress made along this direction with the Pad\'{e} - Z$_2$
estimator of the determinant and its implementation in the newly developed
Noisy Monte Carlo algorithm.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 00:52:53 GMT""},{""version"":""v2"",""created"":""Wed, 8 May 2002 19:24:02 GMT""}]","2009-11-07"
"hep-lat/0202027","Serguei Molodtsov","S.V. Molodtsov, G.M. Zinovjev","Instanton vacuum at finite density of quark matter","Lattice 2001 (Non-zero temperature and density), 3 pages, 4 figures",,"10.1016/S0920-5632(01)01750-9",,"hep-lat",,"  We study light quark interactions in the instanton liquid at finite
quark/baryon number density analyzing chiral and diquark condensates and
investigate the behaviors of quark dynamical mass and both condensates together
with instanton liquid density as a function of quark chemical potential. We
conclude the quark impact (estimated in the tadpole approximation) on the
instanton liquid could shift color superconducting phase transition to higher
values of the chemical potential bringing critical quark matter density to the
values essentially higher than conventional nuclear one.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 11:02:48 GMT""}]","2009-11-07"
"hep-ph/0202231","Lech Szymanowski","Ph. H\""agler, B. Pire, L. Szymanowski, O.V. Teryaev","Hunting the QCD-Odderon in hard diffractive electroproduction of two
  pions","13 pages LATEX, 6 .eps figures, numerical error corrected, new
  figures,main conclusions not changed","Phys.Lett.B535:117-126,2002; Erratum-ibid.B540:324-325,2002","10.1016/S0370-2693(02)01736-7","CPHT S 001.01.02","hep-ph",,"  Charge asymmetries in diffractive electroproduction of two mesons are
proportional to the interference of Pomeron and Odderon exchange amplitudes. We
calculate in the framework of QCD and in the Born approximation a
forward-backward charge asymmetry which turns out to be sizable in a
kinematical domain accessible to HERA experiments. We predict a distinctive
dependence of this asymmetry on the invariant mass of the two pions. Testing
this prediction is a crucial step in the discovery of the QCD-Odderon.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 19:06:45 GMT""},{""version"":""v2"",""created"":""Fri, 12 Apr 2002 19:39:23 GMT""},{""version"":""v3"",""created"":""Fri, 21 Jun 2002 08:43:48 GMT""}]","2010-11-15"
"hep-ph/0202232","Tommaso Tabarelli de Fatis","T. Tabarelli de Fatis (INFN, Milan)","Prospects of measuring $\sin^2 2\Theta_{13}$ and the sign of $\Delta
  m^2$ with a massive magnetized detector for atmospheric neutrinos","(8 pages, 8 figures, submitted to Eur.Phys.J.C)","Eur.Phys.J.C24:43-50,2002","10.1007/s100520200935","Bicocca-EX-02-01","hep-ph",,"  The pattern of oscillation parameters emerging from current experimental data
can be further elucidated by the observation of matter effects. In contrast to
planned experiments with conventional neutrino beams, atmospheric neutrinos
offer the possibility to search for Earth-induced matter effects with very long
baselines. Resonant matter effects are asymmetric on neutrinos and
anti-neutrinos, depending on the sign of $\Delta m^2$. In a three-generation
oscillation scenario, this gives access to the mass hierarchy of neutrinos,
while the size of the asymmetry would measure the admixture of electron
neutrinos to muon/tau neutrino oscillations (the mixing angle $\Theta_{13}$).
The sensitivity to these effects is discussed after the detailed simulation of
a realistic experiment based on a massive detector for atmospheric neutrinos
with charge identification. We show how a detector, which measure and
distinguish between $\nu_\mu$ and $\bar{\nu}_\mu$ charged current events, might
be sensitive to matter effects using atmospheric neutrinos, provided the mixing
angle $\Theta_{13}$ is large enough.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:04:28 GMT""}]","2011-09-13"
"hep-ph/0202233","Georg Weiglein","B.C. Allanach, M. Battaglia, G.A. Blair, M. Carena, A. De Roeck, A.
  Dedes, A. Djouadi, D. Gerdes, N. Ghodbane, J. Gunion, H.E. Haber, T. Han, S.
  Heinemeyer, J.L. Hewett, I. Hinchliffe, J. Kalinowski, H.E. Logan, S.P.
  Martin, H.-U. Martyn, K.T. Matchev, S. Moretti, F. Moortgat, G.
  Moortgat-Pick, S. Mrenna, U. Nauenberg, Y. Okada, K.A. Olive, W. Porod, M.
  Schmitt, S. Su, C.E.M. Wagner, G. Weiglein, J. Wells, G.W. Wilson, P. Zerwas","The Snowmass Points and Slopes: Benchmarks for SUSY Searches","12 pages, 3 figures","Eur.Phys.J.C25:113-123,2002","10.1007/s10052-002-0949-3","BNL-HET-02/6, CERN-TH/2002-020, DCPT/02/16, DESY 02-022,
  FERMILAB-Conf-02/011-T, HEPHY-PUB 751, IPPP/02/08, PM/01-69, SLAC-PUB-9134,
  UCD-2002-01, UFIFT-HEP-02-2, UMN-TH-2043/02, ZU-TH 3/02","hep-ph",,"  The ``Snowmass Points and Slopes'' (SPS) are a set of benchmark points and
parameter lines in the MSSM parameter space corresponding to different
scenarios in the search for Supersymmetry at present and future experiments.
This set of benchmarks was agreed upon at the 2001 ``Snowmass Workshop on the
Future of Particle Physics'' as a consensus based on different existing
proposals.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:08:58 GMT""}]","2009-01-14"
"hep-ph/0202234","Marek Karliner","Marek Karliner and Shmuel Nussinov (Tel Aviv University)","QCD and e+e- --> Baryon + anti-Baryon","extended discussion of quark loop suppression in baryons in the
  large-N_c limit; updated refs","Phys.Lett. B538 (2002) 321-326","10.1016/S0370-2693(02)02033-6","TAUP-2679-01","hep-ph",,"  We discuss the QCD constraints on e+e- --> baryon-anti-baryon close to
threshold, in light of the puzzling experimental data which indicate that close
to threshold sigma (e+e- --> n n-bar) > sigma (e+e- --> p p-bar). We focus on
the process e+e- --> Delta Delta-bar, which is particularly simple from the
theoretical point of view. In this case it is possible to make exact QCD
predictions for the relative yields of the four members of the Delta multiplet,
modulo one crucial dynamical assumption.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:27:28 GMT""},{""version"":""v2"",""created"":""Thu, 6 Jun 2002 11:36:37 GMT""}]","2015-06-25"
"hep-ph/0202235","Alakabha Datta","Alakabha Datta, Harry J. Lipkin and Patrick J. O'Donnell","Charmless B Decays to Final States with Radially Excited Vector Mesons","Latex, 12 pages, one figure","Phys.Lett. B540 (2002) 97-103","10.1016/S0370-2693(02)02129-9","UdeM-GPP-TH-01-94, UTPT-02-01, TAUP 2696-02","hep-ph",,"  We consider the weak decays of a B meson to final states that contain a
S-wave radially excited vector meson. We consider vector-pseudoscalar final
states and calculate ratios of the type $B \to \rho^{\prime} \pi/B \to \rho
\pi$, $B \to \omega^{\prime} \pi/B \to \omega \pi$ and $B \to \phi^{\prime}
\pi/B \to \phi \pi$ where $\rho^{\prime}$, $\omega^{\prime}$ and
$\phi^{\prime}$ are higher $\rho$, $\omega$ and $\phi$ S-wave radial
excitations. We find such decays to have larger or similar branching ratios
compared to decays where the final state $\rho$, $\omega$ and $\phi$ are in the
ground state. We also study the effect of radial mixing in the vector system
generated from hyperfine interaction and the annihilation term.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:53:00 GMT""}]","2009-11-07"
"hep-ph/0202236","Deog Ki Hong","Deog Ki Hong and Stephen D.H. Hsu","Positivity of High Density Effective Theory","10 pages, Revised version, to appear in Rapid Communications of
  Physical Review D","Phys.Rev. D66 (2002) 071501","10.1103/PhysRevD.66.071501","PNUTP-02/A01, OITS 711","hep-ph hep-lat hep-th nucl-th",,"  We show that the effective field theory of low energy modes in dense QCD has
positive Euclidean path integral measure. The complexity of the measure of QCD
at finite chemical potential can be ascribed to modes which are irrelevant to
the dynamics at sufficiently high density. Rigorous inequalities follow at
asymptotic density. Lattice simulation of dense QCD should be possible using
the quark determinant calculated in the effective theory.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:54:47 GMT""},{""version"":""v2"",""created"":""Fri, 30 Aug 2002 10:55:08 GMT""}]","2009-11-07"
"hep-ph/0202237","Fabio Maltoni","V. Del Duca, F. Maltoni, Z. Trocsanyi","The contribution of the four-parton final states to gamma* gamma* ->
  hadrons","32 pages, 10 figures, published version","JHEP 0205 (2002) 005","10.1088/1126-6708/2002/05/005",,"hep-ph",,"  In the analysis of the total cross section for the gamma* gamma* -> hadrons
process, we include the four parton final states, which are part of the
O(alpha_s^2) corrections. The four-parton final states contain the diagrams
with gluon exchange in the crossed channel, which constitute the leading order
of the BFKL resummation. We show that the diagrams with gluon exchange in the
crossed channel play an important role in the large Y region, however their
contribution to the cross section must be evaluated exactly. In fact, the
high-energy limit, which constitutes the kinematic framework of the BFKL
resummation, is not sufficiently accurate at LEP2 energies. The inclusion of
the diagrams with gluon exchange in the crossed channel reduces the discrepancy
between the theory and the LEP2 data collected by the L3 Collaboration, but the
data still lie above the theory, even allowing for a large scale uncertainty in
the theory. Thus, in order to describe accurately the data for gamma* gamma* ->
hadrons in the large Y region, corrections of an order higher than O(alpha_s^2)
seem to be necessary.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 21:12:50 GMT""},{""version"":""v2"",""created"":""Tue, 21 May 2002 16:45:44 GMT""}]","2009-11-07"
"hep-ph/0202238","Yuri V. Kovchegov","Yuri V. Kovchegov (University of Washington)","High Energy QCD and the Large Nc Limit","20 pages, 8 figures, to be published in the proceedings of ""The
  Phenomenology of Large Nc QCD"" workshop, 9-11 January 2002, Arizona State
  University, Tempe, AZ",,"10.1142/9789812776914_0007","NT@UW-02-003","hep-ph",,"  We review recent progress in understanding QCD at high energies and the role
played in it by the large Nc limit. We discuss unitarization of total hadronic
cross sections and saturation of structure functions at high energies.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 21:52:44 GMT""}]","2017-08-23"
"hep-ph/0202239","Alejandro Ibarra","Sacha Davidson and Alejandro Ibarra","A lower bound on the right-handed neutrino mass from leptogenesis","9 pages. References added. Version to appear in Phys. Lett. B","Phys.Lett. B535 (2002) 25-32","10.1016/S0370-2693(02)01735-5","OUTP-02-10P, IPPP/02/16, DCPT/02/32","hep-ph",,"  In the seesaw model, the baryon asymmetry of the Universe can be generated by
the decay of the lightest right-handed neutrino, nu_R. For a hierarchical
spectrum of right-handed neutrinos, we show that there is a model independent
upper bound on the CP asymmetry produced in these decays: epsilon < 3 m_{nu_3}
M_{nu_R}/(8 pi <H_u>^2). This implies that epsilon and the mass M_{nu_R} of the
lightest right-handed neutrino are not independent parameters, as is commonly
assumed. If m_{nu_3} = sqrt{Delta m^2_{atm}} and the nu_R are produced
thermally, then leptogenesis requires a reheat temperature of the Universe
T_{reh} > M_{nu_R} > 10^8 GeV. Reasonable estimates of nu_R production and the
subsequent washout of the asymmetry, as made by Buchmuller and Plumacher, imply
M_{nu_R} > 10^9 GeV, and T_{reh} > 10^{10} GeV. Implications for the gravitino
problem are also discussed.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 22:30:54 GMT""},{""version"":""v2"",""created"":""Tue, 23 Apr 2002 09:26:35 GMT""}]","2009-11-07"
"hep-ph/0202240","Sven Soff","Sven Soff (Lawrence Berkeley National Laboratory)","HBT interferometry and the parton-hadron phase transition","Invited talk at the International Workshop XXX on Gross Properties of
  Nuclei and Nuclear Excitations - Ultrarelativistic Heavy-Ion Collisions, Jan.
  13-19, 2002, Hirschegg, Austria. 10 pages, 7 figures",,,"LBNL-49674","hep-ph nucl-ex nucl-th",,"  We discuss predictions for the pion and kaon interferometry measurements in
relativistic heavy ion collisions at SPS and RHIC energies. In particular, we
confront relativistic transport model calculations that include explicitly a
first-order phase transition from a thermalized quark-gluon plasma to a hadron
gas with recent data from the RHIC experiments. We critically examine the
""HBT-puzzle"" both from the theoretical as well as from the experimental point
of view. Alternative scenarios are briefly explained.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 23:57:14 GMT""},{""version"":""v2"",""created"":""Mon, 11 Mar 2002 23:29:39 GMT""}]","2007-05-23"
"hep-ph/0202241","Saurabh Rindani","Saurabh D. Rindani (Phys. Res. Lab. Ahmedabad)","QCD corrections to decay-lepton polar and azimuthal angular
  distributions in e+e- -> t tbar in the soft-gluon approximation","21 pages, Latex, 6 figures included in the submission. To appear in
  Pramana - Journal of Physics; expanded version of hep-ph/0011321, v3","Pramana 58:575,2002","10.1007/s12043-002-0016-5",,"hep-ph",,"  QCD corrections to order alpha_s in the soft-gluon approximation to angular
distributions of decay charged leptons in the process e+e- -> t tbar followed
by semileptonic decay of t or tbar, are obtained in the e+e- centre-of-mass
frame. As compared to distributions in the top rest frame, these have the
advantage that they would allow direct comparison with experiment without the
need to reconstruct the top rest frame. The results also do not depend on the
choice of a spin quantization axis for t or tbar. Analytic expression for the
triple distribution in the polar angle of t and polar and azimuthal angles of
the lepton is obtained. Analytic expression is also derived for the
distribution in the charged-lepton polar angle. Numerical values are discussed
for total c.m. energies of 400 GeV, 800 GeV and 1500 GeV.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 09:26:57 GMT""}]","2011-03-23"
"hep-ph/0202242","Johan Bijnens","Johan Bijnens (Lund) and Juerg Gasser (Bern)","Eta decays at and beyond $\mathbf{p^4}$ in Chiral Perturbation Theory","Talks presented at the Workshop on Eta Physics, Angstrom laboratory,
  Uppsala, October 25-27, 2001; published version (Physica Scripta Topical
  Issues T99 (2002) 34). Typos corrected, conclusions unchanged. 31 pages","Phys.Scripta T99 (2002) 34-44","10.1238/Physica.Topical.099a00034","BUTP-2002/03, LU TP 02-05","hep-ph",,"  An overview is given of Chiral Perturbation Theory and various applications
to eta decays. In particular, the main decay $\eta\to3\pi$ is discussed at the
one-loop level, and estimates of the higher order corrections are given. The
importance of $p^6$ and higher order effects in double Dalitz and
$\eta\to\pi^0\gamma\gamma$ decays is pointed out. In all these cases the need
for new experimental results is stressed.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 10:01:04 GMT""},{""version"":""v2"",""created"":""Sun, 18 Aug 2002 13:55:39 GMT""}]","2009-11-07"
"hep-ph/0202243","Nagataki Shigehiro","S. Nagataki","TeV Neutrinos from Companion Stars of Rapid-Rotating Neutron Stars","4 pages, using REVTeX. Some comments are added",,,,"hep-ph astro-ph",,"  We have estimated the number flux of of mu-neutrinos which are produced due
to the hadronic interactions between the cosmic rays coming from a neutron star
and the matter in a companion star. The event rate at 1 km^2 detectors of
high-energy neutrinos such as ICECUBE, ANTARES and NESTOR is also estimated to
be 2.7 \times 10^4 events yr^-1 when the source is located at 10 kpc away from
the Earth. We have estimated the number of such a system and concluded that
there will be several candidates in our galaxy. Taking these results into
consideration, this scenario is promising and will be confirmed by the future
observations.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 11:35:14 GMT""},{""version"":""v2"",""created"":""Sat, 29 Jun 2002 08:08:10 GMT""}]","2007-05-23"
"hep-ph/0202244","Liliana Micu","L. Micu","A stationary relativistic representation of the bound state","12 pages",,,,"hep-ph",,"  We show that a bound system in momentum space can be treated like a gas of
free elementary constituents and a collective excitation of a background field
which represents the countless quantum fluctuations generating the binding
potential. The distribution function of the internal momenta in the bound
system at rest is given by the projection of the solution of a relativistic
bound state equation on the free wave functions of the elementary constituents.
The 4-momentum carried by the collective excitation is the difference between
the bound state 4-momentum and the sum of the free 4-momenta. This definiton
ensures the explicit fulfilment of Lorentz covariance, mass-shell constraints
and single particle normalizability of the bound state function. The discussion
is made for a two particle bound state and can be easily generalized to the
case of three or more particles.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 13:19:46 GMT""}]","2007-05-23"
"hep-ph/0202245","Hamid Beshtoev","Kh.M. Beshtoev","Oscillations of $K^0$ Mesons in the Phase Volume Approach in the
  Standard Model and in the Model of Dynamical Analogy of the
  Cabibbo-Kobayashi-Maskawa Matrices","LATEX, 11 pages, no figures and tables",,,,"hep-ph",,"  The elements of the theory of dynamical expansion of the theory of weak
interaction working at the tree level, i.e. the model of dynamical analogy of
Cabibbo-Kobayashi- Maskawa matrices, are given.
  The equation for mass difference of $K^0_1, K^0_2$ mesons or the length of
$K^0, \bar K^0$ meson oscillations in the phase volume approach in the frame
work of the standard model of the weak interactions and the model of dynamical
analogy of Cabibbo-Kobayashi-Maskawa matrices is calculated (in this model the
oscillations of $K^0, \bar K^0$ mesons arise at violation of strangeness by $B$
bosons). Comparison of the length of oscillations in the diagram and phase
volume approaches was done. The length of $K^0 \leftrightarrow \bar K^0$
oscillations in the phase volume approach is much more than the length of these
oscillations in the diagram approach.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 14:45:42 GMT""}]","2007-05-23"
"hep-th/0202165","Shigeki Sugimoto","T. Asakawa, S. Sugimoto, S. Terashima","D-branes and KK-theory in Type I String Theory","31 pages, corrected typos, added references","JHEP 0205 (2002) 007","10.1088/1126-6708/2002/05/007","YITP-02-11, CITUSC/02-005, ITFA-2002-04","hep-th",,"  We analyse unstable D-brane systems in type I string theory. Generalizing the
proposal in hep-th/0108085, we give a physical interpretation for real
KK-theory and claim that the D-branes embedded in a product space X x Y which
are made from the unstable Dp-brane system wrapped on Y are classified by a
real KK-theory group KKO^{p-1}(X,Y). The field contents of the unstable D-brane
systems are systematically described by a hidden Clifford algebra structure.
  We also investigate the matrix theory based on non-BPS D-instantons and show
that the spectrum of D-branes in the theory is exactly what we expect in type I
string theory, including stable non-BPS D-branes with Z_2 charge. We explicitly
construct the D-brane solutions in the framework of BSFT and analyse the
physical property making use of the Clifford algebra.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 18:11:18 GMT""},{""version"":""v2"",""created"":""Sat, 2 Mar 2002 19:55:14 GMT""}]","2009-11-07"
"hep-th/0202170","Kayoomars Karami","Kh. Saaidi, M.R. Setare","More on Phase Structure of Nonlocal 2D Generalized Yang-Mills Theories
  (nlgYM$_2$'s)","11 pages, no figures","Int.J.Mod.Phys. A17 (2002) 3641-3648","10.1142/S0217751X02011345","UNW-97-13","hep-th",,"  We study the phase structure of nonlocal two dimensional generalized Yang -
Mills theories (nlgYM$_2$) and it is shown that all order of $\phi^{2k}$ model
of these theories has phase transition only on compact manifold with $g = 0$(on
sphere), and the order of phase transition is 3. Also it is shown that the
$\phi^2 + \frac{2\alpha}{3}\phi^3$ model of nlgYM$_2$ has third order phase
transition on any compact manifold with $1 < g < 1+ \frac{\hat{A}}{|\eta_c|}$,
and has no phase transition on sphere.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 16:06:20 GMT""}]","2009-11-07"
