"astro-ph/0211036","Vishwakarma R. G.","J.V. Narlikar, R.G. Vishwakarma, Amir Hajian, Tarun Souradeep, G.
  Burbidge and F. Hoyle","Inhomogeneities in the Microwave Background Radiation interpreted within
  the framework of the Quasi-Steady State Cosmology","27 pages, including 5 figures; to appear in Astrophys. J","Astrophys.J. 585 (2003) 1-11","10.1086/345928",,"astro-ph gr-qc hep-th",,"  We calculate the expected angular power spectrum of the temperature
fluctuations in the microwave background radiation (MBR) generated in the
quasi-steady state cosmology (QSSC). The paper begins with a brief description
of how the background is produced and thermalized in the QSSC. We then discuss
within the framework of a simple model, the likely sources of fluctuations in
the background due to astrophysical and cosmological causes. Power spectrum
peaks at $l \approx 6-10$, 180-220 and 600-900 are shown to be related in this
cosmology respectively to curvature effects at the last minimum of the scale
factor, clusters and groups of galaxies. The effect of clusters is shown to be
related to their distribution in space as indicated by a toy model of structure
formation in the QSSC. We derive and parameterize the angular power spectrum
using six parameters related to the sources of temperature fluctuations at
three characteristic scales. We are able to obtain a satisfactory fit to the
observational band power estimates of MBR temperature fluctuation spectrum.
Moreover, the values of `best fit' parameters are consistent with the range of
expected values.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 04:41:55 GMT""}]","2009-11-07"
"cond-mat/0211042","Jeppe C. Dyre","Jeppe C. Dyre and Niels Boye Olsen (Roskilde University)","Landscape equivalent of the shoving model","4 pages","Phys. Rev. E 69, 042501 (2004)","10.1103/PhysRevE.69.042501",,"cond-mat.soft",,"  It is shown that the shoving model expression for the average relaxation time
of viscous liquids follows largely from a classical ""landscape"" estimation of
barrier heights from curvature at energy minima. The activation energy involves
both instantaneous bulk and shear moduli, but the bulk modulus contributes less
than 8% to the temperature dependence of the activation energy. This reflects
the fact that the physics of the two models are closely related.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:08:51 GMT""},{""version"":""v2"",""created"":""Mon, 5 May 2003 14:27:14 GMT""},{""version"":""v3"",""created"":""Mon, 16 Jun 2003 08:25:07 GMT""},{""version"":""v4"",""created"":""Wed, 18 Jun 2003 07:25:15 GMT""}]","2009-11-07"
"cond-mat/0211044","Paolo Muratore-Ginanneschi","E. Aurell, P. Muratore-Ginanneschi","Growth-Optimal Strategies with Quadratic Friction Over Finite-Time
  Investment Horizons","13 pages in pdf format, 2 figures","IJTAF Vol. 7, No. 5 (2004), 645-657","10.1142/S0219024904002578",,"cond-mat.stat-mech q-fin.PM",,"  We investigate the growth optimal strategy over a finite time horizon for a
stock and bond portfolio in an analytically solvable multiplicative Markovian
market model. We show that the optimal strategy consists in holding the amount
of capital invested in stocks within an interval around an ideal optimal
investment. The size of the holding interval is determined by the intensity of
the transaction costs and the time horizon.
","[{""version"":""v1"",""created"":""Sun, 3 Nov 2002 17:26:40 GMT""}]","2011-06-24"
"cond-mat/0211045","Leonid Fel","Leonid G. Fel and Yoram Zimmels","Rayleigh Instability in Liquid Crystalline Jet","25 pages, 2 figures, 2 Tables",,,,"cond-mat.soft",,"  The capillary instability of liquid crystalline (LC) jets is considered in
the framework of linear hydrodynamics of uniaxial nematic LC. The free boundary
conditions of the problem are formulated in terms of mean surface curvature
${\cal H}$ and Gaussian surface curvature ${\cal G}$. The static version of
capillary instability is shown to depend on the elasticity modulus $K$, surface
tension $\sigma_0$, and radius $r_0$ of the LC jet, as expressed by the
characteristic parameter $\varkappa=K/\sigma_0 r_0$. The problem of capillary
instability in LC jets is solved exactly and a dispersion relation, which
reflects the effect of elasticity, is derived. It is shown that increase of the
elasticity modulus results in a decrease of both the cut off wavenumber $k$ and
the disturbance growth rate $s$. This implies enhanced stability of LC jets,
compared to ordinary liquids. In the specific case, where the hydrodynamic and
orientational LC modes can be decoupled, the dispersion equation is given in
closed form.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:29:11 GMT""}]","2007-05-23"
"cond-mat/0211046","Andrea Fubini","Holger Baur, Andrea Fubini, and Ulrich Weiss","Nonequilibrium quantum decay and decoherence in quantum impurity
  problems","10 pages (RevTex preprint format), 2 figures",,,,"cond-mat.stat-mech cond-mat.mes-hall",,"  Using detailed balance and scaling properties of integrals that appear in the
Coulomb gas reformulation of quantum impurity problems, we establish exact
relations between the nonequilibrium quantum decay rates of the boundary
sine-Gordon and the anisotropic Kondo model at zero temperature. Combining
these results with findings from the thermodynamic Bethe ansatz, we derive
exact closed form expressions for the quantum decay rate of the dissipative
two-state system in the scaling limit. These expressions illustrate how the
crossover from weak to strong tunneling takes place. We trace out the regimes
in which the usually applied Golden Rule (nonadiabatic) rate expression fails.
Using a conjectured correspondence between the relaxation and dephasing rate,
we obtain the exact lower bound of the dephasing rate as a function of bias and
dissipation strength.
","[{""version"":""v1"",""created"":""Sun, 3 Nov 2002 21:28:38 GMT""}]","2016-08-31"
"cond-mat/0211047","Ruslan Prozorov","R. Prozorov, R. W. Giannetta, N. Kameda, T. Tamegai, J. A. Schlueter,
  P. Fournier","Campbell Penetration Depth of a Superconductor in the Critical State",,"Phys. Rev. B 67, 184501 (2003)","10.1103/PhysRevB.67.184501",,"cond-mat.supr-con",,"  The magnetic penetration depth $\lambda(T,H,j)$ was measured in the presence
of a slowly relaxing supercurrent, $j$. In single crystal
$\mathrm{Bi_2Sr_2CaCu_2O_8}$ below approximately 25 K, $\lambda(T,H,j)$ is
strongly hysteretic. We propose that the irreversibility arises from a shift of
the vortex position within its pinning well as $j$ changes. The Campbell length
depends upon the ratio $j/j_{c}$ where $j_{c}$ is the critical current defined
through the Labusch parameter. Similar effects were observed in other cuprates
and in an organic superconductor.
","[{""version"":""v1"",""created"":""Sun, 3 Nov 2002 22:25:41 GMT""}]","2009-11-07"
"cond-mat/0211048","Jeff Tallon","J. L. Tallon, J. W. Loram and C. Panagopoulos","Pseudogap and quantum-transition phenomenology in HTS cuprates","MOS2002 oral paper, 8 pages, 3 colour figures. Paper in press J. Low
  Temp. Phys Replacement adds reference 19",,,,"cond-mat.supr-con",,"  The low-energy excitation spectrum of HTS cuprates is examined in the light
of thermodynamic, transport, quasiparticle and spin properties. Changes in the
thermodynamic spectrum associated with the normal-state pseudogap disappear
abruptly at a critical doping state, $p_{crit}$ = 0.19 holes per Cu. Moreover,
ARPES data at 100K show that heavily damped quasiparticles (QP) near ($\pi$,0)
suddenly recover long lifetimes at $p_{crit}$, reflecting an abrupt loss of
scattering from AF spin fluctuations. This picture is confirmed by $\mu$SR
zero-field relaxation measurements which indicate the presence of a novel
quantum glass transition at $p_{crit}$. Consistent with this picture
resistivity studies on thin films of
Y$_{0.7}$Ca$_{0.3}$Ba$_2$Cu$_3$O$_{7-\delta}$ reveal linear behavior confined
to a V-shaped domain focussed on $p_{crit}$ at $T$=0. The generic phase
behavior of the cuprates may be governed by quantum critical fluctuations above
$p_{crit}$ and the pseudogap appears to be caused by short-range AF
correlations.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 00:33:05 GMT""},{""version"":""v2"",""created"":""Thu, 14 Nov 2002 04:20:57 GMT""}]","2007-05-23"
"cond-mat/0211049","Takashi Hotta","Takashi Hotta, Mohammad Moraghebi, Adrian Feiguin, Adriana Moreo,
  Seiji Yunoki, and Elbio Dagotto","Unveiling New Magnetic Phases of Undoped and Doped Manganites","Revision of text and figures","Phys. Rev. Lett. 90, 247203 (2003).","10.1103/PhysRevLett.90.247203",,"cond-mat.str-el",,"  Novel ground-state spin structures in undoped and lightly-doped manganites
are here investigated based on the orbital-degenerate double-exchange model, by
using mean-field and numerical techniques. In undoped manganites, a new
antiferromagnetic (AFM) state, called the E-type phase, is found adjacent in
parameter space to the A-type AFM phase. Its structure is in agreement with
recent experimental results. This insulating E-AFM state is also competing with
a ferromagnetic metallic phase as well, suggesting that large magneto-resistant
effects could exist even in undoped Mn oxides. For doped layered manganites,
the phase diagram includes another new AFM phase of the ${\rm C_x
E_{1-x}}$-type. Experimental signatures of the new phases are discussed.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 03:13:52 GMT""},{""version"":""v2"",""created"":""Sat, 4 Jan 2003 03:56:01 GMT""}]","2009-11-07"
"cond-mat/0211050","Victor M. Yakovenko","A. Christian Silva, Victor M. Yakovenko","Comparison between the probability distribution of returns in the Heston
  model and empirical data for stock indexes","Elsevier style (enclosed), 7.5 pages, 7 figures with 14 eps files.
  Submitted to Physica A, Proceedings of International Econophysics Conference
  in Bali, 28-31 August 2002","Physica A 324, 303-310 (2003)","10.1016/S0378-4371(02)01903-9",,"cond-mat.str-el",,"  We compare the probability distribution of returns for the three major
stock-market indexes (Nasdaq, S&P500, and Dow-Jones) with an analytical formula
recently derived by Dragulescu and Yakovenko for the Heston model with
stochastic variance. For the period of 1982-1999, we find a very good agreement
between the theory and the data for a wide range of time lags from 1 to 250
days. On the other hand, deviations start to appear when the data for 2000-2002
are included. We interpret this as a statistical evidence of the major change
in the market from a positive growth rate in 1980s and 1990s to a negative rate
in 2000s.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 04:07:15 GMT""},{""version"":""v2"",""created"":""Tue, 5 Nov 2002 17:50:49 GMT""}]","2007-05-23"
"cond-mat/0211051","Francesca Ferlaino","F. Ferlaino, R. J. Brecha, P. Hannaford, F. Riboli, G. Roati, G.
  Modugno, and M. Inguscio","Dipolar oscillations in a quantum degenerate Fermi-Bose atomic mixture","13 pages, 6 figures. Sudmitted to the Journal of Optics B special
  issue on the 7th International Workshop on Atom Optics and Interferometry","J. Opt. B: Quantum Semiclass. Opt. 5 No 2 (April 2003) S3-S8",,,"cond-mat.soft",,"  We study the dynamics of coupled dipolar oscillations in a Fermi-Bose mixture
of $^{40}$K and $^{87}$Rb atoms. This low-energy collective mode is strongly
affected by the interspecies interactions. Measurements are performed in the
dynamical and quantum degenerate regimes and evidence the crucial role of the
statistical properties of the mixture. At the onset of quantum degeneracy, we
investigate the role of Pauli blocking and superfluidity for K and Rb atoms,
respectively, resulting in a change in the collisional interactions.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:08:33 GMT""}]","2007-05-23"
"cond-mat/0211052","Vyacheslav B. Priezzhev","V.B. Priezzhev","Exact Non-Stationary Probabilities in the Asymmetric Exclusion Process
  on a Ring","4 pages, 1 figure",,"10.1103/PhysRevLett.91.050601",,"cond-mat.stat-mech",,"  By a geometrical treatment of the Bethe ansatz, we obtain an exact solution
for the totally asymmetric exclusion process on a ring. We derive an explicit
determinant expression for the non-stationary conditional probability
$Prob(x_1,...,x_P;t|x_1^0,...,x_P^0;0)$ of finding $P$ particles on sites
$x_1,...,x_P$ at time $t$ provided they are on sites $x_1^0,...,x_P^0$ at time
$t=0$.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 13:00:51 GMT""}]","2009-11-07"
"cond-mat/0211053","Marco Polini","R. Asgari, M. Polini, B. Davoudi, M. P. Tosi","Pair densities at contact in the quantum electron gas","7 pages, 2 figures","Solid State Commun. 125, 139 (2003)","10.1016/S0038-1098(02)00782-2",,"cond-mat.str-el",,"  The value of the pair distribution function g(r) at contact (r = 0) in a
quantum electron gas is determined by the scattering events between pairs of
electrons with antiparallel spins. The theoretical results for g(0) as a
function of the coupling strength r_s in the paramagnetic electron gas in
dimensionality D=2 and 3, that have been obtained from the solution of the
two-body scattering problem with a variety of effective scattering potentials
embodying many-body effects, are compared with the results of many-body
calculations in the ladder approximation and with quantum Monte Carlo data.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:24:24 GMT""}]","2009-11-07"
"cond-mat/0211054","Catia Lavalle","C. Lavalle, M. Arikawa, S. Capponi, F. F. Assaad and A. Muramatsu","Antiholons in one-dimensional t-J models","4 pages, 4 figures","Phys. Rev. Lett. 90, 216401 (2003)","10.1103/PhysRevLett.90.216401",,"cond-mat.str-el",,"  Using a newly developed hybrid Monte Carlo algorithm for the nearest-neighbor
(n.n.) t-J model, we show that antiholons identified in the supersymmetric
inverse squared (IS) t-J model are clearly visible in the electron addition
spectrum of the n.n. t-J model at J=2t and also for J=0.5t, a value of
experimental relevance.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:31:25 GMT""},{""version"":""v2"",""created"":""Mon, 2 Jun 2003 09:56:42 GMT""}]","2009-11-07"
"cond-mat/0211055","Andreas Kack","Andreas Kack, Goran Johansson, Goran Wendin","Full frequency voltage noise spectral density of a single electron
  transistor","14 pages, 18 figures, submitted to PRB",,"10.1103/PhysRevB.67.035301",,"cond-mat.mes-hall",,"  We calculate the full frequency spectral density of voltage fluctuations in a
Single Electron Transistor (SET), used as an electrometer biased above the
Coulomb threshold so that the current through the SET is carried by sequential
tunnel events. We consider both a normal state SET and a superconducting SET.
The whole spectrum from low frequency telegraph noise to quantum noise at
frequencies comparable to the SET charging energy $(E_{C}/\hbar)$, and high
frequency Nyquist noise is described. We take the energy exchange between the
SET and the measured system into account using a real-time diagrammatic Keldysh
technique. The voltage fluctuations determine the back-action of the SET onto
the measured system and we specifically discuss the case of superconducting
charge qubit read-out and measuring the so-called Coulomb staircase of a single
Cooper pair box.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:36:14 GMT""}]","2015-06-24"
"cond-mat/0211056","Bonilla","J.C. Neu, J.A. Ca\~nizo and L.L. Bonilla","Three eras of micellization","21 pages, 6 figures, to appear in Phys. Rev. E","Phys. Rev. E 66, 061406 (2002)","10.1103/PhysRevE.66.061406",,"cond-mat.mtrl-sci",,"  Micellization is the precipitation of lipids from aqueous solution into
aggregates with a broad distribution of aggregation number. Three eras of
micellization are characterized in a simple kinetic model of Becker-D\""oring
type. The model asigns the same constant energy to the $(k-1)$ monomer-monomer
bonds in a linear chain of $k$ particles. The number of monomers decreases
sharply and many clusters of small size are produced during the first era.
During the second era, nucleii are increasing steadily in size until their
distribution becomes a self-similar solution of the diffusion equation. Lastly,
when the average size of the nucleii becomes comparable to its equilibrium
value, a simple mean-field Fokker-Planck equation describes the final era until
the equilibrium distribution is reached.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:57:33 GMT""}]","2009-11-07"
"cond-mat/0211057","Slava Yukalov","V. I. Yukalov","Matrix Order Indices in Statistical Mechanics","1 file, 25 pages, Latex","Physica A 310 (2002) 413-434","10.1016/S0378-4371(02)00783-5",,"cond-mat",,"  A new notion is introduced of matrix order indices which relate the matrix
norm and its trace. These indices can be defined for any given matrix. They are
especially important for matrices describing many-body systems, equilibrium as
well as nonequilibrium, for which the indices present a quantitative measure of
the level of ordering. They characterize not only the long-range order, but
also mid-range order. In the latter case, when order parameters do not exist,
the matrix indices are well defined, providing an explicit classification of
various mid-range orders. The matrix order indices are suitable for describing
phase transitions with both off-diagonal and diagonal order. Contrary to order
parameters whose correct definition requires the thermodynamic limit, the
matrix indices do not necessarily need the latter. Because of this, such
indices can distinguish between different phases of finite systems, thus,
allowing for the classification of crossover phase transitions.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:05:20 GMT""}]","2009-11-07"
"cond-mat/0211058","Rafal Weron","K. Sznajd-Weron, R. Weron","How effective is advertising in duopoly markets?","7 pages, 6 figures; v2: cosmetic changes",,"10.1016/S0378-4371(02)01904-0",,"cond-mat.stat-mech q-fin.GN",,"  A simple Ising spin model which can describe the mechanism of advertising in
a duopoly market is proposed. In contrast to other agent-based models, the
influence does not flow inward from the surrounding neighbors to the center
site, but spreads outward from the center to the neighbors. The model thus
describes the spread of opinions among customers. It is shown via standard
Monte Carlo simulations that very simple rules and inclusion of an external
field -- an advertising campaign -- lead to phase transitions.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 11:44:14 GMT""},{""version"":""v2"",""created"":""Fri, 6 Dec 2002 11:47:27 GMT""}]","2009-11-07"
"cond-mat/0211059","Yong-Hyun Kim","Yong-Hyun Kim, In-Ho Lee, K. J. Chang, and Sangsan Lee","Dynamics of fullerene coalescence","4 pages, 2 figures, 1 supplementary movie at
  http://dielc.kaist.ac.kr/yonghyun/coal.mpeg. To be published in Physical
  Review Letters",,"10.1103/PhysRevLett.90.065501",,"cond-mat.mtrl-sci cond-mat.mes-hall",,"  Fullerene coalescence experimentally found in fullerene-embedded single-wall
nanotubes under electron-beam irradiation or heat treatment is simulated by
minimizing the classical action for many atom systems. The dynamical trajectory
for forming a (5,5) C$_{120}$ nanocapsule from two C$_{60}$ fullerene molecules
consists of thermal motions around potential basins and ten successive
Stone-Wales-type bond rotations after the initial cage-opening process for
which energy cost is about 8 eV. Dynamical paths for forming large-diameter
nanocapsules with (10,0), (6,6), and (12,0) chiral indexes have more bond
rotations than 25 with the transition barriers in a range of 10--12 eV.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:17:27 GMT""},{""version"":""v2"",""created"":""Sat, 8 Feb 2003 04:02:16 GMT""}]","2009-11-07"
"cond-mat/0211061","Wojciech Wislicki","Arkadiusz Majka and Wojciech Wislicki","Uniformity of the phase space and fluctuations in thermal equilibrium","20 pages, 20 figures","Physica A 322C(2003)313-328","10.1016/S0378-4371(02)01814-9",,"cond-mat.stat-mech nucl-th",,"  General relations are found between the measure of the uniformity of
distributions on the phase space and the first moments and correlations of
extensive variables for systems close to thermal equilibrium. The role played
by the parameter of the Renyi entropy for the analysis of their fluctuations
and correlations is studied. Analytical results are verified and illustrated by
direct simulations of quantum systems of ideal fermions and bosons. Problems of
finite statistics, usual in experiments and simulations, are addressed and
discussed and solved by finding unbiased estimators for Renyi entropies and
uniformities.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 12:45:08 GMT""}]","2009-11-07"
"cond-mat/0211062","Pasquale Calabrese","Pasquale Calabrese, Andrea Gambassi","Aging at Criticality in Model C Dynamics","13 pages, 1 figure","Phys.Rev. E67 (2003) 036111","10.1103/PhysRevE.67.036111",,"cond-mat.stat-mech hep-th",,"  We study the off-equilibrium two-point critical response and correlation
functions for the relaxational dynamics with a coupling to a conserved density
(Model C) of the O(N) vector model. They are determined in an \epsilon=4-d
expansion for vanishing momentum. We briefly discuss their scaling behaviors
and the associated scaling forms are determined up to first order in epsilon.
The corresponding fluctuation-dissipation ratio has a non trivial large time
limit in the aging regime and, up to one-loop order, it is the same as that of
the Model A for the physically relevant case N=1. The comparison with
predictions of local scale invariance is also discussed.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 14:04:53 GMT""},{""version"":""v2"",""created"":""Tue, 5 Nov 2002 09:19:20 GMT""}]","2009-11-07"
"cond-mat/0211063","Bo Soderberg","Bo Soderberg","A General Formalism for Inhomogeneous Random Graphs","7 pages, no figures. To appear in Phys. Rev. E","Physical Review E 66, 066121 (2002)","10.1103/PhysRevE.66.066121","LU TP 02-29","cond-mat.stat-mech cond-mat.dis-nn",,"  We present and investigate an extension of the classical random graph to a
general class of inhomogeneous random graph models, where vertices come in
different types, and the probability of realizing an edge depends on the types
of its terminal vertices. This approach provides a general framework for the
analysis of a large class of models. The generic phase structure is derived
using generating function techniques, and relations to other classes of models
are pointed out.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 14:18:08 GMT""}]","2009-11-07"
"cond-mat/0211064","Kiss Annamaria","P. Fazekas, A. Kiss","Competition and coexistence of magnetic and quadrupolar ordering","submitted to the Proceedings of the NATO Advanced Research Workshop
  on Concepts in Electron Correlation Hvar, Croatia, 2002 (8 pages, 4 figures),
  typos corrected",,,,"cond-mat.str-el",,"  The large number of low-lying states of d- and f-shells supports a variety of
order parameters. The effective dimensionality of the local Hilbert space
depends on the strength, and kind, of intersite interactions. This gives rise
to complicated phase diagrams, and an enhanced role of frustration and
fluctuation effects. The general principles are illustrated on the example of
the effect of a magnetic field on quadrupolar phase transitions in some
Pr-based skutterudite compounds.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 14:25:49 GMT""},{""version"":""v2"",""created"":""Tue, 5 Nov 2002 13:07:20 GMT""}]","2007-05-23"
"cond-mat/0211065","Jeremy M. Hutson","Pavel Soldan, Marko T. Cvitas and Jeremy M. Hutson","Three-body non-additive forces between spin-polarized alkali atoms","4 pages, 3 figures (in 5 files)",,"10.1103/PhysRevA.67.054702",,"cond-mat.soft",,"  Three-body non-additive forces in systems of three spin-polarized alkali
atoms (Li, Na, K, Rb and Cs) are investigated using high-level ab initio
calculations. The non-additive forces are found to be large, especially near
the equilateral equilibrium geometries. For Li, they increase the three-atom
potential well depth by a factor of 4 and reduce the equilibrium interatomic
distance by 0.9 A. The non-additive forces originate principally from chemical
bonding arising from sp mixing effects.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:25:40 GMT""}]","2009-11-07"
"cs/0211004","Wolfgang Faber","Nicola Leone, Gerald Pfeifer, Wolfgang Faber, Thomas Eiter, Georg
  Gottlob, Simona Perri, Francesco Scarcello","The DLV System for Knowledge Representation and Reasoning","56 pages, 9 figures, 6 tables","ACM Transactions on Computational Logic 7(3):499-562, 2006","10.1145/1149114.1149117",,"cs.AI cs.LO cs.PL",,"  This paper presents the DLV system, which is widely considered the
state-of-the-art implementation of disjunctive logic programming, and addresses
several aspects. As for problem solving, we provide a formal definition of its
kernel language, function-free disjunctive logic programs (also known as
disjunctive datalog), extended by weak constraints, which are a powerful tool
to express optimization problems. We then illustrate the usage of DLV as a tool
for knowledge representation and reasoning, describing a new declarative
programming methodology which allows one to encode complex problems (up to
$\Delta^P_3$-complete problems) in a declarative fashion. On the foundational
side, we provide a detailed analysis of the computational complexity of the
language of DLV, and by deriving new complexity results we chart a complete
picture of the complexity of this language and important fragments thereof.
  Furthermore, we illustrate the general architecture of the DLV system which
has been influenced by these results. As for applications, we overview
application front-ends which have been developed on top of DLV to solve
specific knowledge representation tasks, and we briefly describe the main
international projects investigating the potential of the system for industrial
exploitation. Finally, we report about thorough experimentation and
benchmarking, which has been carried out to assess the efficiency of the
system. The experimental results confirm the solidity of DLV and highlight its
potential for emerging application areas like knowledge management and
information integration.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 15:18:04 GMT""},{""version"":""v2"",""created"":""Fri, 22 Aug 2003 22:22:39 GMT""},{""version"":""v3"",""created"":""Wed, 10 Sep 2003 18:01:29 GMT""}]","2008-02-21"
"hep-ex/0211003","Dave Charlton","D.G. Charlton (University of Birmingham)","LEP, SLC and the Standard Model","Invited talk at the XXXth SLAC Summer Institute Topical Conference,
  Stanford, California, USA, August 2002 (SSI02-TW05) 24 pages, LaTeX, 25 eps
  figures","ECONF C020805:TW05,2002",,"BHAM-HEP/02-02","hep-ex",,"  The period 1989-2000 provided a huge yield of precise electroweak data from
the LEP and SLC experiments. Many analyses of these data are now complete, but
others, particularly of the full LEP-2 data samples, continue. The main
electroweak physics results from these data are summarised, and stringent tests
of the Standard Model are made with the combined samples. The direct search for
the missing link of the Standard Model, the Higgs boson, is also briefly
reviewed.
","[{""version"":""v1"",""created"":""Sun, 3 Nov 2002 21:12:05 GMT""}]","2014-11-17"
"hep-ex/0211004","Peter A. Lukin","R. R. Akhmetshin, et.al. (CMD-2 Collaboration)","Study of the Process $e^+e^- \to K^0_L K^0_S$ in the C.M.Energy Range
  1.05-1.38 GeV with CMD-2","12 pages, 3 figures, uses elsart.cls, submitted to Physics Letters B","Phys.Lett.B551:27-34,2003","10.1016/S0370-2693(02)02985-4",,"hep-ex",,"  The process $e^+e^- \to K^0_L K^0_S$ has been studied with the CMD-2 detector
using about 950 events detected in the center-of-mass energy range from 1.05 to
1.38 GeV. The cross section exceeds the expectation based on the contributions
of the rho(770), omega(782) and phi(1020) mesons only.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 03:59:31 GMT""}]","2008-11-26"
"hep-ex/0211005","Graziano Venanzoni","Graziano Venanzoni","Status and Prospectives of Hadronic Cross Section at Low Energy","Invited talk at the XIV Italian Conference on High Energy Physics
  ""IFAE 2002"", Parma, Italy, April 3-5 2002, to appear in the proceedings;
  references added, typos corrected",,,,"hep-ex",,"  In this talk I will review the experimental status and the prospects for the
future of $\sigma(e^+ e^- \to hadrons)$ at low energy. The recent preliminary
results obtained by KLOE and BABAR collaborations using the radiative return
will be also discussed.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 08:45:40 GMT""},{""version"":""v2"",""created"":""Wed, 13 Nov 2002 18:01:32 GMT""}]","2007-05-23"
"hep-ex/0211006","Yuri A. Kamyshkov","Yuri Kamyshkov (University of Tennessee)","Neutron-Antineutron Oscillations","10 pages, 3 eps figures, latex uses blois2002.sty; Talk at the
  Conference XIVth Rencontres de Blois 16th-22nd June 2002 ""Matter-antimatter
  asymmetry"", Chateau de Blois (France)",,,,"hep-ex",,"  Experimental observation of nucleon instability is one of the missing key
components required for the explanation of baryon asymmetry of the universe.
Proton decays with the modes and rates predicted by(B-L)-conserving schemes of
Grand Unification are not observed experimentally. There are reasons to believe
that (B-L) might not be conserved in nature, thus leading to the nucleon decay
into lepton+(X) and to phenomena such as Majorana masses of neutrinos,
neutrinoless double-beta decays, and most spectacularly to the transitions of
neutron to anti-neutron. The energy scale where (B-L) violation takes place
cannot be predicted by theory and therefore has to be explored by experiments.
Different experimental approaches to searching for (B-L)-violating transition
of neutron to antineutron are discussed in this paper. Most powerful search for
neutron to antineutron transitions can be performed in a new reactor-based
experiment at HFIR reactor (ORNL) where sensitivity can be >1,000 times higher
than in the previous experiments.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 10:28:38 GMT""}]","2007-05-23"
"hep-ex/0211007","Collaboration Secretariat Opal","The OPAL collaboration: G. Abbiendi, et al","Charged particle multiplicities in heavy and light quark initiated
  events above the Z0 peak","18 pages, 5 figures","Phys.Lett.B550:33-46,2002","10.1016/S0370-2693(02)02935-0","CERN-EP-2002-0079","hep-ex",,"  We have measured the mean charged particle multiplicities separately for
bbbar, ccbar and light quark (uubar, ddbar, ssbar) initiated events produced in
e+e- annihilations at LEP. The data were recorded with the OPAL detector at
eleven different energies above Z0 peak, corresponding to the full statistics
collected at LPE1.5 and LEP2. The difference in mean charged and particle
multiplicities for bbbar and light quark events, delta_bl, measured over this
energy range is consistent with an energy independent behaviour, as predicted
by QCD, but is inconsistent with the prediction of a more phenomenological
approach which assumes that the multiplicity accompanying the decay of a heavy
quark is independent of the quark mass itself. Our results, which can be
combined into the single measurement delta_bl = 3.44+-0.40(stat)+-0.89(syst) at
a luminosity weighted average centre-of mass energy of 195 GeV, are also
consistent with an energy independent behaviour as extrapolated from lower
energy data.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 13:52:42 GMT""}]","2008-11-26"
"hep-lat/0211004","Oliver Jahn","Philippe de Forcrand and Oliver Jahn","Comparison of SO(3) and SU(2) lattice gauge theory","20 pages, 6 figures, 1 table; published version (minor changes,
  reference added)","Nucl.Phys. B651 (2003) 125-142","10.1016/S0550-3213(02)01123-9","CERN-TH/2002-312","hep-lat",,"  The Villain form of SO(3) lattice gauge theory is studied and compared to
Wilson's SU(2) theory. The topological invariants in SO(3) which correspond to
twisted boundary conditions in SU(2) are discussed and lattice observables are
introduced for them. An apparent SO(3) phase with negative adjoint Polyakov
loop is explained in terms of these observables. The electric twist free
energy, an order parameter for the confinement-deconfinement transition, is
measured in both theories to calibrate the temperature. The results indicate
that lattices with about 700^4 sites or larger will be needed to study the
SO(3) confined phase. Alternative actions are discussed and an analytic path
connecting SO(3) and SU(2) lattice gauge theory at weak coupling is exhibited.
The relevance for confinement of the centre of the gauge group is discussed.
","[{""version"":""v1"",""created"":""Mon, 4 Nov 2002 14:24:50 GMT""},{""version"":""v2"",""created"":""Fri, 8 Nov 2002 11:47:32 GMT""},{""version"":""v3"",""created"":""Tue, 28 Jan 2003 07:49:16 GMT""}]","2010-04-05"
