"astro-ph/0211626",,"Daniela Carturan, Fabio Finelli","Cosmological Effects of a Class of Fluid Dark Energy Models","4 pages, 6 figures","Phys.Rev. D68 (2003) 103501","10.1103/PhysRevD.68.103501",,"astro-ph gr-qc hep-ph hep-th",,"  We study the impact of a generalized Chaplygin gas as a candidate for dark
energy on CMB anisotropies. The generalized Chaplygin gas is a fluid component
with an exotic equation of state, $p = - A/\rho^\alpha$ (a polytropic gas with
negative constant and exponent). Such component interpolates in time between
dust and a cosmological constant, with an intermediate behaviour as $p=\alpha
\rho$. Perturbations of this fluid are stable on small scales, but behave in a
very different way with respect to standard quintessence. Moreover, a
generalized Chaplygin gas could also represent an archetypal example of a
phenomenological unified models of dark energy and dark matter. The results
presented here show how the CMB anisotropies induced by this class of models
differ from a $\Lambda$CDM model.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:25:34 GMT""}]","2009-11-07"
"cond-mat/0211667","Maciej M. Duras","Maciej M. Duras","Finite-difference distributions for the Ginibre ensemble","8 pages, a number of small changes in the text","J. Opt. B: Quantum Semiclass. Opt. 2 (2000) 287-291","10.1088/1464-4266/2/3/311",,"cond-mat.stat-mech",,"  The Ginibre ensemble of complex random matrices is studied. The complex
valued random variable of second difference of complex energy levels is
defined. For the N=3 dimensional ensemble are calculated distributions of
second difference, of real and imaginary parts of second difference, as well as
of its radius and of its argument (angle). For the generic N-dimensional
Ginibre ensemble an exact analytical formula for second difference's
distribution is derived. The comparison with real valued random variable of
second difference of adjacent real valued energy levels for Gaussian
orthogonal, unitary, and symplectic, ensemble of random matrices as well as for
Poisson ensemble is provided.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:04:26 GMT""},{""version"":""v2"",""created"":""Fri, 4 Jul 2003 16:18:52 GMT""}]","2009-11-07"
"cond-mat/0211668","Maria Shchrbyna","M.Shcherbina (Institute for Low Temperature Physics, Ukr. Ac. Sci.,
  Kharkov), B. Tirozzi (University ""La Sapienza"" of Rome)","Central limit theorems for order parameters of the Gardner problem","17 pages, Latex",,,,"cond-mat.dis-nn",,"  Fluctuations of the order parameters of the Gardner model for any
$\alpha<\alpha_c$ are studied. It is proved that they converge in distribution
to a family of jointly Gaussian random variables.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 16:35:40 GMT""}]","2007-05-23"
"cond-mat/0211669","Sergio Caracciolo","Sergio Caracciolo, Andrea Gambassi, Massimiliano Gubinelli, Andrea
  Pelissetto","Transverse Fluctuations in the Driven Lattice Gas",,"J.Phys. A36 (2003) L315-L320","10.1088/0305-4470/36/21/101",,"cond-mat.stat-mech hep-lat",,"  We define a transverse correlation length suitable to discuss the
finite-size-scaling behavior of an out-of-equilibrium lattice gas, whose
correlation functions decay algebraically with the distance. By numerical
simulations we verify that this definition has a good infinite-volume limit
independent of the lattice geometry. We study the transverse fluctuations as
they can select the correct field-theoretical description. By means of a
careful finite-size scaling analysis, without tunable parameters, we show that
they are Gaussian, in agreement with the predictions of the model proposed by
Janssen, Schmittmann, Leung, and Cardy.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 16:40:20 GMT""}]","2009-11-07"
"cond-mat/0211670","Hickel","T. Hickel, J. Roeseler, W. Nolting","Exact solution for the two-site correlated Kondo-Lattice Model - a
  limiting case for a metal","13 pages, 7 figures",,,,"cond-mat.str-el",,"  The correlated Kondo-lattice model is used to describe the interaction of
electrons in a single conduction band with localized magnetic moments as well
as their mutual repulsion. It is our intension to provide an analytical exact
result for this model by considering a two-site cluster. An equation-of-motion
approach as well as the spectral theorem is chosen to obtain the complete
expression for the one-particle Green's function. In a forgoing article the
problem has been solved for an insulator, the present paper is devoted to the
technical more demanding task of a metal.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:07:10 GMT""}]","2007-05-23"
"cond-mat/0211671","Maciej M. Duras","Maciej M. Duras","Urban tranport phenomena in the street canyon","7 pages; to appear in: ""The Proceedings of the Comphy02 Computational
  Physics of Transport and Interface Dynamics conference"", M. Schreckenberg et
  al Eds., Springer-Verlag, Berlin, Germany (2002)",,,,"cond-mat.dis-nn",,"  A field deterministic model of the vehicular dynamics in a generic urban
street canyon with two neighboring canyons is considered. The assumed
hydrodynamical model of vehicular movement is coupled to the gasdynamical model
of the air and emitted pollutants. The vehicles are assumed to move on distinct
left lanes and right ones. At the upstream and downstream ends there are
coordinated traffic lights which introduce control parameters to the field
model. The model of optimal control of street canyon dynamics is based on the
two optimal multi-criteria control problems. The problems consist of
minimization of the dimensionless functionals of the cumulative total travel
time, global emissions of pollutants, and global concentrations of pollutants,
both in the studied street canyon, as well as together with the two nearest
neighbor substitute canyons, respectively.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:07:19 GMT""},{""version"":""v2"",""created"":""Thu, 3 Jul 2003 19:23:36 GMT""}]","2007-05-23"
"cond-mat/0211672","Alexander Pruell","Winfried Koller, Alexander Pruell, Hans Gerd Evertz, and Wolfgang von
  der Linden","Uniform hopping approach to the FM Kondo Model at finite temperature","11 pages, 9 figures, RevTex4, additional references cited","Phys. Rev. B 67 104432 (2003)","10.1103/PhysRevB.67.104432",,"cond-mat.str-el",,"  We study the ferromagnetic Kondo model with classical corespins via unbiased
Monte-Carlo simulations and derive a simplified model for the treatment of the
corespins at any temperature. Our simplified model captures the main aspects of
the Kondo model and can easily be evaluated both numerically and analytically.
It provides a better qualitative understanding of the physical features of the
Kondo model and rationalizes the Monte-Carlo results, including the spectral
density A_k(omega) of a 1D chain with nearest neighbor Coulomb repulsion. By
calculating the specific heat and the susceptibility of systems up to size
16^3, we determine the Curie temperature of the 3D one-orbital double-exchange
model, which agrees with experimental values.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:29:43 GMT""},{""version"":""v2"",""created"":""Fri, 29 Nov 2002 16:50:54 GMT""}]","2007-05-23"
"cond-mat/0211673","Maciej M. Duras","Maciej M. Duras","Gasdynamic model of street canyon","2 pages; appeared in: ""Proceedings of the XIV Polish Conference on
  Computer Methods in Mechanics (PCCMM'99)"", 26th May 1999- 28th May 1999,
  Rzeszow, Poland, 85-86 (1999)",,,,"cond-mat.dis-nn",,"  A general proecological urban road traffic control idea for the street canyon
is proposed with emphasis placed on development of advanced continuum field
gasdynamical (hydrodynamical) control model of the street canyon. The continuum
field model of optimal control of street canyon is studied. The mathematical
physics approach (Eulerian approach) to vehicular movement, to pollutants'
emission and to pollutants' dynamics is used. The rigorous mathematical model
is presented, using gasdynamical (hydrodynamical) theory for both air
constituents and vehicles, including many types of vehicles and many types of
pollutant (exhaust gases) emitted from vehicles. The six optimal control
problems are formulated and numerical simulations are performed. Comparison
with measurements are provided. General traffic engineering conclusions are
inferred.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:53:12 GMT""},{""version"":""v2"",""created"":""Thu, 3 Jul 2003 18:47:28 GMT""}]","2007-05-23"
"cond-mat/0211674","Shufeng Zhang","Y. Qi and S. Zhang","Spin diffusion at finite electric and magnetic fields",,,"10.1103/PhysRevB.67.052407",,"cond-mat.mtrl-sci",,"  Spin transport properties at finite electric and magnetic fields are studied
by using the generalized semiclassical Boltzmann equation. It is found that the
spin diffusion equation for non-equilibrium spin density and spin currents
involves a number of length scales that explicitly depend on the electric and
magnetic fields. The set of macroscopic equations can be used to address a
broad range of the spin transport problems in magnetic multilayers as well as
in semiconductor heterostructure. A specific example of spin injection into
semiconductors at arbitrary electric and magnetic fields is illustrated.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 19:06:52 GMT""}]","2009-11-07"
"cond-mat/0211675","Andrew F. Ho","A. F. Ho and A.J. Schofield","Small polarons and c-axis transport in highly anisotropic metals",,,,,"cond-mat.str-el",,"  Motivated by the anomalous c-axis transport properties of the quasi
two-dimensional metal, $\rm Sr_2 Ru O_4$, and related compounds, we have
studied the interlayer hopping of single electrons that are coupled strongly to
c-axis bosons. We find a c-axis resistivity that reflects the in-plane
electronic scattering in the low and very high temperature limits (relative to
the characteristic temperature of the boson $T_{\rm boson}$). For temperatures
near the $T_{\rm boson}$, a broad maximum in the resistivity can appear for
sufficiently strong electron-boson coupling. This feature may account for the
observed ``metallic to non-metallic crossover'' seen in these layered oxides,
where the boson may be a phonon.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 19:18:43 GMT""}]","2007-05-23"
"cond-mat/0211676","Maciej M. Duras","Maciej M. Duras","Description of Quantum Systems by Random Matrix Ensembles of High
  Dimensions","3 pages; to appear in: ""Proceedings of ICSSUR'6, Sixth International
  Conference on Squeezed States and Uncertainty Relations, 24th May 1999 - 29th
  May 1999, Universita` degli Studi di Napoli 'Federico II', Naples, Italy"",
  NASA, Greenbelt, Maryland, USA (1999)",,,,"cond-mat.stat-mech",,"  The new Theorem on location of maximum of probability density functions of
dimensionless second difference of the three adjacent energy levels for
$N$-dimensional Gaussian orthogonal ensemble GOE($N$), $N$-dimensional Gaussian
unitary ensemble GUE($N$), $N$-dimensional Gaussian symplectic ensemble
GSE($N$), and Poisson ensemble PE, is formulated: {\it The probability density
functions of the dimensionless second difference of the three adjacent energy
levels take on maximum at the origin for the following ensembles: GOE($N$),
GUE($N$), GSE($N$), and PE, where $N \geq 3$.} The notions of {\it level
homogenization with level clustering} and {\it level homogenization with level
repulsion} are introduced.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 19:16:16 GMT""},{""version"":""v2"",""created"":""Thu, 3 Jul 2003 18:17:18 GMT""}]","2007-05-23"
"cond-mat/0211677","Herculano Martinho","H. Martinho, C. Rettori, D. L. Huber, S. B. Oseroff and J. F. Mitchell","Low energy spin wave excitations in bilayered magnetic manganite
  La$_{2-2x}$Sr$_{1+2x}$Mn$_{2}$O$_{7}$ ($0.30\leq{x}\leq{0.50}$)","Resubmited to Phys. Rev. B. Changes: correction of some grammatical
  errors, revision of figures 1,4 and 9, correction of J^{prime} definition,
  revision of all Tables, new estimaiton of errors, and 3 new references",,"10.1103/PhysRevB.67.214428",,"cond-mat.mtrl-sci cond-mat.str-el",,"  We have studied the low-temperature behavior of the magnetization and the
specific heat of the bilayered perovskite system $%
La_{2-2x}Sr_{1+2x}Mn_{2}O_{7}$, for $0.30\leq x\leq 0.50$. Our analysis reveals
that below 30 K the temperature dependence of the magnetization of the
ferromagnetic samples, $x=0.30$, 0.32, and 0.36, in a field of 1T can be
interpreted in terms of the thermal excitations of a two-dimensional gas of
ferromagnetic magnons. The specific heat in zero field for these samples as for
the $x=0.50$ antiferromagnetic one, is linear with temperature between the
range of 1.8K $\leq $ T $\leq $ 10K. This behavior can be also explained by the
magnon gas model. By comparing specific heat measurements in zero field with
those taken in a field of 9T we are able to extract the lattice and electronic
contributions and determine the in-plane exchange interactions. That are found
to be in reasonable agreement with the values inferred from the analysis of the
magnetization data and also with the values reported by inelastic neutron
scattering studies. In addition, we found that the electronic density of states
obtained for the $x=0.50$ sample is in agreement with previous band structure
calculations.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 20:14:56 GMT""},{""version"":""v2"",""created"":""Fri, 29 Nov 2002 21:04:06 GMT""},{""version"":""v3"",""created"":""Mon, 17 Mar 2003 15:46:46 GMT""}]","2009-11-07"
"cond-mat/0211678","Alexander Khaetskii","Alexander Khaetskii, Daniel Loss, and Leonid Glazman","Electron spin evolution induced by interaction with nuclei in a quantum
  dot","Revtex, 11 pages, 5 figures",,"10.1103/PhysRevB.67.195329",,"cond-mat.mes-hall",,"  We study the decoherence of a single electron spin in an isolated quantum dot
induced by hyperfine interaction with nuclei for times smaller than the nuclear
spin relaxation time. The decay is caused by the spatial variation of the
electron envelope wave function within the dot, leading to a non-uniform
hyperfine coupling $A$. We show that the usual treatment of the problem based
on the Markovian approximation is impossible because the correlation time for
the nuclear magnetic field seen by the electron spin is itself determined by
the flip-flop processes.
  The decay of the electron spin correlation function is not exponential but
rather power (inverse logarithm) law-like. For polarized nuclei we find an
exact solution and show that the precession amplitude and the decay behavior
can be tuned by the magnetic field. The decay time is given by $\hbar N/A$,
where $N$ is the number of nuclei inside the dot. The amplitude of precession,
reached as a result of the decay, is finite. We show that there is a striking
difference between the decoherence time for a single dot and the dephasing time
for an ensemble of dots.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 20:54:05 GMT""}]","2016-08-31"
"cond-mat/0211679","George Sparling","George Sparling","Twistor theory and the four-dimensional Quantum Hall effect of Zhang and
  Hu","31 pages Latex",,,,"cond-mat.mes-hall",,"  The construction by Zhang and Hu of a four-dimensional analogue of the
Quantum Hall effect is generalized and recast as a purely geometrical theory,
using the languages of Lie group theory and twistor theory. It emerges that the
Zhang-Hu quantum liquid lies naturally in twistor space and is apparently more
primitive than space-time itself, in accordance with twistor philosophy. The
quantum liquid is then the glue that holds space-time together. It is argued
that the theory is inherently chiral and time asymmetric, consonant with
previous conjectures.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 22:23:11 GMT""}]","2007-05-23"
"cond-mat/0211680","J. Ravi Prakash","K. Satheesh Kumar and J. Ravi Prakash","Equilibrium swelling and universal ratios in dilute polymer solutions:
  Exact Brownian dynamics simulations for a delta function excluded volume
  potential","Revised version submitted to Physical Review Letters. 4 pages, 2
  figures (revised with additional data)","Macromolecules 2003, 36, 7842-7856","10.1021/ma034296f",,"cond-mat.soft cond-mat.stat-mech",,"  A narrow Gaussian excluded volume potential, which tends to a delta-function
repulsive potential in the limit of a width parameter d* going to zero, has
been used to examine the universal consequences of excluded volume interactions
on the equilibrium and linear viscoelastic properties of dilute polymer
solutions. Brownian dynamics simulations data, acquired for chains of finite
length, has been extrapolated to the limit of infinite chain length to obtain
model independent predictions. The success of the method in predicting well
known aspects of static solution properties suggests that it can be used as a
systematic means by which the influence of solvent quality on both equilibrium
and non-equilibrium properties can be studied.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 22:51:39 GMT""},{""version"":""v2"",""created"":""Thu, 2 Jan 2003 05:30:29 GMT""}]","2020-07-03"
"cond-mat/0211681","Uri Gavish","U. Gavish, Y. Imry, Y. Levinson","Quantum noise, detailed balance and Kubo formula in nonequilibrium
  quantum systems","7 pages, 1 figure, contribution to the Proceedings of the 2001
  Recontres de Moriond: Electronic Correlations: from Meso- to Nanophysics, T.
  Martin, G. Montambaux and J. Tran Thanh Van eds. EDPScience 2001","Proceedings of the 2001 Recontres de Moriond: Electronic
  Correlations: from Meso- to Nanophysics, T. Martin, G. Montambaux and J. Tran
  Thanh Van eds. EDPScience 2001",,,"cond-mat.mes-hall",,"  Current quantum noise can be pictured as a sum over transitions through which
the electronic system exchanges energy with its environment. We formulate this
picture and use it to show which type of current correlators are measurable,
and in what measurement the zero point fluctuations will play a role (the
answer to the latter is as expected: only if the detector excites the system.)
Using the above picture, we calculate and give physical interpretation of the
finite-frequency finite-temperature current noise in a noninteracting
Landauer-type system, where the chemical potentials of terminals 1 and 2 are
$\mu+eV/2$ and $\mu-eV/2$ respectively, and derive a detailed-balance condition
for this nonequilibrium system. Finally, we derive a generalized form of the
Kubo formula for a wide class of interacting nonequilibrium systems, relating
the differential conductivity to the current noise.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 02:26:17 GMT""}]","2007-05-23"
"cond-mat/0211682","Peter H. Poole","Phanikumar Sistla, Oleh Baran, Q. Chen, Peter H. Poole and Robert J.
  Martinuzzi","Bulk motion of granular matter in an agitated cylindrical bed","11 pages, 16 figures","Phys. Rev. E 71, 011303 (2005)","10.1103/PhysRevE.71.011303",,"cond-mat.mtrl-sci",,"  Experimental results are reported for the bulk motion induced in a bed of
granular matter contained in a cylindrical pan with a flat bottom subjected to
simultaneous vertical and horizontal vibrations. The motion in space of the
moving pan is quantified. A number of distinct bulk dynamical modes are
observed in which the particle bed adopts different shapes and motions. At the
lowest pan excitation frequency $\omega$, the bed forms a ``heap,'' and rotates
about the cylinder axis. As $\omega$ is increased, a more complex ``toroidal''
mode appears in which the bed takes the shape of a torus; in this mode,
circulation occurs both about the cylinder axis, and also radially, with
particles moving from the outer edge of the pan to the centre on the top
surface of the bed, and back to the outer edge along the pan bottom. At the
highest $\omega$, surface modulations (``surface waves'' and ``sectors'') of
the toroidal mode occur. The origin of this family of behavior in terms of the
pan motion is discussed.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 03:40:45 GMT""},{""version"":""v2"",""created"":""Wed, 4 Dec 2002 20:28:32 GMT""}]","2015-06-24"
"cond-mat/0211683","D. Chowdhury","Katsuhiro Nishinari, Debashish Chowdhury and Andreas Schadschneider","Cluster formation and anomalous fundamental diagram in an ant trail
  model","11 pages, REVTEX, with 11 embedded EPS files",,"10.1103/PhysRevE.67.036120",,"cond-mat.stat-mech",,"  A recently proposed stochastic cellular automaton model ({\it J. Phys. A 35,
L573 (2002)}), motivated by the motions of ants in a trail, is investigated in
detail in this paper. The flux of ants in this model is sensitive to the
probability of evaporation of pheromone, and the average speed of the ants
varies non-monotonically with their density. This remarkable property is
analyzed here using phenomenological and microscopic approximations thereby
elucidating the nature of the spatio-temporal organization of the ants. We find
that the observations can be understood by the formation of loose clusters,
i.e. space regions of enhanced, but not maximal, density.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 06:06:27 GMT""}]","2016-08-31"
"cond-mat/0211684","Sergey Klenov","Boris S. Kerner","Three-Phase Traffic Theory and Highway Capacity","24 figures",,,,"cond-mat.stat-mech",,"  Hypotheses and some results of the three-phase traffic theory by the author
are compared with results of the fundamental diagram approach to traffic flow
theory. A critical discussion of model results about congested pattern features
which have been derived within the fundamental diagram approach to traffic flow
theory and modelling is made. The empirical basis of the three-phase traffic
theory is discussed and some new spatial-temporal features of the traffic phase
""synchronized flow"" are considered. A probabilistic theory of highway capacity
is presented which is based on the three-phase traffic theory. In the frame of
this theory, the probabilistic nature of highway capacity in free flow is
linked to an occurrence of the first order local phase transition from the
traffic phase ""free flow"" to the traffic phase ""synchronized flow"". A numerical
study of congested pattern highway capacity based on simulations of a KKW
cellular automata model within the three-phase traffic theory is presented. A
congested pattern highway capacity which depends on features of congested
spatial-temporal patterns upstream of a bottleneck is studied.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 06:27:47 GMT""},{""version"":""v2"",""created"":""Mon, 9 Dec 2002 12:50:21 GMT""},{""version"":""v3"",""created"":""Mon, 18 Aug 2003 18:26:05 GMT""}]","2007-05-23"
"cond-mat/0211685","Andrei G. Bashkirov","Andrei G. Bashkirov","On the Renyi entropy, Boltzmann Principle, Levy and power-law
  distributions and Renyi parameter","11 pages, 2 figures",,,,"cond-mat.stat-mech",,"  The Renyi entropy with a free Renyi parameter $q$ is the most justified form
of information entropy, and the Tsallis entropy may be regarded as a linear
approximation to the Renyi entropy when $q\simeq 1$. When $q\to 1$, both
entropies go to the Boltzmann--Shannon entropy. The application of the
principle of maximum of information entropy (MEP) to the Renyi entropy gives
rise to the microcanonical (homogeneous) distribution for an isolated system.
Whatever the value of the Renyi parameter $q$ is, in this case the Renyi
entropy becomes the Boltzmann entropy $S_B=k_B\ln W$, that provides support for
universality of the Boltzmann's principle of statistical mechanics. For a
system being in contact with a heat bath, the application of MEP to the Renyi
entropy gives rise to Levy distribution (or, $q$-distribution) accepted as one
of the main results of the so-called nonextensive statistics. The same
distribution is derived here for a small physical system experiencing
temperature fluctuations. The long--range ""tail"" of the Levy distribution is
the power--law (Zipf-Pareto) distribution with the exponent $s$ expressed via
$q$. The exponent and free Renyi parameter $q$ can be uniquely determined with
the use of a further extension of MEP. Then typical values of $s$ are found
within the range $1.3\div 2$ and of $q$ within the range $0.25\div 0.5$, in
dependence on parameters of stochastic systems.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 08:18:49 GMT""},{""version"":""v2"",""created"":""Mon, 10 Feb 2003 06:57:49 GMT""}]","2007-05-23"
"cond-mat/0211687","Maurice Kleman","Maurice Kleman","Phasons and the Plastic Deformation of Quasicrystals","submitted to EPJ B","Eur. phys. J. B 31 (2003) 315-325","10.1140/epjb/e2003-00037-3",,"cond-mat.mtrl-sci",,"  The plastic deformation of a quasicrystal (QC) is ruled by singularities of
its 'phonon' strain field and of its 'phason' strain field. In the framework of
the topological theory of defects, and the QC being defined as an irrational
subset of a high dimensional crystal, both types of defects appear as distinct
components of the same entity, a 'disvection'. Each of them can also be
described in classical terms, within a detailed analysis of the Volterra
process:(a)- the 'phonon' singularity breaks some symmetry of translation,
represented by a Burgers vector projected from the high dimensional crystal
onto the physical space; it is akin to an ordinary perfect dislocation, (b)-
the 'phason' singularities are dislocation dipoles whose Burgers vectors are of
a special type; they break not only a particular symmetry of translation but
also, in the QCs' jargon, the 'class of local isomorphism' of the QC. In fact,
such dipoles, if they open up into loops, bound stacking faults; a phason
singularity is thus an imperfect dislocation. It is suggested that the
interplay of perfect and imperfect dislocations is at the origin of the
peculiar characters of the plastic deformation of QCs, namely the
brittle-ductile transition followed by a stage of work softening; in particular
the brittle-ductile transition could be related to a cooperative transition of
the Kosterlitz-Thouless type which affects the dipoles and turn them into
(imperfect) dislocation loops.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 09:28:04 GMT""}]","2009-11-07"
"cond-mat/0211688","David Dean","Satya N. Majumdar and David S. Dean","Slow Relaxation in a Constrained Ising Spin Chain: a Toy Model for
  Granular Compaction","9 pages RevTeX, 1 figures (.eps)","Phys. Rev. E 66, 056114 (2002)","10.1103/PhysRevE.66.056114",,"cond-mat.stat-mech",,"  We present detailed analytical studies on the zero temperature coarsening
dynamics in an Ising spin chain in presence of a dynamically induced field that
favors locally the `-' phase compared to the `+' phase. We show that the
presence of such a local kinetic bias drives the system into a late time state
with average magnetization m=-1. However the magnetization relaxes into this
final value extremely slowly in an inverse logarithmic fashion. We further map
this spin model exactly onto a simple lattice model of granular compaction that
includes the minimal microscopic moves needed for compaction. This toy model
then predicts analytically an inverse logarithmic law for the growth of density
of granular particles, as seen in recent experiments and thereby provides a new
mechanism for the inverse logarithmic relaxation. Our analysis utilizes an
independent interval approximation for the particle and the hole clusters and
is argued to be exact at late times (supported also by numerical simulations).
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 09:51:00 GMT""}]","2009-11-07"
"cond-mat/0211689","Tom Stace","T. M. Stace, G. J. Milburn, C. H. W. Barnes","An entangled two photon source using biexciton emission of an asymmetric
  quantum dot in a cavity","16 pages, 10 figures, submitted to PRB","PRB 67 085317, 2003","10.1103/PhysRevB.67.085317",,"cond-mat quant-ph",,"  A semiconductor based scheme has been proposed for generating entangled
photon pairs from the radiative decay of an electrically-pumped biexciton in a
quantum dot. Symmetric dots produce polarisation entanglement, but
experimentally-realised asymmetric dots produce photons entangled in both
polarisation and frequency. In this work, we investigate the possibility of
erasing the `which-path' information contained in the frequencies of the
photons produced by asymmetric quantum dots to recover polarisation-entangled
photons. We consider a biexciton with non-degenerate intermediate excitonic
states in a leaky optical cavity with pairs of degenerate cavity modes close to
the non-degenerate exciton transition frequencies. An open quantum system
approach is used to compute the polarisation entanglement of the two-photon
state after it escapes from the cavity, measured by the visibility of
two-photon interference fringes. We explicitly relate the two-photon visibility
to the degree of Bell-inequality violation, deriving a threshold at which
Bell-inequality violations will be observed. Our results show that an ideal
cavity will produce maximally polarisation-entangled photon pairs, and even a
non-ideal cavity will produce partially entangled photon pairs capable of
violating a Bell-inequality.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 10:23:23 GMT""}]","2009-11-07"
"cond-mat/0211690","Gloria Platero","C. E. Creffield and G. Platero","Electron Dynamics in AC-Driven Quantum Dots","19 pages, 11 figures, ""The Anderson Transition and its Ramifications:
  Localization, Quantum Interference and Interactions"", Lecture Notes of
  Physics Series, ed. T. Brandes and S. Kettemann, Springer Verlag, to be
  published",,"10.1007/978-3-540-45202-7_12",,"cond-mat.mes-hall",,"  We investigate the dynamics of interacting electrons confined to two types of
quantum dot system, when driven by an external AC field. We first consider a
system of two electrons confined to a pair of coupled quantum dots by using an
effective two-site model of Hubbard-type. Numerically integrating the
Schroedinger equation in time reveals that for certain values of the strength
and frequency of the field the tunneling between the dots can be destroyed,
thus allowing the correlated two-electron states to be manipulated. We then
show how Floquet theory can be used to predict the field parameters at which
this effect occurs. We then consider the case of confining the electrons to a
single two-dimensional quantum dot in the limit of low particle-density. In
this system the electrons form strongly correlated states termed Wigner
molecules, in which the Coulomb interaction causes them to become highly
localised in space. Again using an effective model of Hubbard-type, we
investigate how the AC field can drive the dynamics of the Wigner states. As
before, we find that the AC field can be used to control the tunneling between
various charge configurations, and we relate this to the presence of avoided
crossings in the Floquet quasi-energy spectrum. These results hold out the
exciting possibility of using AC fields to control the time evolution of
entangled states in mesoscopic devices, which has great relevance to the
rapidly advancing field of quantum information processing.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 10:29:32 GMT""}]","2018-03-21"
"cond-mat/0211691","Slava Yukalov","V. I. Yukalov","Interplay between Quantum and Coherent Effects in Optics","12 pages, Latex","Proc. Int. Soc. Opt. Eng. 4706 (2002) 130-140","10.1117/12.469593",,"cond-mat",,"  A technique is presented for treating strongly nonstationary and transient
processes in optics, permitting one to take into account both types of
competing with each other effects, quantum as well as coherent. The main
equations for describing the interplay between these two kinds of effects are
derived. The possibility of influencing coherent optical phenomena by preparing
special quantum states of matter is discussed.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 12:04:26 GMT""}]","2015-06-24"
"cond-mat/0211692","Jes\'us Casado Pascual","Jes\'us Casado-Pascual (1), Claus Denk (1), Jos\'e G\'omez-Ord\'o\~nez
  (1), Manuel Morillo (1) and Peter H\""anggi (2) ((1) F\'isica Te\'orica,
  Universidad de Sevilla, Spain, (2) Institut f\""ur Physik, Universit\""at
  Augsburg, Germany)","Gain in Stochastic Resonance: Precise Numerics versus Linear Response
  Theory beyond the Two-Mode Approximation","22 pages, 5 eps figures, submitted to PRE",,"10.1103/PhysRevE.67.036109",,"cond-mat.stat-mech",,"  In the context of the phenomenon of Stochastic Resonance (SR) we study the
correlation function, the signal-to-noise ratio (SNR) and the ratio of output
over input SNR, i.e. the gain, which is associated to the nonlinear response of
a bistable system driven by time-periodic forces and white Gaussian noise.
These quantifiers for SR are evaluated using the techniques of Linear Response
Theory (LRT) beyond the usually employed two-mode approximation scheme. We
analytically demonstrate within such an extended LRT description that the gain
can indeed not exceed unity. We implement an efficient algorithm, based on work
by Greenside and Helfand (detailed in the Appendix), to integrate the driven
Langevin equation over a wide range of parameter values. The predictions of LRT
are carefully tested against the results obtained from numerical solutions of
the corresponding Langevin equation over a wide range of parameter values. We
further present an accurate procedure to evaluate the distinct contributions of
the coherent and incoherent parts of the correlation function to the SNR and
the gain. As a main result we show for subthreshold driving that both, the
correlation function and the SNR can deviate substantially from the predictions
of LRT and yet, the gain can be either larger or smaller than unity. In
particular, we find that the gain can exceed unity in the strongly nonlinear
regime which is characterized by weak noise and very slow multifrequency
subthreshold input signals with a small duty cycle. This latter result is in
agreement with recent analogue simulation results by Gingl et al. in Refs. [18,
19].
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 12:15:35 GMT""}]","2016-08-16"
