"astro-ph/0210512","Todor Stanev","T.K. Gaisser & Todor Stanev","Charge ratio of muons from atmospheric neutrinos","6 pages, 4 figures, to be submitted to Physics Letters","Phys.Lett.B561:125-129,2003","10.1016/S0370-2693(03)00389-7","BA-02-37","astro-ph hep-ph",,"  We calculate the intensities and angular distributions of positive and
negative muons produced by atmospheric neutrinos. We comment on some sources of
uncertainty in the charge ratio. We also draw attention to a potentially
interesting signature of neutrino oscillations in the muon charge ratio, and we
discuss the prospects for its observation (which are not quite within the reach
of currently planned magnetized detectors).
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:36:42 GMT""}]","2011-05-12"
"astro-ph/0210543","Bryan Gaensler","Bryan Gaensler (1), Heath Jones (2, 3), Ben Stappers (4, 5) ((1)
  Harvard-Smithsonian CfA, (2) ESO, (3) U Chile, (4) ASTRON, (5) U Amsterdam)","An optical bow shock around the nearby millisecond pulsar J2124-3358","6 pages, uses emulateapj, ApJ Letters, in press",,"10.1086/345750",,"astro-ph",,"  We report the discovery of an H-alpha-emitting bow-shock nebula powered by
the nearby millisecond pulsar J2124-3358. The bow shock is very broad, and is
highly asymmetric about the pulsar's velocity vector. This shape is not
consistent with that expected for the case of an isotropic wind interacting
with a homogeneous ambient medium. Models which invoke an anisotropy in the
pulsar wind, a bulk flow of the surrounding gas, or a density gradient in the
ambient medium either perpendicular or parallel to the pulsar's direction of
motion also fail to reproduce the observed morphology. However, we find an
ensemble of good fits to the nebular morphology when we consider a combination
of these effects. In all such cases, we find that the pulsar is propagating
through an ambient medium of mean density 0.8-1.3 cm^(-3) and bulk flow
velocity ~15-25 km/s and that the star has recently encountered an increase in
density by 1-10 cm^(-3) over a scale ~<0.02 pc. The wide variety of models
which fit the data demonstrate that in general there is no unique set of
parameters which can be inferred from the morphology of a bow-shock nebula.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:57:49 GMT""}]","2009-11-07"
"astro-ph/0210544","G. Aronica","G. Aronica (1), E. Athanassoula (2), M. Bureau (3), A. Bosma (2),
  R.-J. Dettmar (1), D. Vergani (4), M. Pohlen (5) ((1) Astronomisches
  Institut, Ruhr-Universitaet Bochum, Germany, (2) Observatoire de Marseille,
  France, (3) Hubble Fellow, Columbia Astrophysics Laboratory, Columbia
  University, USA, (4) Radio Astronomisches Institut, Universitaet Bonn,
  Germany, (5) Instituto de Astrofisica de Canarias, Spain)","Comparing peanut-shaped `bulges' to N-body simulations and orbital
  calculations","4 pages, 5 figures, to appear in the proceedings of ""The Evoution of
  Galaxies. III. From simple approaches to self-consistent models"" (Kiel, July
  2002), G. Hensler et al. (eds.)","Astrophys.Space Sci. 284 (2003) 753-756","10.1023/A:1024048600687",,"astro-ph",,"  We present a near-infrared K_n-band photometric study of edge-on galaxies
with a box/peanut-shaped `bulge'. The morphology of the galaxies is analysed
using unsharp masking and fits to the vertical surface brightness profiles, and
the results are compared to N-body simulations and orbital calculations of
barred galaxies. Both theoretical approaches reproduce the main structures
observed.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 15:16:41 GMT""}]","2009-11-07"
"astro-ph/0210545","Yulia Artemova","Yulia Artemova, Igor Novikov","The Interior of Black Holes and their Astrophysics","17 pages",,,,"astro-ph",,"  Gravity warps space and time into a funnel and generates a black hole when a
cosmic body undergoes a catastrophic collapse. What can one say about the
interior of a black hole? The important point is that inside a black hole the
space radial direction becomes time, and time becomes a space direction. The
path into the gravitational abyss of the interior of a black hole is a
progression in time. There is a peculiar region inside a black hole where some
characteristics of the space-time curvature become singular. We call this
region singularity. The colossal tidal gravitational forces near singularity
modify physical laws. Space and time are not only strongly curved near the
singularity, but they split into quanta. The fall into the singularity is
unstoppable for a body inside a black hole. This paper also addresses the
following questions:
  Can one see what happens inside a black hole?
  Can a falling observer cross the singularity without being crushed?
  Can new baby universes arise inside a black hole?
  An answer to all these questions is probably ``yes''. We give also a brief
review of the modern black hole astrophysics.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 15:32:47 GMT""}]","2007-05-23"
"astro-ph/0210546","Krzysztof T. Chyzy","J. Machalski, K. T. Chyzy, M. Jamrozy (Astronomical Observatory of the
  Jagiellonian Univerity, Krakow)","On the time evolution of giant radio galaxies","27 pages, 9 figures, gzipped ps-file of the manuscript also available
  at http://www.oa.uj.edu.pl/~chris/giants.ps.gz",,,,"astro-ph",,"  A time evolution of giant lobe-dominated radio galaxies (with projected
linear size $D>1$ Mpc) is analysed on the basis of dynamical evolution of the
entire FRII-type population. Two basic physical parameters, namely the jet
power $Q_{0}$ and central density of the galaxy nucleus $\rho_{0}$ are derived
for a sample of giants with synchrotron ages reliably determined, and compared
with the relevant parameters in a comparison sample of normal-size sources
consisting of 3C, B2, and other sources. Having apparent luminosity (power) $P$
and linear size $D$ of each sample source, $Q_{0}$ and $\rho_{0}$ are fitted
using the dynamical model of Kaiser et al. (1997) but modified by allowing an
evolution of the cocoon axial ratio with time as suggested by Blundell et al.
(1999). In a result, we found that: (i) there is not a unique factor governing
the source size; giants are old sources with high enough jet power evolved in a
relatively low-density environment. The size is dependent, in order of
decreasing partial correlation coefficients, on age; then on $Q_{0}$; next on
$\rho_{0}$, (ii) a number of the sample sources, having similar $Q_{0}$ and
$\rho_{0}$ but different ages and axial ratios (called a `clan'), fit very well
the evolutionary luminosity-size ($P$-$D$) and energy density-total energy
tracks derived from the model for a `fiducial' source with $Q_{0}$ and
$\rho_{0}$ equal to the means of relevant values obtained for the `clan'
members. Therefore, these sources can be considered as `the same' source
observed at different epochs of its lifetime, and hence very useful for an
observational constraint of evolutionary models of the source dynamics, (iii)
in some cases a slow acceleration of the average expansion speed of the cocoon
along the jet axis seems to be present.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 15:41:55 GMT""}]","2007-05-23"
"cond-mat/0210519","Magnus Paulsson","M. Paulsson","Non Equilibrium Green's Functions for Dummies: Introduction to the One
  Particle NEGF equations","9 pages, slightly improved",,,,"cond-mat.mes-hall cond-mat.soft",,"  Non equilibrium Green's function methods are regularly used to calculate
current and charge densities in nanoscale (both molecular and semiconductor)
conductors under bias. This method is mainly used for ballistic conduction but
may be extended to include inelastic scattering. In this tutorial paper the
NEGF equations for the current and charge density matrix are derived and
explained in a hopefully clear way.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:05:51 GMT""},{""version"":""v2"",""created"":""Tue, 3 Jan 2006 09:18:55 GMT""}]","2007-05-23"
"cond-mat/0210524","Vincent Rivasseau","J. Bellissard (Universite Paul Sabatier et Institut Universitaire de
  France), J. Magnen (Ecole Polytechnique) and V. Rivasseau (Universite dOrsay)","Supersymmetric Analysis of a Simplified Two Dimensional Anderson Model
  at Small Disorder","21 pages, 1 figure",,,,"cond-mat.stat-mech",,"  This work proposes a very simple random matrix model, the Flip Matrix Model,
liable to approximate the behavior of a two dimensional electron in a weak
random potential. Its construction is based on a phase space analysis, a
suitable discretization and a simplification of the true model. The density of
states of this model is investigated using the supersymmetric method and shown
to be given, in the limit of large size of the matrix by the usual Wigner's
semi-circle law.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 18:17:04 GMT""}]","2007-05-23"
"cond-mat/0210525","Fabricio Queiroz Potiguar","F. Q. Potiguar and U. M. S. Costa","Fluctuation of energy in the generalized thermostatistics","9 pages. submited to Physica A","Physica A, 321, 482(2003)","10.1016/S0378-4371(02)01918-0",,"cond-mat.stat-mech",,"  We calculate the fluctuation of the energy of a system in Tsallis statistics
following the finite heat bath canonical ensemble approach. We obtain this
fluctuation as the second derivative of the logarithm of the partition function
plus an additional term. We also find an explicit expression for the relative
fluctuation as related to the number of degrees of freedom of the bath and the
composite system.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:47:16 GMT""}]","2009-11-07"
"cond-mat/0210526","Nicolai Nygaard","N. Nygaard, G. M. Bruun, C. W. Clark and D. L. Feder","Microscopic Structure of a Vortex Line in a Superfluid Fermi Gas","4 pages, 4 embedded figures. Added references. To be published in
  Physical Review Letters","Phys. Rev. Lett. 90, 210402 (2003)","10.1103/PhysRevLett.90.210402",,"cond-mat.soft cond-mat.mes-hall cond-mat.supr-con",,"  The microscopic properties of a single vortex in a dilute superfluid Fermi
gas at zero temperature are examined within the framework of self-consistent
Bogoliubov-de Gennes theory. Using only physical parameters as input, we study
the pair potential, the density, the energy, and the current distribution.
Comparison of the numerical results with analytical expressions clearly
indicates that the energy of the vortex is governed by the zero-temperature BCS
coherence length.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:49:18 GMT""},{""version"":""v2"",""created"":""Wed, 16 Apr 2003 17:03:26 GMT""}]","2007-05-23"
"cond-mat/0210527","Tamas Borzsonyi","T. Borzsonyi and S. Akamatsu","Surface effects in nucleation and growth of smectic B crystals in thin
  samples","15 pages, 24 figures, submitted to PRE",,"10.1103/PhysRevE.66.051709",,"cond-mat.soft",,"  We present an experimental study of the surface effects (interactions with
the container walls) during the nucleation and growth of smectic B crystals
from the nematic in free growth and directional solidification of a mesogenic
molecule ($C_4H_9-(C_6H_{10})_2CN$) called CCH4 in thin (of thickness in the 10
$\mu$m range) samples. We follow the dynamics of the system in real time with a
polarizing microscope. The inner surfaces of the glass-plate samples are coated
with polymeric films, either rubbed polyimid (PI) films or monooriented
poly(tetrafluoroethylene) (PTFE) films deposited by friction at high
temperature. The orientation of the nematic and the smectic B is planar. In
PI-coated samples, the orientation effect of SmB crystals is mediated by the
nematic, whereas, in PTFE-coated samples, it results from a homoepitaxy
phenomenon occurring for two degenerate orientations. A recrystallization
phenomenon partly destroys the initial distribution of crystal orientations. In
directional solidification of polycrystals in PTFE-coated samples, a particular
dynamics of faceted grain boundary grooves is at the origin of a dynamical
mechanism of grain selection. Surface effects also are responsible for the
nucleation of misoriented terraces on facets and the generation of lattice
defects in the solid.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:55:32 GMT""}]","2015-06-24"
"cond-mat/0210528","Peter Bolhuis","Peter G. Bolhuis, Evert Jan Meijer and Ard A. Louis","Colloid-polymer mixtures in the protein limit","4 pages, 3 figures, submitted to Physical Review Letters",,"10.1103/PhysRevLett.90.068304",,"cond-mat.soft q-bio",,"  We computed the phase-separation behavior and effective interactions of
colloid-polymer mixtures in the ""protein limit"", where the polymer radius of
gyration is much larger than the colloid radius. For ideal polymers, the
critical colloidal packing fraction tends to zero, whereas for interacting
polymers in a good solvent the behavior is governed by a universal binodal,
implying a constant critical colloid packing fraction. In both systems the
depletion interaction is not well described by effective pair potentials but
requires the incorporation of many-body contributions.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:59:03 GMT""}]","2009-11-07"
"cond-mat/0210529","Vasyl Tokar","V. I. Tokar and H. Dreyss\'e","Lattice gas models of coherent strained epitaxy","14 pages, 2 figures",,"10.1103/PhysRevB.68.195419",,"cond-mat.mtrl-sci",,"  The harmonic Frenkel-Kontorova model is used to illustrate with an exactly
solvable example a general technique of mapping a coherently strained epitaxial
system with continuous atomic displacements onto a lattice gas model (LGM) with
only discrete variables. The misfit strain of the original model is transformed
into cluster interatomic interactions of the LGM. The clusters are contiguous
atomic chains of all lengths but the interaction strength for long chains is
exponentially small. This makes possible the application of efficient Monte
Carlo techniques developed for discrete variables both in kinetic and
equilibrium simulations. The formalism developed can be applied to 1D as well
as to 2D systems. As an illustrative example we consider the problem of
self-organization of 1D size calibrated clusters on the steps of the vicinal
surfaces.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 20:18:58 GMT""}]","2009-11-07"
"cond-mat/0210530","Raquel A. Ribeiro","R.A. Ribeiro, S.L. Bud'ko, C. Petrovic and P.C. Canfield","Carbon doping of superconducting magnesium diboride","11 pages, 13 figures, submitted to Physica C",,"10.1016/S0921-4534(02)02331-6",,"cond-mat.supr-con",,"  We present details of synthesis optimization and physical properties of
nearly single phase carbon doped MgB2 with a nominal stoichiometry of
Mg(B{0.8}C{0.2})2 synthesized from magnesium and boron carbide (B4C) as
starting materials. The superconducting transition temperature is ~ 22 K (~ 17
K lower than in pure MgB2). The temperature dependence of the upper critical
field is steeper than in pure MgB2 with Hc2(10K) ~ 9 T. Temperature dependent
specific heat data taken in different applied magnetic fields suggest that the
two-gap nature of superconductivity is still preserved for carbon doped MgB2
even with such a heavily suppressed transition temperature. In addition, the
anisotropy ratio of the upper critical field for T/Tc ~ 2/3 is gamma ~ 2. This
value is distinct from 1 (isotropic) and also distinct from 6 (the value found
for pure MgB2).
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 20:34:45 GMT""}]","2009-11-07"
"cond-mat/0210531","Stephan Rosenkranz","A. Kaminski, S. Rosenkranz, H. M. Fretwell, Z. Li, H. Raffy, M.
  Randeria, M. R. Norman, J. C. Campuzano","Crossover from coherent to incoherent electronic excitations in the
  normal state of Bi2Sr2CaCu2O8","4 pages, revtex4, 5 figures","Phys. Rev. Lett. 90, 207003 (2003)","10.1103/PhysRevLett.90.207003",,"cond-mat.supr-con",,"  Angle resolved photoemission spectroscopy (ARPES) and resistivity
measurements are used to explore the overdoped region of the high temperature
superconductor Bi2Sr2CaCu2O8+delta. We find evidence for a new crossover line
in the phase diagram between a coherent metal phase for lower temperatures and
higher doping, and an incoherent metal phase for higher temperatures and lower
doping. The former is characterized by two well-defined spectral peaks in ARPES
due to coherent bilayer splitting and superlinear behavior in the resistivity,
whereas the latter is characterized by a single broad spectral feature in ARPES
and a linear temperature dependence of the resistivity.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 22:55:43 GMT""}]","2009-11-07"
"cond-mat/0210532","J. A. Mendez-Bermudez","J. A. M\'endez-Berm\'udez, G. A. Luna-Acosta, and P. \v{S}eba","Directional Emission from Microlasers with Open Chaotic Resonators","5 pages, 4 figures","Phys. Stat. Sol. (b) 230, 385 (2002).","10.1002/1521-3951(200204)230:2<385::AID-PSSB385>3.0.CO;2-A",,"cond-mat",,"  Using topological classical considerations (Poincar\`{e} Maps) the appearance
of ``bow-tie''-shaped resonances is predicted for certain types of waveguides.
The geometry of such waveguides is chosen to yield mixed chaotic dymnamics.
Then, based on resonance effects, we propose the construction of directional
emission microlasers using {\it open} chaotic semiconductor resonators of high
refractive index.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 23:49:49 GMT""}]","2015-06-24"
"cond-mat/0210533","Charles Stafford","C. A. Stafford, F. Kassubek, J. B\""urki, H. Grabert, D. Baeriswyl","Cohesion, Conductance, and Charging Effects in a Metallic Nanocontact","5 pages, 1 figure; corrected spelling of one author name on abstract
  page (paper is unchanged)","""Quantum Physics at Mesoscopic Scale,"" D. C. Glattli, M. Sanquer
  and J. Tran Thanh Van eds. (EDP Sciences, Les Ulis, France, 2000), pp. 49-53",,,"cond-mat.mes-hall",,"  The conducting and thermodynamic properties of ballistic metallic
nanocontacts with smooth shapes are investigated. All properties are related to
the electronic scattering matrix, which is evaluated in the WKB approximation
for independent electrons and in the self-consistent Hartree approximation for
interacting electrons. Mesoscopic oscillations of order 1nN in the cohesive
force and of order e in the contact charge are predicted when a metallic
nanocontact is pulled apart, which are synchronized with quantized jumps in the
conductance.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 00:04:32 GMT""},{""version"":""v2"",""created"":""Thu, 14 Sep 2006 17:19:00 GMT""}]","2007-05-23"
"cond-mat/0210534","Tiezheng Qian","Tiezheng Qian, Xiao-Ping Wang, Ping Sheng","Molecular scale contact line hydrodynamics of immiscible flows","33 pages for text in preprint format, 10 pages for 10 figures with
  captions, content changed in this resubmission","Physical Review E 68, 016306 (2003)","10.1103/PhysRevE.68.016306",,"cond-mat.soft physics.comp-ph physics.flu-dyn",,"  From extensive molecular dynamics simulations on immiscible two-phase flows,
we find the relative slipping between the fluids and the solid wall everywhere
to follow the generalized Navier boundary condition, in which the amount of
slipping is proportional to the sum of tangential viscous stress and the
uncompensated Young stress. The latter arises from the deviation of the
fluid-fluid interface from its static configuration. We give a continuum
formulation of the immiscible flow hydrodynamics, comprising the generalized
Navier boundary condition, the Navier-Stokes equation, and the Cahn-Hilliard
interfacial free energy. Our hydrodynamic model yields interfacial and velocity
profiles matching those from the molecular dynamics simulations at the
molecular-scale vicinity of the contact line. In particular, the behavior at
high capillary numbers, leading to the breakup of the fluid-fluid interface, is
accurately predicted.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 03:11:18 GMT""},{""version"":""v2"",""created"":""Wed, 19 Mar 2003 06:43:48 GMT""}]","2009-11-07"
"cond-mat/0210535","Yoshiyuki Kabashima","Yoshiyuki Kabashima","A statistical-mechanical approach to CDMA multiuser detection:
  propagating beliefs in a densely connected graph","Submitted to 2003 IEEE International Symposium on Information Theory",,"10.1109/ISIT.2003.1228344",,"cond-mat.dis-nn cond-mat.stat-mech",,"  The task of CDMA multiuser detection is to simultaneously estimate binary
symbols of $K$ synchronous users from the received $N$ base-band CDMA signals.
Mathematically, this can be formulated as an inference problem on a complete
bipartite graph. In the research on graphically represented statistical models,
it is known that the belief propagation (BP) can exactly perform the inference
in a polynomial time scale of the system size when the graph is free from
cycles in spite that the necessary computation for general graphs exponentially
explodes in the worst case. In addition, recent several researches revealed
that the BP can also serve as an excellent approximation algorithm even if the
graph has cycles as far as they are relatively long. However, as there exit
many short cycles in a complete bipartite graph, one might suspect that the BP
would not provide a good performance when employed for the multiuser detection.
  The purpose of this paper is to make an objection to such suspicion. More
specifically, we will show that appropriate employment of the central limit
theorem and the law of large numbers to BP, which is one of the standard
techniques in statistical mechanics, makes it possible to develop a novel
multiuser detection algorithm the convergence property of which is considerably
better than that of the conventional multistage detection without increasing
the computational cost significantly. Furthermore, we will also provide a
scheme to analyse the dynamics of the proposed algorithm, which can be
naturally linked to the equilibrium analysis recently presented by Tanaka.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 03:37:17 GMT""}]","2016-11-17"
"cond-mat/0210536","Tetsushi Uefuji","K. Yamada, K. Kurahashi, T. Uefuji, M. Fujita, S. Park, S. -H. Lee and
  Y. Endoh","Commensurate spin dynamics in the superconducting state of an
  electron-doped cuprate superconductor","RevTeX 4, 5 pages, 4 figures",,"10.1103/PhysRevLett.90.137004",,"cond-mat.str-el cond-mat.supr-con",,"  We report neutron scattering studies on single crystals of the electron-doped
(n-type) superconducting cuprate Nd2-xCexCuO4 (x=0.15) with Tc = 18 K and 25 K.
Unlike the hole-doped (p-type) superconducting cuprates where incommensurate
magnetic fluctuations commonly exist, the n-type cuprate shows commensurate
magnetic fluctuations at the tetragonal (1/2 1/2 0) reciprocal points both in
the superconducting and in the normal state. A spin gap opens up when the
n-type cuprate becomes superconducting, as in the optimally doped p-type
La2-xSrxCuO4. The gap energy, however, increases gradually up to about 4 meV as
T decreases from Tc to 2 K, which contrasts with the spin pseudogap behavior
with a T-independent gap energy in the superconducting state of p-type
cuprates.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 05:02:06 GMT""}]","2009-11-07"
"cond-mat/0210537","Kazuhiko Deguchi","Kazuhiko Deguchi, Makariy Tanatar, Zhiqiang Mao, Takehiko Ishiguro and
  Yoshiteru Maeno","Superconducting Double Transition and the Upper Critical Field Limit of
  Sr2RuO4 in Parallel Magnetic Fields","5 pages, 5 figures","J. Phys. Soc. Jpn. 71, 2839 (2002)","10.1143/JPSJ.71.2839",,"cond-mat.supr-con cond-mat.str-el",,"  We studied the specific heat and thermal conductivity of the spin-triplet
superconductor Sr2RuO4 at low temperatures and under oriented magnetic fields
H. We resolved a double peak structure of the superconducting transition under
magnetic field for the first time, which provides thermodynamic evidence for
the existence of multiple superconducting phases. We also found a clear
limiting of the upper critical field Hc2 for the field direction parallel to
the RuO2 plane only within 2 degrees. The limiting of Hc2 occurs in the same
H-T domain of the second superconducting phase; we suggest that the two
phenomena have the same physical origin.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 07:03:45 GMT""},{""version"":""v2"",""created"":""Sat, 31 Jan 2004 01:25:32 GMT""}]","2009-11-07"
"cond-mat/0210538","Bikas K. Chakrabarti","Bikas K. Chakrabarti and Omjyoti Dutta","An Electrical Network Model of Plant Intelligence","6 pages, 2 eps figures, 1 Table, Talk at the Condensed Matter
  Days-2002, held in Bhagalpur University, Bhagalpur, during August 29-31, 2002
  (to be published in Ind. J. Phys.)",,,,"cond-mat.dis-nn q-bio",,"  A simple electrical network model, having logical gate capacities, is
proposed here for computations in plant cells. It is compared and contrasted
with the animal brain network structure and functions.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 06:17:02 GMT""}]","2007-05-23"
"cond-mat/0210539","Goran Johansson","Goran Johansson","Population inversion through charge measurement using a superconducting
  single-electron transistor biased in the subgap regime","5 pages, 5 figures",,,,"cond-mat.mes-hall cond-mat.supr-con",,"  We show how population inversion (PI) occurs in a two-level system (TLS)
while measuring its charge using a capacitively coupled superconducting
single-electron transistor (SSET), biased in the subgap regime, where the
current through the SSET is carried by different cycles involving tunneling of
both Cooper pairs and quasiparticles. The PI is directly associated with the
resonant nature of the Cooper-pair tunneling. We also show how the SSET may
strongly relax the TLS, although there is negligible current flowing through
the SSET, i.e. it is turned off. The calculation of the quantum back-action
noise is based on a real-time Keldysh approach. We specifically discuss the
case of a Cooper Pair Box qubit with the SSET capacitively coupled as read-out
device.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 07:57:18 GMT""}]","2007-05-23"
"cond-mat/0210540","Ton Coolen","ACC Coolen and C Perez-Vicente","Partially and Fully Frustrated Coupled Oscillators With Random Pinning
  Fields","37 pages, 7 postscript figures",,"10.1088/0305-4470/36/16/301","KCL-MTH-02-24","cond-mat.dis-nn",,"  We have studied two specific models of frustrated and disordered coupled
Kuramoto oscillators, all driven with the same natural frequency, in the
presence of random external pinning fields. Our models are structurally
similar, but differ in their degree of bond frustration and in their finite
size ground state properties (one has random ferro- and anti-ferromagnetic
interactions; the other has random chiral interactions). We have calculated the
equilibrium properties of both models in the thermodynamic limit using the
replica method, with emphasis on the role played by symmetries of the pinning
field distribution, leading to explicit predictions for observables,
transitions, and phase diagrams. For absent pinning fields our two models are
found to behave identically, but pinning fields (provided with appropriate
statistical properties) break this symmetry. Simulation data lend satisfactory
support to our theoretical predictions.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 09:27:37 GMT""}]","2009-11-07"
"cond-mat/0210541","Gavilano","J. L. Gavilano, D. Rau, S. Mushkolaj, H. R. Ott, P. Millet, and F.
  Mila","A low-dimensional spin S = 1/2 system at the quantum critical limit:
  Na2V2O7","4 pages, 5 figures",,"10.1103/PhysRevLett.90.167202",,"cond-mat.str-el cond-mat.mtrl-sci",,"  We report the results of measurements of the dc-susceptibility and the
23Na-NMR response of Na2V2O7, a recently synthesized, non metallic low
dimensional spin system. Our results indicate that upon reducing the
temperature to below 100 K, the V^{4+} moments are gradually quenched, leaving
only one moment out of 9 active. The NMR data reveal a phase transition at very
low temperatures. With decreasing applied field H, the critical temperature
shifts towards T = 0 K, suggesting that Na2V2O7 may be regarded as an insulator
reaching a quantum critical point at H = 0.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 09:36:17 GMT""}]","2009-11-07"
"cond-mat/0210542","Konstantin Klemm","Konstantin Klemm, Victor M. Eguiluz, Raul Toral, Maxi San Miguel","Nonequilibrium transitions in complex networks: a model of social
  interaction","7 pages revtex4, 10 figures, related material at
  http://www.imedea.uib.es/PhysDept/Nonlinear/research_topics/Social/","Phys. Rev. E 67, 026120 (2003)","10.1103/PhysRevE.67.026120",,"cond-mat",,"  We analyze the non-equilibrium order-disorder transition of Axelrod's model
of social interaction in several complex networks. In a small world network, we
find a transition between an ordered homogeneous state and a disordered state.
The transition point is shifted by the degree of spatial disorder of the
underlying network, the network disorder favoring ordered configurations. In
random scale-free networks the transition is only observed for finite size
systems, showing system size scaling, while in the thermodynamic limit only
ordered configurations are always obtained. Thus in the thermodynamic limit the
transition disappears. However, in structured scale-free networks, the phase
transition between an ordered and a disordered phase is restored.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 10:05:17 GMT""}]","2009-11-07"
"cond-mat/0210543","Olle Gunnarsson","M. Calandra and O. Gunnarsson (Max-Planck-Institut fur
  Festkorperforschung, Stuttgart, Germany)","Violation of Ioffe-Regel condition but saturation of resistivity of the
  high Tc cuprates","4 pages, RevTeX, 2 eps figures, additional material available at
  http://www.mpi-stuttgart.mpg.de/andersen/saturation/","Europhys. Lett. 61, 88 (2003)","10.1209/epl/i2003-00253-5",,"cond-mat.str-el cond-mat.mtrl-sci",,"  We demonstrate that the resistivity data of a number of high Tc cuprates, in
particular La(2-x)SrxCuO4, are consistent with resistivity saturation, although
the Ioffe-Regel condition is strongly violated. By using the f-sum rule
together with calculations of the kinetic energy in the t-J model, we show that
the saturation resistivity is unusually large. This is related to the strong
reduction of the kinetic energy due to strong correlation effects. The
fulfilment of the Ioffe-Regel condition for conventional transition metal
compounds is found to be somewhat accidental.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 10:51:43 GMT""}]","2009-11-07"
"cond-mat/0210544","Rembert Duine","R.A. Duine and H.T.C. Stoof","Microscopic many-body theory of atomic Bose gases near a Feshbach
  resonance","Submitted to the Journal of Optics B special issue on the 7th
  International Workshop on Atom Optics and Interferometry",,,"ITP-UU-02/57","cond-mat",,"  A Feshbach resonance in the s-wave scattering length occurs if the energy of
the two atoms in the incoming open channel is close to the energy of a bound
state in a coupled closed channel. Starting from the microscopic hamiltonian
that describes this situation, we derive the effective atom-molecule theory for
a Bose gas near a Feshbach resonance. In order to take into account all
two-body processes, we have to dress the bare couplings of the atom-molecule
model with ladder diagrams. This results in a quantum field theory that exactly
reproduces the scattering amplitude of the atoms and the bound-state energy of
the molecules. Since these properties are incorporated at the quantum level,
the theory can be applied both above and below the critical temperature of the
gas. Moreover, making use of the true interatomic potentials ensures that no
divergences are encountered at any stage of the calculation. We also present
the mean-field theory for the Bose-Einstein condensed phase of the gas.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 10:55:42 GMT""}]","2007-05-23"
"cond-mat/0210545","Cristian Giardina","L. Bussolari, P. Contucci, M. Degli Esposti, C. Giardina'","Energy-Decreasing Dynamics in Mean-Field Spin Models","20 pages, 6 figures. New version, to appear on J.Phys.A",,"10.1088/0305-4470/36/10/303",,"cond-mat.dis-nn cond-mat.stat-mech math-ph math.MP",,"  We perform a statistical analysis of deterministic energy-decreasing
algorithms on mean-field spin models with complex energy landscape like the
Sine model and the Sherrington Kirkpatrick model. We specifically address the
following question: in the search of low energy configurations is it convenient
(and in which sense) a quick decrease along the gradient (greedy dynamics) or a
slow decrease close to the level curves (reluctant dynamics)? Average time and
wideness of the attraction basins are introduced for each algorithm together
with an interpolation among the two and experimental results are presented for
different system sizes. We found that while the reluctant algorithm performs
better for a fixed number of trials, the two algorithms become basically
equivalent for a given elapsed time due to the fact that the greedy has a
shorter relaxation time which scales linearly with the system size compared to
a quadratic dependence for the reluctant.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 10:57:49 GMT""},{""version"":""v2"",""created"":""Wed, 22 Jan 2003 17:06:35 GMT""}]","2009-11-07"
"cond-mat/0210546","Daniel Carlos Cabra","M.Arlego, D.C.Cabra, J.E.Drut, M.D.Grynberg","Competing interactions in the XYZ model","6 pages, 6 figures",,"10.1103/PhysRevB.67.144426",,"cond-mat.str-el",,"  We study the interplay between a XY anisotropy $\gamma$, exchange modulations
and an external magnetic field along the z direction in the XYZ chain using
bosonization and Lanczos diagonalization techniques. We find an Ising critical
line in the space of couplings which occur due to competing relevant
perturbations which are present. More general situations are also discussed.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 11:11:37 GMT""}]","2009-11-07"
