"astro-ph/0210184","Agnieszka Jacholkowska","A. Falvard, E. Giraud, A. Jacholkowska, J. Lavalle, E. Nuss, F. Piron,
  M. Sapinski (GAM-Montpellier), P. Salati, R. Taillet (LAPTH-Annecy), K.
  Jedamzik, G. Moultaka (LPMT-Montpellier)","Supersymmetric dark matter in M31: can one see neutralino annihilation
  with CELESTE?","Latex, 32 pages, 12 figures, 5 tables","Astropart.Phys. 20 (2004) 467-484","10.1016/j.astropartphys.2003.07.001","GAM-2002/03, LAPTH-937, PM/02-03","astro-ph hep-ph",,"  It is widely believed that dark matter exists within galaxies and clusters of
galaxies. Under the assumption that this dark matter is composed of the
lightest, stable supersymmetric particle, assumed to be the neutralino, the
feasibility of its indirect detection via observations of a diffuse gamma-ray
signal due to neutralino annihilations within M31 is examined. To this end,
first the dark matter halo of the close spiral galaxy M31 is modeled from
observations, then the resultant gamma-ray flux is estimated within
supersymmetric model configurations. We conclude that under favorable
conditions such as the rapid accretion of neutralinos on the central black hole
in M31 and/or the presence of many clumps inside its halo with $r^{-3/2}$ inner
profiles, a neutralino annihilation gamma-ray signal is marginally detectable
by the ongoing collaboration CELESTE.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:14:22 GMT""}]","2015-06-24"
"cond-mat/0210167","Fernando E. Camino","F.E. Camino, V.V. Kuznetsov, E.E. Mendez (1), M.E. Gershenson (2), D.
  Reuter, P. Schafmeister, A.D. Wieck (3) ((1) SUNY at Stony Brook, (2) Rutgers
  University, (3) Ruhr-Universitaet Bochum, Germany)","Hopping Conductivity Beyond The Percolation Regime Probed By Shot-Noise
  Measurements","4 pages, 4 figures, submitted to Physical Review B as a Brief Report",,"10.1103/PhysRevB.68.073313",,"cond-mat.mes-hall",,"  We have observed suppression of shot noise in the variable-range hopping
regime for a two-dimensional electron gas whose localization length, xi, is
controlled by a gate voltage. We have found that the suppression factor F (Fano
factor) is approximately inversely proportional to the length of the system L
(F=L0*/L) for a broad range of values of xi/L_0*, where L0* is the
characteristic length. In the case xi/L0*<<1, we have identified L0* with the
distance L0 between the hard hops along the sample length. On the other hand,
when xi is of the order of L0*, we have observed that L0* does not agree with
L0 calculated from the percolation model of hopping. We attribute this
discrepancy to a breakdown of that model and to a reconstruction of the hopping
paths.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 19:33:59 GMT""},{""version"":""v2"",""created"":""Wed, 23 Oct 2002 01:20:34 GMT""},{""version"":""v3"",""created"":""Fri, 7 Feb 2003 19:43:41 GMT""},{""version"":""v4"",""created"":""Fri, 11 Apr 2003 23:53:16 GMT""}]","2009-11-07"
"cond-mat/0210175","MarinaPutti","M.Putti, V.Braccini, E.Galleani d'Agliano, F.Napoli, I.Pallecchi,
  A.S.Siri, P.Manfrinetti, A.Palenzona","Thermal conductivity of MgB$_{2}$ in the superconducting state","12 pages, 5 figures","Phis. Rev. B 67 (2003) 064505","10.1103/PhysRevB.67.064505",,"cond-mat.supr-con",,"  We present thermal conductivity measurements on very pure and dense bulk
samples, as indicated by residual resistivity values as low as 0.5 mW cm and
thermal conductivity values higher than 200 W/mK. In the normal state we found
that the Wiedemann Franz law, in its generalized form, works well suggesting
that phonons do not contribute to the heat transport. The thermal conductivity
in the superconducting state has been analysed by using a two-gap model. Thank
to the large gap anisotropy we were able to evaluate quantitatively intraband
scattering relaxation times of $\pi $ and $\sigma $ bands, which depend on the
disorder in different way; namely, as the disorder increases, it reduces more
effectively the relaxation times of $\pi $ than of $\sigma $ bands, as
suggested by a recent calculation [1].
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:44:33 GMT""}]","2009-11-07"
"cond-mat/0210176","A. Mourachkine","A. Mourachkine (Brussels)","Seven energy/temperature scales in hole-doped cuprates","5 pages, 4 figures","Journal of Superconductivity, 17 (2004) 263 - 268",,,"cond-mat.supr-con cond-mat.str-el",,"  The purpose of this paper is to discuss a phase diagram of hole-doped
cuprates. Hole-doped cuprates have a very rich phase diagram as a function of
doping. This is due to a charge inhomogeneity in CuO_2 planes: the charge
distribution in CuO_2 planes is inhomogeneous both on a nanoscale and
macroscale. Depending on doping level, the CuO_2 planes comprise at least four
different types of clusters having a size of a few nanometers. Each type of
clusters has its own features. As a consequence, the common phase diagram
consists of, at least, seven different energy/temperature scales. As an
example, we consider a phase diagram of Bi2212.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 17:01:36 GMT""},{""version"":""v2"",""created"":""Tue, 8 Oct 2002 22:17:15 GMT""}]","2007-05-23"
"cond-mat/0210177","Sadhan Kumar Adhikari","Paulsamy Muruganandam and Sadhan K Adhikari","Bose-Einstein condensation dynamics in three dimensions by the
  pseudospectral and finite-difference methods","14 Latex pages, 2 eps figures, accepted in Journal of Physics B","J. Phys. B: At. Mol. Opt. Phys. 36 (2003) 2501-2514","10.1088/0953-4075/36/12/310",,"cond-mat.soft math.NA nlin.PS",,"  We suggest a pseudospectral method for solving the three-dimensional
time-dependent Gross-Pitaevskii (GP) equation and use it to study the resonance
dynamics of a trapped Bose-Einstein condensate induced by a periodic variation
in the atomic scattering length. When the frequency of oscillation of the
scattering length is an even multiple of one of the trapping frequencies along
the $x$, $y$, or $z$ direction, the corresponding size of the condensate
executes resonant oscillation. Using the concept of the differentiation matrix,
the partial-differential GP equation is reduced to a set of coupled ordinary
differential equations which is solved by a fourth-order adaptive step-size
control Runge-Kutta method. The pseudospectral method is contrasted with the
finite-difference method for the same problem, where the time evolution is
performed by the Crank-Nicholson algorithm. The latter method is illustrated to
be more suitable for a three-dimensional standing-wave optical-lattice trapping
potential.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 17:08:29 GMT""},{""version"":""v2"",""created"":""Fri, 2 May 2003 19:27:08 GMT""}]","2009-11-07"
"cond-mat/0210178","Agliolo Gallitto Aurelio","A. Agliolo Gallitto, S. Fricano and M. Li Vigni","Microwave Surface Resistance and Upper-Critical-Field Anisotropy of MgB2
  Superconductor","16 pages, 4 figures, submitted to Physica C","Physica C 384 (2003) 11-18","10.1016/S0921-4534(02)02281-5",,"cond-mat.supr-con",,"  The field-induced variations of the microwave surface resistance are
investigated in two different samples of powdered MgB2. The experimental
results can be justified in the framework of the Coffey and Clem model with
fluxons moving in the flux-flow regime, provided that the anisotropy of the
upper critical field is taken into due account. Assuming the angular dependence
of the upper critical field expected from the anisotropic Ginzburg-Landau
theory, we determine the anisotropy factor by fitting the experimental data of
the field dependence of the microwave surface resistance. We show that the
anisotropy factor is constant in a range of temperatures of about 3 K below Tc
and it takes on different values for the two samples, even though they have
similar shape.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 17:48:08 GMT""}]","2007-05-23"
"cond-mat/0210179","Robert R. Hartley","R. R. Hartley and R. P. Behringer","Logarithmic rate dependence in deforming granular materials","4 pages, 5 figures. RevTeX4",,"10.1038/nature01394",,"cond-mat.soft",,"  Rate-independence for stresses within a granular material is a basic tenet of
many models for slow dense granular flows. By contrast, logarithmic rate
dependence of stresses is found in solid-on-solid friction, in geological
settings, and elsewhere. In this work, we show that logarithmic rate-dependence
occurs in granular materials for plastic (irreversible) deformations that occur
during shearing but not for elastic (reversible) deformations, such as those
that occur under moderate repetitive compression. Increasing the shearing rate,
\Omega, leads to an increase in the stress and the stress fluctuations that at
least qualitatively resemble what occurs due to an increase in the density.
Increases in \Omega also lead to qualitative changes in the distributions of
stress build-up and relaxation events. If shearing is stopped at t=0, stress
relaxations occur with \sigma(t)/ \sigma(t=0) \simeq A \log(t/t_0). This
collective relaxation of the stress network over logarithmically long times
provides a mechanism for rate-dependent strengthening.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 20:57:58 GMT""}]","2009-11-07"
"cond-mat/0210180","Dmitry Novikov","Valerij G. Kiselev and Dmitry S. Novikov","Transverse NMR relaxation as a probe of mesoscopic structure","4 pages, 3 figures","Phys. Rev. Lett. 89, 278101 (2002)","10.1103/PhysRevLett.89.278101",,"cond-mat.soft cond-mat.mtrl-sci physics.med-ph",,"  Transverse NMR relaxation in a macroscopic sample is shown to be extremely
sensitive to the structure of mesoscopic magnetic susceptibility variations.
Such a sensitivity is proposed as a novel kind of contrast in the NMR
measurements. For suspensions of arbitrary shaped paramagnetic objects, the
transverse relaxation is found in the case of a small dephasing effect of an
individual object. Strong relaxation rate dependence on the objects' shape
agrees with experiments on whole blood. Demonstrated structure sensitivity is a
generic effect that arises in NMR relaxation in porous media, biological
systems, as well as in kinetics of diffusion limited reactions.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 21:22:55 GMT""},{""version"":""v2"",""created"":""Sat, 18 Jan 2003 01:01:42 GMT""}]","2007-05-23"
"cond-mat/0210181","J. K. Jain","Sudhansu S. Mandal and Jainendra K. Jain","Theoretical Search for Nested Quantum Hall Effect of Composite Fermions","14 pages, 16 figures","Phys. Rev. B 66, 155302 (2002)","10.1103/PhysRevB.66.155302",,"cond-mat.mes-hall",,"  Almost all quantum Hall effect to date can be understood as {\em integral}
quantum Hall effect of appropriate particles, namely electrons or composite
fermions. This paper investigates theoretically the feasibility of nested
states of composite fermions which would lead to a quantum Hall effect that
cannot be understood as integral quantum Hall effect of composite fermions. The
weak residual interaction between composite fermions will play a crucial role
in the establishment of such quantum Hall states by opening a gap in a
partially filled composite-fermion level. To treat the problem of interacting
composite fermions, we develop a powerful method that allows us to obtain the
low energy spectra at composite fermion fillings of $\nu^*=n+\bar \nu$ without
making any assumption regarding the structure of composite fermions in the
topmost partially filled level. The method is exact aside from neglecting the
composite-fermion Landau level mixing, and enables us to study rather large
systems, for example, 24 particles at a total flux of 62 $hc/e$, for which the
dimension of the lowest Landau level Hilbert space is $\sim 10^{17}$. We have
investigated, for fully spin polarized composite fermions, several filling
factors between 1/3 and 2/5 using this approach. The results indicate that any
possible incompressibility at these fractions is likely to have a fundamentally
different origin than that considered earlier.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 21:46:01 GMT""}]","2009-11-07"
"cond-mat/0210182","Dominic James O'Lee","Dominic J. Lee and Igor F. Herbut","QED_3 theory of underdoped high temperature superconductors II: the
  quantum critical point","13 pages including figures in text","Physical Review B, vol. 67, 174512 (2003)","10.1103/PhysRevB.67.174512",,"cond-mat.supr-con cond-mat.str-el",,"  We study the effect of gapless quasiparticles in a d-wave superconductor on
the T=0 end point of the Kosterlitz-Thouless transition line in underdoped
high-temperature superconductors. Starting from a lattice model that has
gapless fermions coupled to 3D XY phase fluctuations of the superconducting
order parameter, we propose a continuum field theory to describe the quantum
phase transition between the d-wave superconductor and the spin-density-wave
insulator. Without fermions the theory reduces to the standard Higgs scalar
electrodynamics (HSE), which is known to have the critical point in the
inverted XY universality class. Extending the renormalization group calculation
for the HSE to include the coupling to fermions, we find that the qualitative
effect of fermions is to increase the portion of the space of coupling
constants where the transition is discontinuous. The critical exponents at the
stable fixed point vary continuously with the number of fermion fields $N$, and
we estimate the correlation length exponent (nu = 0.65) and the vortex field
anomalous dimension(eta_Phi=-0.48) at the quantum critical point for the
physical case N=2. The stable critical point in the theory disappears for the
number of Dirac fermions N > N_c, with N_c ~ 3.4 in our approximation. We
discuss the relationship between the superconducting and the chiral (SDW)
transitions, and point to some interesting parallels between our theory and the
Thirring model.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 01:45:05 GMT""}]","2009-11-07"
"cond-mat/0210183",,"Indrani Bose, Rajesh Karmakar and Siddhartha Roy","Stochastic Simulation of Gene Expression in a Single Cell","28 pages including 29 figures. latex",,,,"cond-mat q-bio",,"  In this paper, we consider two stochastic models of gene expression in
prokaryotic cells. In the first model, sixteen biochemical reactions involved
in transcription, translation and transcriptional regulation in the presence of
inducer molecules are considered. The time evolution of the number of
biomolecules of a particular type is determined using the stochastic simulation
method based on the Gillespie Algorithm. The results obtained show that if the
number of inducer molecules, N(I), is greater than or equal to the number of
regulatory molecules, N(R), the average protein level is high in the steady
state (state 2). The magnitude of the level is the same as long as N{I) greater
than or equal to N(R). When N(I) is very very less than N(R), the average
protein level is low, practically zero (state 1). As N(I) increases, the
protein level continues to remain low. When N(I)becomes close to N(R), protein
levels in the steady state are intermediate between high and low.In the
presence of autocatalysis, a cell mostly exists in either state 1 or state 2
giving rise to a bimodal distribution in the protein levels in an ensemble of
cells. This corresponds to the ""all or none'' phenomenon observed in
experiments. In the second model, the inducer molecules are not considered
explicitly. An exhaustive simulation over the parameter space of the model
shows that there are three major patterns of gene expression, Type A, Type B
and Type C. The effect of varying the cellular parameters on the patterns, in
particular, the transition from one type of pattern to another, is studied.
Type A and Type B patterns have been observed in experiments. Simple
mathematical models of transcriptional regulation predict Type C pattern of
gene expression in certain parameter regimes.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 06:47:40 GMT""},{""version"":""v2"",""created"":""Tue, 25 Feb 2003 10:57:56 GMT""}]","2007-05-23"
"cond-mat/0210184","Guido Tiana","R. Broglia, G. Tiana and R. Berera","Resistance proof, folding-inhibitor drugs",,,"10.1063/1.1545087",,"cond-mat.soft q-bio",,"  Conventional drugs work, as a rule, by inhibiting the enzymatic activity of
specific proteins, capping their active site. In this paper we present a model
of non- conventional drug design based on the inhibiting effects small peptides
obtained from segments of the protein itself have on the folding ability of the
system. Such peptides attach to the newly expressed (unfolded) protein and
inhibit its folding, inhibition which cannot be avoided but through mutations
which in any case denaturate the enzyme. These peptides, or their mimetic
molecules, can be used as effective alternative drugs to those already
available, displaying the advantage of not suffering from the upraise of
resistence.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 07:17:16 GMT""}]","2009-11-07"
"cond-mat/0210185","Yoji Ohashi","Y. Ohashi and A. Griffin","Superfluid transition temperature in a trapped gas of Fermi atoms with a
  Feshbach resonance","43 pages, 13 figures (submitted to PRA)",,"10.1103/PhysRevA.67.033603",,"cond-mat.soft cond-mat.mtrl-sci cond-mat.stat-mech cond-mat.supr-con",,"  We investigate strong coupling effects on the superfluid phase transition in
a gas of Fermi atoms with a Feshbach resonance. The Feshbach resonance
describes a composite quasi-Boson, which can give rise to an additional pairing
interaction between the Fermi atoms. This attractive interaction becomes
stronger as the threshold energy of the Feshbach resonance two-particle bound
state is lowered. In a recent paper, we showed that in the uniform Fermi gas,
this tunable pairing interaction naturally leads to a BCS-BEC crossover of the
Nozi`eres and Schmitt-Rink kind, in which the BCS-type superfluid phase
transition continuously changes into the BEC-type as the threshold energy is
decreased. In this paper, we extend our previous work by including the effect
of a harmonic trap potential, treated within the local density approximation
(LDA). We also give results for both weak and strong coupling to the Feshbach
resonance. We show that the BCS-BEC crossover phenomenon strongly modifies the
shape of the atomic density profile at the superfluid phase transition
temperature Tc, reflecting the change of the dominant particles going from
Fermi atoms to composite Bosons. In the BEC regime, these composite Bosons are
shown to first appear well above Tc. We also discuss the ""phase diagram"" above
Tc as a function of the tunable threshold energy. We introduce a characteristic
temperature T* describing the effective crossover in the normal phase from a
Fermi gas of atoms to a gas of stable molecules.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 07:33:42 GMT""}]","2016-08-31"
"cond-mat/0210186","Rolf R. Gerhardts","Kaan Guven and Rolf R. Gerhardts","Self-consistent local-equilibrium model for density profile and
  distribution of dissipative currents in a Hall bar under strong magnetic
  fields","9 pages, 7 figures",,"10.1103/PhysRevB.67.115327",,"cond-mat.mes-hall",,"  Recent spatially resolved measurements of the electrostatic-potential
variation across a Hall bar in strong magnetic fields, which revealed a clear
correlation between current-carrying strips and incompressible strips expected
near the edges of the Hall bar, cannot be understood on the basis of existing
equilibrium theories. To explain these experiments, we generalize the
Thomas-Fermi--Poisson approach for the self-consistent calculation of
electrostatic potential and electron density in {\em total} thermal equilibrium
to a {\em local equilibrium} theory that allows to treat finite gradients of
the electrochemical potential as driving forces of currents in the presence of
dissipation. A conventional conductivity model with small values of the
longitudinal conductivity for integer values of the (local) Landau-level
filling factor shows that, in apparent agreement with experiment, the current
density is localized near incompressible strips, whose location and width in
turn depend on the applied current.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 08:32:52 GMT""}]","2015-06-24"
"cond-mat/0210187","Jochen H. Werth","J.H. Werth, M. Linsenbuehler, S.M. Dammer, Z. Farkas, H. Hinrichsen,
  K.-E. Wirth, and D.E. Wolf","Agglomeration of Charged Nanopowders in Suspensions",,,,,"cond-mat",,"  The aim of this work is to understand agglomeration of charged powders
suspended in nonpolar fluids. The concerted influence of electromagnetic,
hydrodynamic and van der Waals forces as well as Brownian motion leads to a
complex agglomeration behaviour which depends on several parameters, e.g., the
ratios of electric charges, particle sizes, temperature and concentrations of
the particles. Both experimental and theoretical considerations are presented.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 09:27:32 GMT""}]","2007-05-23"
"cond-mat/0210188","N. Theodorakopoulos","N. Theodorakopoulos (TPCI-NHRF, Athens, Greece)","Phase transitions in homogeneous biopolymers: basic concepts and methods","Proceedings of the conference on Localization and Energy Transfer in
  Nonlinear Systems, June 17-21, 2002, San Lorenzo de El Escorial, Madrid,
  Spain; to be published by World Scientific (pedagogical review article). 23
  pages, 3 Figs",,,,"cond-mat.stat-mech cond-mat.soft q-bio",,"  The basic models of helix-coil transitions in biomolecules are introduced.
These include phenomenological, zipper (Bragg-Zimm) models of polypeptides,
loop-entropy (Poland-Scheraga) and Hamiltonian (Peyrard-Bishop) models of
homogeneous DNA denaturation. The transfer integral approach to one-dimensional
thermodynamics is presented in some detail, including the necessary extensions
to deal with the singular integral equations arising in the case of on-site
potentials with a flat top. The (non-)applicability of the theorems which
prohibit phase transitions in one-dimensional systems is discussed.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 13:23:00 GMT""}]","2007-05-23"
"cond-mat/0210189","Nick Braun","F.N. Braun","Hydrophobic interaction in the liquid phases of globular protein
  solutions: structure factor parameters",,,,,"cond-mat.soft q-bio",,"  We develop a simple correspondence between hydrophobic surface topology of
globular proteins and and an effective protein-protein adhesiveness parameter
of the Baxter type. We discuss within this framework analytical interpretation
of the structure factor governing static light scattering.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 10:37:21 GMT""}]","2007-05-23"
"cond-mat/0210190","Naoki Kikugawa","Naoki Kikugawa, Andrew Peter Mackenzie and Yoshiteru Maeno","Effects of In-Plane Impurity Substitution in Sr2RuO4","4 pages, 2 figures. submitted to Journal of the Physical Society of
  Japan",,"10.1143/JPSJ.72.237",,"cond-mat.str-el cond-mat.supr-con",,"  We report comparative substitution effects of nonmagnetic Ti^(4+) and
magnetic Ir^(4+) impurities for Ru^(4+) in the spin-triplet superconductor
Sr2RuO4. We found that both impurities suppress the superconductivity
completely at a concentration of approximately 0.15%, reflecting the high
sensitivity to translational symmetry breaking in Sr2RuO4. In addition, a rapid
enhancement of residual resistivity is in quantitative agreement with
unitarity-limit scattering. Our result suggests that both nonmagnetic and
magnetic impurities in Sr2RuO4 act as strong potential scatterers, similar to
the nonmagnetic Zn^(2+) impurity in the high-Tc cuprates.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 11:08:37 GMT""}]","2009-11-07"
"cond-mat/0210191","Jeroen van den Brink","M. J. Konstantinovi\'c, J. van den Brink, Z. V. Popovi\'c, V. V.
  Moshchalkov, M. Isobe and Y. Ueda","Orbital Dimerization and Dynamic Jahn-Teller Effect in NaTiSi$_2$O$_6$","4 pages, 4 figures embedded",,,,"cond-mat.str-el",,"  We study with the Raman scattering technique two types of phase transitions
in the pyroxene compounds NaMSi$_2$O$_6$ (with M=Ti, V, and Cr). In the quasi
one-dimensional S=1/2 system NaTiSi$_2$O$_6$ we observe anomalous
high-temperature phonon broadening and large changes of the phonon energies and
line-widths across the phase transition at 210 K. The phonon anomalies
originate from an orbital order-disorder phase transition and these results
--combined with theoretical considerations-- indicate that the high temperature
dynamical Jahn-Teller phase of NaTiSi$_2$O$_6$ exhibits a spontaneous breaking
of translational symmetry into a dimerized, Jahn-Teller distorted, orbital
ordered state under the formation of spin valence bonds. In S=1 NaVSi$_2$O$_6$
orbital degrees of freedom are strongly suppressed and the magnetic excitations
are well described within a Heisenberg model, indicating that at T$_N$=19K this
system orders antiferromagnetically.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 12:31:00 GMT""},{""version"":""v2"",""created"":""Tue, 21 Jan 2003 14:36:19 GMT""}]","2007-05-23"
"cond-mat/0210192","Vincenzo Fiorentini","V. Fiorentini (Cagliari)","Origin of the efficient light emission from inversion domain boundaries
  in GaN","RevTeX 4 pages, 4 eps figures",,"10.1063/1.1554776",,"cond-mat.mtrl-sci",,"  Intentionally-produced inversion domain boundaries in GaN have been reported
to be highly efficient recombination centers. Here I report a rationale for
this phenomenon based on ab initio density-functional calculations. I also
propose a model, based on the existence of polarization in GaN, of the
observation that a domain boundary acts as a rectifying junction under voltage
applied between the two opposite-polarity surfaces.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 13:21:55 GMT""},{""version"":""v2"",""created"":""Fri, 11 Oct 2002 08:52:52 GMT""}]","2009-11-07"
"cond-mat/0210193","Werner Ebeling","Werner Ebeling, Genri Norman","Coulombic Phase Transitions in Dense Plasmas","8 pages, 3 figures",,,,"cond-mat.stat-mech",,"  We give a survey on the predictions of Coulombic phase transitions in dense
plasmas (PPT) and derive several new results on the properties of these
transitions. In particular we discuss several types of the critical point and
the spinodal curves of quantum Coulombic systems. We construct a simple
theoretical model which shows (in dependence on the parameter values) either
one alkali-type transition (Coulombic and van der Waals forces determine the
critical point) or one Coulombic transition and another van der Waals
transition. We investigate the conditions to find separate Van der Waals and
Coulomb transitions in one system (typical for hydrogen and noble gas-type
plasmas). The separated Coulombic transitions which are strongly influenced by
quantum effects are the hypothetical PPT, they are in full analogy to the known
Coulombic transitions in classical ionic systems. Finally we give a discussion
of several numerical and experimental results referring to the PPT in high
pressure plasmas.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 14:09:15 GMT""}]","2007-05-23"
"cond-mat/0210194","Matthias Fuchs","Matthias Fuchs and Michael E. Cates","Non--Newtonian viscosity of interacting Brownian particles: comparison
  of theory and data","6 pages, 2 figures; J. Phys. Condens. Matter to be published (Jan.
  2003)",,"10.1088/0953-8984/15/1/355",,"cond-mat.soft cond-mat.dis-nn cond-mat.stat-mech",,"  A recent first-principles approach to the non-linear rheology of dense
colloidal suspensions is evaluated and compared to simulation results of
sheared systems close to their glass transitions. The predicted scenario of a
universal transition of the structural dynamics between yielding of glasses and
non-Newtonian (shear-thinning) fluid flow appears well obeyed, and calculations
within simplified models rationalize the data over variations in shear rate and
viscosity of up to 3 decades.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:44:28 GMT""}]","2009-11-07"
"cond-mat/0210196","Sergei Kozyrev","S.V. Kozyrev","The noncommutative replica procedure","12 pages, LaTeX, Commentaries added",,,"ICP 9-10-02","cond-mat",,"  The alternative to the replica procedure, which we call the noncommutative
replica procedure, is discussed. The detailed comparison with the standard
replica procedure is performed.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 14:27:35 GMT""},{""version"":""v2"",""created"":""Sun, 26 Jan 2003 14:12:12 GMT""},{""version"":""v3"",""created"":""Thu, 27 Feb 2003 14:20:35 GMT""}]","2007-05-23"
"cond-mat/0210197","Werner Ebeling","Werner Ebeling","Nonlinear Dynamics of Active Brownian Particles","12 pages, 4 figures",,,,"cond-mat.stat-mech",,"  We consider finite systems of interacting Brownian particles including active
friction in the framework of nonlinear dynamics and statistical/stochastic
theory. First we study the statistical properties for $1-d$ systems of masses
connected by Toda springs which are imbedded into a heat bath. Including
negative friction we find $N+1$ attractors of motion including an attractor
describing dissipative solitons. Noise leads to transition between the
deterministic attractors. In the case of two-dynamical motion of interacting
particles angular momenta are generated and left/right rotations of pairs and
swarms are found.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 14:32:21 GMT""}]","2007-05-23"
"cond-mat/0210198","Hiroyuki Yoshimoto","Hiroyuki Yoshimoto and Susumu Kurihara","Analytical treatment of interacting Fermi gas in arbitrary dimensional
  harmonic trap","15 pages, 4 figures",,"10.1088/0305-4470/36/42/004",,"cond-mat.stat-mech",,"  We study normal state properties of an interacting Fermi gas in an isotropic
harmonic trap of arbitrary dimensions. We exactly calculate the first-order
perturbation terms in the ground state energy and chemical potential, and
obtain simple analytic expressions of the total energy and chemical potential.
At zero temperature, we find that Thomas-Fermi approximation agrees well with
exact results for any dimension even though system is dilute and small, i.e.
when the Thomas-Fermi approximation is generally expected to fail. In the high
temperature (classical) region, we find interaction energy decreases in
proportion to T^(-d/2), where T is temperature and d is dimension of the
system. Effect of interaction in the ground state in two and three-dimensional
systems is also discussed.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:49:31 GMT""}]","2009-11-07"
"cond-mat/0210200","Claudio Horowitz","Federico Roma, Claudio M. Horowitz and Ezequiel V. Albano","A numerical study of the development of bulk scale-free structures upon
  growth of self-affine aggregates","19 pages, 5 figures, accepted for publication in Phys.Rev.E","Phys. Rev. E 66, 066115 (2002)","10.1103/PhysRevE.66.066115",,"cond-mat.stat-mech",,"  During the last decade, self-affine geometrical properties of many growing
aggregates, originated in a wide variety of processes, have been well
characterized. However, little progress has been achieved in the search of a
unified description of the underlying dynamics. Extensive numerical evidence
has been given showing that the bulk of aggregates formed upon ballistic
aggregation and random deposition with surface relaxation processes can be
broken down into a set of infinite scale invariant structures called ""trees"".
These two types of aggregates have been selected because it has been
established that they belong to different universality classes: those of
Kardar-Parisi-Zhang and Edward-Wilkinson, respectively. Exponents describing
the spatial and temporal scale invariance of the trees can be related to the
classical exponents describing the self-affine nature of the growing interface.
Furthermore, those exponents allows us to distinguish either the compact or
non-compact nature of the growing trees. Therefore, the measurement of the
statistic of the process of growing trees may become a useful experimental
technique for the evaluation of the self-affine properties of some aggregates.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:41:56 GMT""}]","2009-11-07"
"cond-mat/0210201","David Hughes","D. Hughes (1), M. Paczuski (1), R.O. Dendy (2), P. Helander (2), and
  K.G. McClements (2) ((1) Imperial College of Science, Technology and
  Medicine, (2) EURATOM/UKAEA Fusion Association)","Solar Flares as Cascades of Reconnecting Magnetic Loops","4 pages, 4 figures, To be published in Phys. Rev. Lett","Phys. Rev. Lett., 90, 131101, (2003)","10.1103/PhysRevLett.90.131101",,"cond-mat.stat-mech physics.plasm-ph physics.space-ph",,"  A model for the solar coronal magnetic field is proposed where multiple
directed loops evolve in space and time. Loops injected at small scales are
anchored by footpoints of opposite polarity moving randomly on a surface.
Nearby footpoints of the same polarity aggregate, and loops can reconnect when
they collide. This may trigger a cascade of further reconnection, representing
a solar flare. Numerical simulations show that a power law distribution of
flare energies emerges, associated with a scale free network of loops,
indicating self-organized criticality.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:50:48 GMT""},{""version"":""v2"",""created"":""Fri, 21 Feb 2003 14:14:19 GMT""}]","2009-11-07"
