"astro-ph/0210617","Dan Hooper","Dan Hooper and Brenda Dingus","Limits on Supersymmetric Dark Matter From EGRET Observations of the
  Galactic Center Region","4 pages, 3 figures","Phys.Rev. D70 (2004) 113007","10.1103/PhysRevD.70.113007","MAD-PH-02-1310, LAUR-02-6743","astro-ph hep-ph",,"  In most supersymmetic models, neutralino dark matter particles are predicted
to accumulate in the Galactic center and annihilate generating, among other
products, gamma rays. The EGRET experiment has made observations in this
region, and is sensitive to gamma rays from 30 MeV to $\sim$30 GeV. We have
used an improved point source analysis including an energy dependent point
spread function and an unbinned maximum likelihood technique, which has allowed
us to significantly lower the limits on gamma ray flux from the Galactic
center. We find that the present EGRET data can limit many supersymmetric
models if the density of the Galactic dark matter halo is cuspy or spiked
toward the Galactic center. We also discuss the ability of GLAST to test these
models.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 19:24:14 GMT""}]","2009-11-07"
"astro-ph/0210652","Jorge Sanz-Forcada","J. Sanz-Forcada (1 and 2), N. S. Brickhouse (1), and A. K. Dupree (1)
  ((1) Harvard-Smithsonian Center for Astrophysics, Cambridge-MA (USA), (2)
  INAF-Osservatorio Astronomico di Palermo, Palermo (Italy))","The Structure of Stellar Coronae in Active Binary Systems","45 pages, 9 figures (with 20 eps files). Accepted for its publication
  in ApJS",,"10.1086/345815",,"astro-ph",,"  A survey of 28 stars using EUV spectra has been conducted to establish the
structure of stellar coronae in active binary systems from the EMD, electron
densities, and scale sizes. Observations obtained by the EUVE during 9 years of
operation are included for the stars in the sample. EUVE data allow a
continuous EMD to be constructed in the range log T~5.6-7.4, using iron
emission lines. These data are complemented with IUE observations to model the
lower temperature range. Inspection of the EMD shows an outstanding narrow
enhancement, or ``bump'' peaking around log T~6.9 in 25 of the stars, defining
a fundamental coronal structure. The emission measure per unit stellar area
decreases with increasing orbital (or photometric) periods of the target stars;
stars in binaries generally have more material at coronal temperatures than
slowly rotating single stars. High electron densities (Ne>10^12 cm^-3) are
derived at ~10 MK for some targets, implying small emitting volumes. The
observations suggest the magnetic stellar coronae of these stars are consistent
with two basic classes of magnetic loops: solar-like loops with maximum
temperature around log T~6.3 and lower electron densities (Ne>10^9-10.5), and
hotter loops peaking around log T~6.9 with higher electron densities
(Ne>10^12). For the most active stars, material exists at much higher
temperatures (log T>6.9) as well. However, current ab initio stellar loop
models cannot reproduce such a configuration. Analysis of the light curves of
these systems reveals signatures of rotation of coronal material, as well as
apparent seasonal changes in the activity levels.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 12:02:11 GMT""}]","2009-11-07"
"astro-ph/0210653","Juan Fabregat","Juan Fabregat","The Be star content of young open clusters","6 pages, to be published in ASP Conference Series ""Interplay between
  periodic, cyclic and stochastic variability in selected areas of the H-R
  diagram"", C. Sterken, Ed",,,,"astro-ph",,"  We present a photometric survey aimed to characterize the Be star population
of young open clusters. It is found that in these clusters early-type Be stars
are more frequent than in the galactic field, and late-type Be stars are scarce
or inexistent. We interpret this result as evidence for an evolutionary
enhancement of the Be phenomenon towards the end of the main sequence lifetime.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 12:33:54 GMT""}]","2007-05-23"
"astro-ph/0210654","Jens Hjorth","P. M{\o}ller, J. P. U. Fynbo, J. Hjorth, B. Thomsen, M. P. Egholm, M.
  I. Andersen, J. Gorosabel, S. T. Holland, P. Jakobsson, B. L. Jensen, H.
  Pedersen, K. Pedersen, M. Weidinger","Absorption Systems in the Spectrum of GRB 021004","4 pages, 3 figures, A&A Letters, in press","Astron.Astrophys. 396 (2002) L21-L24","10.1051/0004-6361:20021612",,"astro-ph",,"  We report on a 3600 s spectrum of GRB 021004 obtained with the Nordic Optical
Telecope on La Palma 10.71 hours after the burst. We identify absorption lines
from five systems at redshifts 1.3806, 1.6039, 2.2983, 2.3230, and 2.3292. In
addition we find an emission line which, if due to Ly-alpha from the host
galaxy, gives a redshift of 2.3351. The nearest absorber is blueshifted by 530
km/s with respect to this line, consistent with shifts seen in Damped Ly-alpha
and Lyman-Break galaxies at similar redshifts. The emission line flux is
2.46+-0.50 x 10^-16 erg/s/cm^2. Some of the absorption systems are
""line-locked"", an effect often seen in QSO absorption systems believed to
originate close to the QSO central engine.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 13:34:37 GMT""}]","2007-05-23"
"astro-ph/0210655","Roland Oechslin","R. Oechslin, G. Poghosyan, K. Uryu","Quark Matter in Neutron Star Mergers","4 Pages, 4 Figures, Proc. Nuclei in the Cosmos 7, 2002","Nucl.Phys. A718 (2003) 706-708","10.1016/S0375-9474(03)00895-9",,"astro-ph",,"  Binary neutron star mergers are expected to be one of the most promising
source of gravitational waves (GW) for the network of laser interferometric and
bar detectors becoming operational in the next few years. The merger wave
signal is expected to be sensitive to the interior structure of the neutron
star (NS). The structure of high density phases of matter is under current
experimental investigation in heavy-ion collisions. We investigate the
dependence of the merger process and its GW signal on the presence of quarks in
these phases by performing numerical simulations, where the smoothed particle
hydrodynamics (SPH) method and the conformally flat approximation for the
3-geometry in general relativistic gravity are implemented.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:57:16 GMT""}]","2015-06-24"
"astro-ph/0210656","Huang Y. F.","J.B. Feng, Y.F. Huang, Z.G. Dai, T. Lu","Dynamical Evolution of Gamma-Ray Burst Remnants with Evolving Radiative
  Efficiency","10 pages, 5 embedded eps figures, to appear in: Chin. J. Astron.
  Astrophys. (2002), Vol 2","Chin.J.Astron.Astrophys.2:525-532,2002","10.1088/1009-9271/2/6/525",,"astro-ph",,"  In previous works, a generic dynamical model has been suggested by Huang et
al., which is shown to be correct for both adiabatic and radiative blastwaves,
and in both ultra-relativistic and non-relativistic phases. In deriving their
equations, Huang et al. have assumed that the radiative efficiency of the
fireball is constant. They then applied their model directly to realistic cases
where the radiative efficiency evolves with time. In this paper, we abandon the
above assumption and re-derive a more accurate dynamical equation for gamma-ray
burst remnants. Numerical results show that Huang et al.'s model is accurate
enough in general cases.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 15:30:40 GMT""}]","2014-10-13"
"astro-ph/0210657","Daniele Pierini","D. Pierini (1 and 2), K. J. Leech (3), H. J. Voelk (4) ((1) The
  University of Toledo, Toledo, OH (2) MPE, Garching, Germany, (3) ISO Data
  Centre, Madrid, Spain, (4) MPIK, Heidelberg, Germany)","[C II] emission and star formation in late-type galaxies. II A model","13 pages, 5 figures (included), accepted for publication in Astronomy
  and Astrophysics","Astron.Astrophys. 397 (2003) 871-882","10.1051/0004-6361:20021572",,"astro-ph",,"  We study the relationship between gas cooling via the [C II] (158 micron)
line emission and dust cooling via the far-IR continuum emission on the global
scale of a galaxy in normal (i.e. non-AGN dominated and non-starburst)
late-type systems. It is known that the luminosity ratio of total gas and dust
cooling, L(C II)/L(FIR), shows a non-linear behaviour with the equivalent width
of the Halpha line emission, the ratio decreasing in galaxies of lower massive
star-formation activity. This result holds despite the fact that known
individual Galactic and extragalactic sources of the [C II] line emission show
different [C II] line-to-far-IR continuum emission ratios. This non-linear
behaviour is reproduced by a simple quantitative model of gas and dust heating
from different stellar populations, assuming that the photoelectric effect on
dust, induced by far-UV photons, is the dominant mechanism of gas heating in
the general diffuse interstellar medium of the galaxies under investigation.
According to the model, the global L(C II)/L(FIR) provides a direct measure of
the fractional amount of non-ionizing UV light in the interstellar radiation
field and not of the efficiency of the photoelectric heating. The model also
defines a method to constrain the stellar initial mass function from
measurements of L(C II) and L(FIR). A sample of 20 Virgo cluster galaxies
observed in the [C II] line with the LWS on board ISO is used to illustrate the
model. The limited statistics and the necessary assumptions behind the
determination of the global [C II] luminosities from the spatially limited data
do not allow us to establish definitive conclusions but data-sets available in
the future will allow tests of both the reliability of the assumptions of our
model and the statistical significance of our results.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 15:35:40 GMT""}]","2009-11-07"
"astro-ph/0210658","Justin Read","J. I. Read and G. Gilmore","Can Supermassive Black Holes alter Cold Dark Matter cusps through
  accretion?","9 pages, 7 figures. Accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 339 (2003) 949","10.1046/j.1365-8711.2003.06232.x",,"astro-ph",,"  We present some simple models to determine whether or not the accretion of
cold dark matter by supermassive black holes is astrophysically important.
Contrary to some claims in the literature, we show that supermassive black
holes cannot significantly alter a power law density cusp via accretion,
whether during mergers or in the steady state.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 15:46:26 GMT""}]","2009-11-07"
"cond-mat/0210628","Georg Morten Bruun","G. M. Bruun","Low energy monopole Modes of a Trapped atomic Fermi Gas","5 pages & 1 figure. Accepted for Phys. Rev. Lett","Phys.Rev.Lett. 89 (2002) 263002","10.1103/PhysRevLett.89.263002",,"cond-mat nucl-th",,"  We consider the low energy collective monopole modes of a trapped weakly
interacting atomic Fermi gas in the collisionless regime. The spectrum is
calculated for varying coupling strength and chemical potential. Using an
effective Hamiltonian, we derive analytical results that agree well with
numerical calculations in various regimes. The onset of superfluidity is shown
to lead to effects such as the vanishing of the energy required to create a
Cooper molecule at a critical coupling strength and to the emergence of pair
vibration excitations. Our analysis suggests ways to experimentally detect the
presence of the superfluid phase in trapped atomic Fermi gases.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 20:01:42 GMT""}]","2009-11-07"
"cond-mat/0210629","Maxim Olshanii","Maxim Olshanii and Vanja Dunjko (USC and ITAMP)","Short-Distance Correlation Properties of the Lieb-Liniger System and
  Momentum Distributions of Trapped One-Dimensional Atomic Gases","A significant misprint in the definition of c_2 is corrected. 5
  pages, 1 EPS figure, references updated",,"10.1103/PhysRevLett.91.090401",,"cond-mat math-ph math.MP nlin.SI quant-ph",,"  We derive exact closed form expressions for the first few terms of the
short-distance Taylor expansion of the one-body correlation function of the
Lieb-Liniger gas. As an intermediate result we obtain the high-p asymptotics of
the momentum distribution of both free and harmonically trapped atoms and show
that it obeys a universal 1/p^4 law for_all_ values of the interaction
strength. We discuss the ways to observe the predicted momentum distributions
experimentally, regarding them as a sensitive identifier for the
Tonks-Girardeau regime of strong correlations.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 18:45:35 GMT""},{""version"":""v2"",""created"":""Wed, 6 Nov 2002 05:47:13 GMT""},{""version"":""v3"",""created"":""Fri, 27 Jun 2003 17:13:51 GMT""}]","2009-11-07"
"cond-mat/0210648","Dario Daghero","D. Daghero, P. Mazzetti, A. Stepanescu, P. Tura, and A. Masoero","Electrical anisotropy in high-Tc granular superconductors in a magnetic
  field","12 pages, 9 EPS figures, RevTex 4","Phys. Rev. B 66, 184514 (2002)","10.1103/PhysRevB.66.184514",,"cond-mat.supr-con",,"  We propose an analytical model devoted to explain the anisotropy of the
electrical resistance observed below the critical temperature in granular
high-Tc superconductors submitted to a magnetic field H. Reported experimental
results obtained on a YBCO sample show that the superconducting transition
occurs in two stages, with a steep drop of the resistance at Tc and a
subsequent, smoother decrease. In this second stage, the resistance vs.
temperature curve is strongly dependent not only on the field intensity, but
also on the angle between H and the macroscopic current density j.
  We start from the assumption that the resistance below Tc is mainly due to
the weak links between grains. In the model, weak links are thought of as flat
surface elements separating adjacent grains. We calculate the probability for a
weak link to undergo the transition to the resistive state, as a function of
the angles it makes with the external magnetic field H and the macroscopic
current density j. In doing this, an important role is given to the strong
non-uniformity of the local magnetic field within the specimen, due to the
effect of the screening supercurrents flowing on the surface of the grains.
Finally, we calculate the electrical resistance of the sample in the two cases
where H is parallel and perpendicular to j, respectively. The predictions of
this simple model turn out to be in reasonable agreement with reported
experimental results obtained on a YBCO granular specimen.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 16:38:34 GMT""}]","2009-11-07"
"cond-mat/0210649","Carlos Rascon","C. Rascon and M. E. Cates","Landau Expansion for the Critical Point of a Polydisperse System","9 pages, 2 figures",,"10.1063/1.1542600",,"cond-mat.stat-mech cond-mat.soft",,"  The effect of polydispersity on the phase diagram of a simple binary mixture
is to split the binodal curve into cloud and shadow curves that cross at the
critical point (which, in general, is not at the maximum of either curve).
Recent theories of polydispersity have shown, in favorable cases, how to
project the (infinite-dimensional) free energy of the polydisperse system into
a low dimensional space of `moment densities'. We address here the issue of how
to construct a Landau expansion from the projected free energy. For the
simplest case where the excess free energy depends on one moment density
$\rho_1$ (this includes Flory Huggins theory for length-polydisperse chains) we
show that the minimal expansion remains quartic in $\rho_1$ but nonetheless has
seven independent coefficients, not two. When this expansion is handled
correctly all the peculiar qualitative features of the polydisperse phase
diagram are recovered, as are the slopes of the cloud and shadow curves, and
the curvature of the cloud. However, to correctly predict the curvature of the
shadow, certain fifth order terms must be retained. We also consider the phase
diagram on the temperature-pressure plane, where the coexistence line broadens
into a region. In general, the critical point lies between the point of maximum
temperature and the point of maximum pressure on the perimeter of this region.
This behaviour is again captured by the Landau expansion.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:10:42 GMT""}]","2009-11-07"
"cond-mat/0210650","Jaan Kalda","Jaan Kalda","Oceanic coastline and super-universality of percolation clusters","4 pages (Grammatically revised)",,,,"cond-mat.stat-mech",,"  New fractal subset of a rough surface, the ``oceanic coastline'', is defined.
For random Gaussian surfaces with negative Hurst exponent $H<0$, ``oceanic
coastlines'' are mapped to the percolation clusters of the (correlated)
percolation problem. In the case of rough self-affine surfaces ($H \ge 0$), the
fractal dimension of the ``oceanic coastline'' $d_c$ is calculated numerically
as a function of the roughness exponent $H$ (using a novel technique of
minimizing finite-size effects). For H=0, the result $d_c \approx 1.896$
coincides with the analytic value for the percolation problem (91/48),
suggesting a super-universality of $d_c$ for correlated percolation problem.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:12:58 GMT""},{""version"":""v2"",""created"":""Fri, 24 Jan 2003 19:45:58 GMT""}]","2007-05-23"
"cond-mat/0210651","Stephan Duerr","A. Marte, T. Volz, J. Schuster, S. D\""urr, G. Rempe, E. G. M. van
  Kempen, B. J. Verhaar","Feshbach resonances in rubidium 87: Precision measurement and analysis","figure 2 corrected; minor changes in the text","Phys. Rev. Lett. 89, 283202 (2002)","10.1103/PhysRevLett.89.283202",,"cond-mat.stat-mech",,"  More than 40 Feshbach resonances in rubidium 87 are observed in the magnetic
field range between 0.5 and 1260 G for various spin mixtures in the lower
hyperfine ground state. The Feshbach resonances are observed by monitoring the
atom loss, and their positions are determined with an accuracy of 30 mG. In a
detailed analysis, the resonances are identified and an improved set of model
parameters for the rubidium interatomic potential is deduced. The elastic width
of the broadest resonance at 1007 G is predicted to be significantly larger
than the magnetic field resolution of the apparatus. This demonstrates the
potential for applications based on tuning the scattering length.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:56:53 GMT""},{""version"":""v2"",""created"":""Thu, 19 Dec 2002 10:01:27 GMT""}]","2007-05-23"
"cond-mat/0210652","Ilya Eremin","H. Breitzke, I. Eremin, D. Manske, E.V. Antipov, and K. L\""uders","Evidence for the formation of magnetic moments in the cuprate
  superconductor Hg$_{0.8}$Cu$_{0.2}$Ba$_2$Ca$_2$Cu$_3$O$_{8+\delta}$ below
  $T_c$ seen by NQR","11 pages, 12 figures","Physica C 406, 27 (2004)","10.1016/j.physc.2004.02.183",,"cond-mat.supr-con cond-mat.str-el",,"  We report pure zero field nuclear magnetic resonance (NQR) measurements on
the optimally doped three layer high-$ T_{c} $-compounds HgBaCaCuO and
HgBaCaCuO(F) with $T_c$ 134 K. Above $ T_{c}$ two Cu NQR line pairs are
observed in the spectra corresponding to the two inequivalent Cu lattice sites.
Below $ T_{c}$ the Cu NQR spectra show additional lines leading to the extreme
broadened Cu NQR spectra at 4.2 K well known for the HgBaCaCuO compounds. The
spin-lattice relaxation curves follow a triple exponential function with
coefficients depend onto the saturation time (number of saturation pulses),
whereas the spin-spin relaxation curve is described by a single exponential
function. From the spin-lattice relaxation we deduced a complete removal of the
Kramers degeneracy of the Cu quadrupole indicating that the additional lines
are due to a Zeemann splitting of the $^{63/65}$Cu lines due to the spontaneous
formation of magnetic moments within the CuO layers. Below 140 K, the spectra
are well fitted by a number of 6 $^{63/65}$Cu line pairs. From the number of
the Cu lines, the position of the lines relative to each other and the complete
removal of the Kramers degeneracy we deduced an orientation of the magnetic
moments parallel to the symmetry axis of the electric field gradient tensor
with magnitudes of the order of 1000 G. We also discuss the possible
microscopic origin of the observed internal magnetic fields.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 18:52:31 GMT""},{""version"":""v2"",""created"":""Thu, 6 Nov 2003 13:33:43 GMT""}]","2009-11-07"
"cond-mat/0210653","Dirk K. Morr","A. V. Chubukov, A. M. Finkel'stein, R. Haslinger, and D. K. Morr","First order superconducting transition near a ferromagnetic quantum
  critical point","4 pages, 2 figures",,"10.1103/PhysRevLett.90.077002",,"cond-mat.supr-con cond-mat.str-el",,"  We address the issue of how triplet superconductivity emerges in an
electronic system near a ferromagnetic quantum critical point (FQCP). Previous
studies found that the superconducting transition is of second order, and Tc is
strongly reduced near the FQCP due to pair-breaking effects from thermal spin
fluctuations. In contrast, we demonstrate that near the FQCP, the system avoids
pair-breaking effects by undergoing a first order transition at a much larger
Tc. A second order superconducting transition emerges only at some distance
from the FQCP.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 21:12:20 GMT""}]","2009-11-07"
"cond-mat/0210654","Michele Virgilio","V. Benci, C. Bonanno, S. Galatolo, G. Menconi, M. Virgilio","Dynamical systems and computable information","33 pages, 10 figures. Submitted to Continuous Dynamical Systems A",,,,"cond-mat.stat-mech math.DS",,"  We present some new results which relate information to chaotic dynamics. In
our approach the quantity of information is measured by the Algorithmic
Information Content (Kolmogorov complexity) or by a sort of computable version
of it (Computable Information Content) in which the information is measured by
the use of a suitable universal data compression algorithm. We apply these
notions to the study of dynamical systems by considering the asymptotic
behavior of the quantity of information necessary to describe their orbits.
When a system is ergodic, this method provides an indicator which equals the
Kolmogorov-Sinai entropy almost everywhere. Moreover, if the entropy is 0, our
method gives new indicators which measure the unpredictability of the system
and allows to classify various kind of weak chaos. Actually this is the main
motivation of this work. The behaviour of a zero entropy dynamical system is
far to be completely predictable exept that in particular cases. In fact there
are 0 entropy systems which exibit a sort of {\it weak chaos} where the
information necessary to describe the orbit behavior increases with time more
than logarithmically (periodic case) even if less than linearly (positive
entropy case). Also, we believe that the above method is useful for the
classification of zero entropy time series. To support this point of view, we
show some theoretical and experimenthal results in specific cases.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 22:06:37 GMT""}]","2007-05-23"
"cond-mat/0210655","Dung-Hai Lee","D.-H. Lee and F.Y. Wu","Duality relation for frustrated spin models","Several relevant references are added. Comments on their relation to
  this work are also added","Physical Review E 67, 026111 (2003).","10.1103/PhysRevE.67.026111",,"cond-mat.stat-mech cond-mat.dis-nn math-ph math.MP",,"  We consider discrete spin models on arbitrary planar graphs and lattices with
frustrated interactions. We first analyze the Ising model with frustrated
plaquettes. We use an algebraic approach to derive the result that an Ising
model with some of its plaquettes frustrated has a dual which is an Ising model
with an external field $i\pi/2$ applied to the dual sites centered at
frustrated plaquettes. In the case that all plaquettes are frustrated, this
leads to the known result that the dual model has a uniform field $i\pi/2$
whose partition function can be evaluated in the thermodynamic limit for
regular lattices.
  The analysis is extended to a Potts spin glass with analogous results
obtained.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 22:41:25 GMT""},{""version"":""v2"",""created"":""Wed, 27 Nov 2002 17:23:59 GMT""}]","2009-11-07"
"cond-mat/0210656","Nai-Chang Yeh","N.-C. Yeh","Recent Advances in High-Temperature Superconductivity","24 pages, 17 figures, 166 references. Review article, to appear in
  the Bulletin of Associations of Asia Pacific Physical Societies (AAPPS), Vol.
  12. Contact author: Nai-Chang Yeh (e-mail: ncyeh@caltech.edu)","Bulletin of Associations of Asia Pacific Physical Socienties
  (AAPPS), Vol. 12, No. 2, page 2 -- 20 (2002).",,,"cond-mat.supr-con",,"  Recent experimental and theoretical developments in high-temperature
superconductivity are reviewed, and the empirically asymmetric behavior between
hole-doped and electron-doped cuprates is contrasted. A number of phenomena
previously considered as essential for the formation of cuprate
superconductivity, such as the pairing symmetry, pseudogap phenomenon, gapped
incommensurate spin fluctuations and charged stripes, are found to be
non-universal, and are likely the consequence of competing orders. It is
suggested that the only ubiquitous properties among all cuprates are the strong
electronic correlation and antiferromagnetic spin interaction in the CuO2
planes.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 02:30:02 GMT""}]","2007-05-23"
"cond-mat/0210657","Hilda Sung","H.W.F. Sung and C. Rudowicz","A closer look at the hysteresis loop for ferromagnets - A survey of
  misconceptions and misinterpretations in textbooks","24 pages, 5 figures",,,,"cond-mat",,"  This article describes various misconceptions and misinterpretations
concerning presentation of the hysteresis loop for ferromagnets occurring in
undergraduate textbooks. These problems originate from our teaching a solid
state / condensed matter physics (SSP/CMP) course. A closer look at the
definition of the 'coercivity' reveals two distinct notions referred to the
hysteresis loop: B vs H or M vs H, which can be easily confused and, in fact,
are confused in several textbooks. The properties of the M vs H type hysteresis
loop are often ascribed to the B vs H type loops, giving rise to various
misconceptions. An extensive survey of textbooks at first in the SSP/CMP area
and later extended into the areas of general physics, materials science and
magnetism / electromagnetism has been carried out. Relevant encyclopedias and
physics dictionaries have also been consulted. The survey has revealed various
other substantial misconceptions and/or misinterpretations than those
originally identified in the SSP/CMP area. The results are presented here to
help clarifying the misconceptions and misinterpretations in question. The
physics education aspects arising from the textbook survey are also discussed.
Additionally, analysis of the CMP examination results concerning questions
pertinent for the hysteresis loop is provided.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 02:31:07 GMT""}]","2007-05-23"
"cond-mat/0210658","Roman Lopez-Sandoval","R. Lopez-Sandoval (1) and G. M. Pastor (2) ((1)Instituto Potosino de
  Investigacion Cientifica y Tecnologica (2) Laboratoire de Physique Quantique,
  Universite Paul Sabatier, Centre National de la Recherche Scientifique)","Electronic properties of the dimerized one-dimensional Hubbard model
  using lattice density-functional theory","18 pages, 8 figures. Submitted to Phys. Rev. B",,"10.1103/PhysRevB.67.035115",,"cond-mat.str-el",,"  The dimerized one-dimensional Hubbard model is studied in the framework of
lattice density-functional theory (LDFT). The single-particle density matrix
gamma_{ij} with respect to the lattice sites is considered as basic variable.
The corresponding interaction-energy functional W[gamma_{ij}] is defined by
Levy's constrained search. Exact numerical results are obtained for
W(gamma_{12},gamma_{23}) where gamma_{12} = gamma_{i,i+1} for i odd and
gamma_{23} = gamma_{i,i+1} for i even are the nearest-neighbor density-matrix
elements along the chain. The domain of representability of gamma_{ij} and the
functional dependence of W(gamma_{12},gamma_{23}) are analyzed. A simple,
explicit approximation to W(gamma_{12},gamma_{23}) is proposed, which is
derived from scaling properties of W, exact dimer results, and known limits.
Using this approximation, LDFT is applied to determine ground-state properties
and charge-excitation gaps of finite and infinite dimerized chains as a
function of the Coulomb-repulsion strength U/t and of the alternation delta t
of the hopping integrals t_{ij} (t_{ij} = t + or - delta t). The accuracy of
the method is demonstrated by comparison with available exact solutions and
accurate numerical calculations. Goals and limitations of the present approach
are discussed particularly concerning its ability to describe the crossover
from weak to strong electron correlations.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 02:46:00 GMT""}]","2009-11-07"
"cond-mat/0210659","Wan Ahmad Tajuddin Wan Abdullah","Wan Ahmad Tajuddin Wan Abdullah (Dept. Physics, Universiti Malaya)","Learning strategies for global games with delayed payoffs","8 pages, pdf, to appear in Proc. Workshop on Economics with
  Heterogenous Interacting Agents, Trieste, May/June 2002",,,,"cond-mat",,"  Economic ensembles can be modeled as networks of interacting agents whose
be-haviors are described in terms of game theory. The evolutionary paradigm has
been applied to two-person games to discover strategies in this context.
Subse-quently, many-player games, and specifically global games (where payoffs
depend collectively on all the rest of the players) as with the minimal game,
have been studied. The minority game is attractive because it has intuitive
similarities to e.g. securing niche businesses. We enhance this intuitive
similarity by extending the game through the introduction of delayed payoffs.
Payoffs depend on the values of future moves; we reward choices which later on
become popular.
  We study agents' moves in such global game with delayed payoff. Instead of an
evolutionary approach we allow learning in the agents. We study strategies that
may emerge through learning in agents in such games.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 05:10:52 GMT""}]","2007-05-23"
"cond-mat/0210660","Veer Awana","Y. Morita, V.P.S. Awana, H. Yamauchi and M. Karppinen","Oxygen Stoichiometry in Co-1212, Co-1222 and Co-1232 of Homologous
  Series Co-12s2 of Category-B Layered Copper Oxides","10 pages text, 3 pages Figs. For ISS-2002(Yokohama)in Physica C",,,,"cond-mat.supr-con cond-mat.str-el",,"  Here results of a systematic study on oxygen stoichiometry are reported for
the first three members of the novel CoSr2(Y,Ce)sCu2O5+2s or Co-12s2 homologous
series, i.e. Co-1212, Co-1222 and Co-1232 phases with a
SrO-CoO1-SrO-CuO2-(Y,Ce)-[O2-(Y,Ce)]s-1-CuO2 layered structure. The oxygen
content was precisely determined by two independent chemical techniques:
coulometric Cu+/Cu2+ titration and iodometric titration. Furthermore, oxygen
stability/tunability was investigated by means of oxygenative and reductive
an-nealings carried out in a thermobalance. It was revealed that all the three
phases are rather stoichiometric in oxygen content and stable against both
oxygenative and reductive an-nealings. The present results for the Co-12s2
homologous series suggest that not only the CoO1 charge reservoir but also the
nominally oxygen-stoichiometric B-[O2-B]s-1 fluo-rite block, that is the
characteristic structural element for the Co-12s2 (s > 1) phases and all other
layered copper oxides of category-B [H. Yamauchi and M. Karppinen, Superlatt.
Microstructr. 21A (1997) 128] is non-tunable in terms of the oxygen content.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 07:15:07 GMT""}]","2007-05-23"
"cond-mat/0210661","Shun-Qing Shen","S. Q. Shen and X. C. Xie","Spin current in the Kondo lattice model","4 pages included 3 figures. The title is changed and several new
  references and notes are added","Phys. Rev. B 67, 144423 (2003)","10.1103/PhysRevB.67.144423",,"cond-mat.str-el cond-mat.mtrl-sci",,"  By using the projection operator technique it is observed that the strong
Hund's rule coupling and s-d interaction in transition metal elements may lead
to an effective coupling between the spin current and spin spirality. As a
result, the spin spirality can be regarded as a driving force to produce a spin
current. The spin current may give rise to a novel type of field acting on the
spins. A spin battery is designed based on the interactions between the spin
current and spin spirality.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 07:19:51 GMT""},{""version"":""v2"",""created"":""Thu, 31 Oct 2002 07:22:27 GMT""},{""version"":""v3"",""created"":""Sat, 3 May 2003 15:00:34 GMT""}]","2009-11-07"
"cond-mat/0210662","Zhou Yi","Yi Zhou, Xiao-Gang Wen","Quantum Orders and Spin Liquids in Cs$_2$CuCl$_4$","18 pages, 13 figures, RevTex4, more materials about quantum orders to
  be found in http://dao.mit.edu/~wen",,,,"cond-mat.str-el",,"  Motivated by experiments on Cs$_2$CuCl$_4$ samples, we studied and classified
the symmetric spin liquids on triangular lattice. We identified 63 $Z_2$ spin
liquids, 30 U(1) spin liquids and 2 SU(2) spin liquids. All those spin liquids
have the same symmetry but different quantum orders. We calculated the spin
spectral functions in some simple spin liquids and compared them to the one
measured by experiments on Cs$_2$CuCl$_4$. We find that the $U1C\tau
_{+}^0\tau_{-}^0\tau^1$ spin liquid or one of its relatives is consistent with
observed properties of the spin liquid state in Cs$_2$CuCl$_4$. We discussed
the fine distinctions among those possible spin liquids and the spin liquids
proposed using slave-fermion approach, so that future experiments can determine
which spin liquids actually describe the spin state in Cs$_2$CuCl$_4$.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 07:32:23 GMT""},{""version"":""v2"",""created"":""Tue, 24 Jun 2003 08:37:43 GMT""},{""version"":""v3"",""created"":""Sun, 29 Jun 2003 17:24:55 GMT""}]","2007-05-23"
