"astro-ph/0203520","David Polarski","David Blais, Claus Kiefer and David Polarski","Can Primordial Black Holes be a Significant Part of Dark Matter ?","10 pages, 3 figures; one typo corrected, version to appear in Phys.
  Lett. B","Phys.Lett. B535 (2002) 11-16","10.1016/S0370-2693(02)01803-8",,"astro-ph gr-qc",,"  The computation of PBH (primordial black hole) production from primordial
perturbations has recently been improved by considering a more accurate
relation between the primordial power spectrum and the PBH mass variance. We
present here exact expressions which are valid for primordial spectra of
arbitrary shape and which allow accurate numerical calculations. We then
consider the possibility to have a significant part of dark matter in the form
of PBHs produced by a primordial spectrum of inflationary origin possessing a
characteristic scale. We show that in this model the relevant PBH mass is
constrained to lie in the range $5\times 10^{15} {\rm g}\lesssim M \lesssim
10^{21} {\rm g}$. This is much less than the mass range coming from the QCD
phase transition, allowing the two mechanisms to be easily distinguished.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 17:21:33 GMT""},{""version"":""v2"",""created"":""Thu, 25 Apr 2002 12:32:09 GMT""}]","2009-11-07"
"cond-mat/0204007","Pengcheng Dai","H. J. Kang, Pengcheng Dai, D. Mandrus, R. Jin, H. A. Mook, D. T.
  Adroja, S. M. Bennington, S.-H. Lee, and J. W. Lynn","Doping evolution of the phonon density of states and electron-lattice
  interaction in Nd$_{2-x}$Ce$_x$CuO$_{4+\delta}$","4 pages and 3 figures",,"10.1103/PhysRevB.66.064506",,"cond-mat.supr-con cond-mat.str-el",,"  We use inelastic neutron scattering to study the evolution of the generalized
phonon density of states (GDOS) of the $n$-type high-$T_c$ superconductor
Nd$_{2-x}$Ce$_x$CuO$_{4+\delta}$ (NCCO), from the half-filled Mott-insulator
($x=0$) to the $T_c=24$ K superconductor ($x=0.15$). Upon doping the CuO$_2$
planes in Nd$_2$CuO$_{4+\delta}$ (NCO) with electrons by Ce substitution, the
most significant change in the GDOS is the softening of the highest phonon
branches associated with the Cu-O bond stretching and out-of-plane oxygen
vibration modes. However, the softening occurs within the first few percent of
Ce-doping and is not related to the electron doping induced
nonsuperconducting-superconducting transition (NST) at $x\approx 0.12$. These
results suggest that the electron-lattice coupling in the $n$-type high-$T_c$
superconductors is different from that in the $p$-type materials.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 22:58:02 GMT""}]","2009-11-07"
"cond-mat/0204008","E. V. sampathkumaran","Subham Majumdar, E.V. Sampathkumaran, St. Berger, M. Della Mea, H.
  Michor, E. Bauer, M. Brando, J. Hemberger, A. Loidl","An unusual interplay among disorder, Kondo-effect and spin-glass
  behavior in the Kondo lattices, Ce$_2$Au$_{1-x}$Co$_x$Si$_3$","4 pages, 3 figures","Solid State Commun. 121 (2002) 665","10.1016/S0038-1098(02)00053-4",,"cond-mat.str-el cond-mat.mtrl-sci",,"  We report the results of magnetic measurements for the solid solution
Ce$_2$Au$_{1-x}$Co$_x$Si$_3$. The results reveal that this solid solution is
characterized by a magnetic phase diagram (plot of magnetic transition
temperature versus $x$) unusual for Kondo lattices. In particular, the
spin-glass freezing induced by disorder is observed only for the compositions
at the weak coupling limit; as one approaches the quantum critical point by a
gradual replacement of Au by Co, this disorder effect is surprisingly
suppressed in favor of long range antiferro-magnetic ordering in contrast to
expectations. This unusual interplay between disorder, spin-glass freezing and
the Kondo-effect calls for further refinement of theories on competition
between magnetism and the Kondo effect.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 06:34:28 GMT""}]","2009-11-07"
"cond-mat/0204009","Akira Endo","A. Endo and Y. Iye","Anisotropic transport in unidirectional lateral superlattice around
  half-filling of the second Landau level","REVTeX, 5 pages, 3 figures, Some minor revisions, Added notes and
  references","Phys. Rev. B 66, 075333 (2002)","10.1103/PhysRevB.66.075333",,"cond-mat.mes-hall",,"  We have observed marked transport anisotropy in short period (a=92 nm)
unidirectional lateral superlattices around filling factors nu=5/2 and 7/2:
magnetoresistance shows a sharp peak for current along the modulation grating
while a dip appears for current across the grating. By altering the ratio a/l
(with l=sqrt{hbar/eB_perp} the magnetic length) via changing the electron
density n_e, it is shown that the nu=5/2 anisotropic features appear in the
range 6.6 alt a/l alt 7.2 varying their intensities, becoming most conspicuous
at a/l simeq 6.7. The peak/dip broadens with temperature roughly preserving its
height/depth up to 250 mK. Tilt experiments reveal that the structures are
slightly enhanced by an in-plane magnetic field B_| perpendicular to the
grating but are almost completely destroyed by B_| parallel to the grating. The
observations suggest the stabilization of a unidirectional charge-density-wave
or stripe phase by weak external periodic modulation at the second Landau
level.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 07:08:33 GMT""},{""version"":""v2"",""created"":""Wed, 19 Jun 2002 12:28:07 GMT""}]","2009-11-07"
"cs/0204001","David Eppstein","David Eppstein and Joseph Wang","A steady state model for graph power laws","8 pages, 5 figures",,,,"cs.DM cond-mat.dis-nn cs.SI",,"  Power law distribution seems to be an important characteristic of web graphs.
Several existing web graph models generate power law graphs by adding new
vertices and non-uniform edge connectivities to existing graphs. Researchers
have conjectured that preferential connectivity and incremental growth are both
required for the power law distribution. In this paper, we propose a different
web graph model with power law distribution that does not require incremental
growth. We also provide a comparison of our model with several others in their
ability to predict web graph clustering behavior.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 01:42:40 GMT""}]","2011-03-08"
"gr-qc/0204001","Kirill Bronnikov","Kirill A. Bronnikov (VNIIMS, Moscow; PFUR, Moscow)","Scalar-tensor gravity and conformal continuations","Latex2e, 13 pages, 3 bezier figures","J.Math.Phys.43:6096-6115,2002","10.1063/1.1519667",,"gr-qc",,"  Global properties of vacuum static, spherically symmetric configurations are
studied in a general class of scalar-tensor theories (STT) of gravity in
various dimensions. The conformal mapping between the Jordan and Einstein
frames is used as a tool. Necessary and sufficient conditions are found for the
existence of solutions admitting a conformal continuation (CC). The latter
means that a singularity in the Einstein-frame manifold maps to a regular
surface S_(trans) in the Jordan frame, and the solution is then continued
beyond this surface. S_(trans) can be an ordinary regular sphere or a horizon.
In the second case, S_(trans) proves to connect two epochs of a Kantowski-Sachs
type cosmology. It is shown that, in an arbitrary STT, with arbitrary potential
functions $U(\phi)$, the list of possible types of causal structures of vacuum
space-times is the same as in general relativity with a cosmological constant.
This is true even for conformally continued solutions. It is found that when
S_(trans) is an ordinary sphere, one of the generic structures appearing as a
result of CC is a traversable wormhole. Two explicit examples are presented: a
known solution illustrating the emergence of singularities and wormholes, and a
nonsingular 3-dimensional model with an infinite sequence of CCs.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 09:53:51 GMT""}]","2014-11-17"
"hep-ph/0203275","Vernizzi Filippo","R. Durrer and F. Vernizzi (U. de Geneve)","Adiabatic perturbations in pre big bang models: matching conditions and
  scale invariance","11 pages, 1 figure, revised version with small corrections to match
  version in print. Results and conclusions unchanged","Phys.Rev. D66 (2002) 083503","10.1103/PhysRevD.66.083503",,"hep-ph astro-ph",,"  At low energy, the four-dimensional effective action of the ekpyrotic model
of the universe is equivalent to a slightly modified version of the pre big
bang model. We discuss cosmological perturbations in these models. In
particular we address the issue of matching the perturbations from a collapsing
to an expanding phase in full generality. We show that, generically, one
obtains $n=0$ for the spectrum of scalar perturbations in the original pre big
model (with vanishing potential). When an exponential potential for the dilaton
is included, a scale invariant spectrum ($n=1$) of adiabatic scalar
perturbations is produced under very generic matching conditions, both in a
modified pre big bang and ekpyrotic scenario. We also derive general results
valid for power law scale factors matched to a radiation dominated era.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 17:42:52 GMT""},{""version"":""v2"",""created"":""Wed, 4 Sep 2002 19:54:53 GMT""}]","2009-11-07"
"hep-ph/0203276","Andrei Belitsky","A.V. Belitsky, X. Ji","Chiral structure of nucleon gravitational form factors","10 pages, LaTeX, 1 figure","Phys.Lett.B538:289-297,2002","10.1016/S0370-2693(02)02025-7",,"hep-ph",,"  We study the low momentum behavior of nucleon gravitational form factors in
the framework of the heavy baryon chiral perturbation theory. At zero recoil
they determine the momentum and spin apportion between nucleon constituents.
Our result provides an insight into the response of the nucleon's pion cloud to
an external weak gravitational field and establishes a theoretical framework
for extrapolation of experimental and lattice data on the nucleon form factors
to zero momentum transfer. We also discuss form factors corresponding to
higher-rank tensor currents related to the moments of generalized parton
distributions.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 20:15:04 GMT""},{""version"":""v2"",""created"":""Thu, 11 Apr 2002 19:30:35 GMT""}]","2011-07-19"
"hep-ph/0204001","Krishna Rajagopal","Mark Alford (Glasgow), Krishna Rajagopal (MIT)","Absence of two-flavor color-superconductivity in compact stars","Significant changes to correct an error in the derivation of the free
  energy for neutral CFL quark matter; result unchanged. 18 pages, 2 figures","JHEP 0206 (2002) 031","10.1088/1126-6708/2002/06/031","GUTPA/02/03/02, MIT-CTP-3258","hep-ph nucl-th",,"  The simplest pattern of color superconductivity involves BCS pairing between
up and down quarks. We argue that this ``2SC'' phase will not arise within a
compact star. A macroscopic volume of quark matter must be electrically neutral
and must be a color singlet. Satisfying these requirements imposes a
significant free energy cost on the 2SC phase, but not on color-flavor locked
(CFL) quark matter, in which up, down and strange quarks all pair. As a
function of increasing density, therefore, one may see a single phase
transition from hadronic matter directly to CFL quark matter. Alternatively,
there may be an intervening phase in which the different flavors self-pair, or
pair with each other in a non-BCS pattern, such as in a crystalline color
superconductor.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 23:07:38 GMT""},{""version"":""v2"",""created"":""Fri, 17 May 2002 20:57:19 GMT""}]","2009-11-07"
"hep-ph/0204002","Jeonghyeon Song","C. S. Kim, J. D. Kim (Yonsei Univ.) and Jeonghyeon Song (KIAS)","Top quark Kaluza-Klein mode mixing in the Randall-Sundrum bulk Standard
  Model and B -> X_s gamma","To satisfy the rho constraint, the model is minimally extended. The
  final version to appear in PRD","Phys.Rev. D67 (2003) 015001","10.1103/PhysRevD.67.015001","KIAS P02017","hep-ph",,"  We study top quark Kaluza-Klein (KK) mode mixing in the Randall-Sundrum
scenario with all the SM fermions and gauge bosons in the bulk. Even though the
simple assumption of universal bulk fermion mass m_psi leads to the same KK
mass spectrum for all the SM fermions and thus suppresses new contributions to
the flavor changing neutral current and the rho parameter, large Yukawa
coupling of the top quark generates the mixing among its KK modes and breaks
the degeneracy: Unacceptably large contribution to rho occurs. In order to
satisfy the rho constraint, we relax the model by assigning a different bulk
fermion mass to SU(2) singlet bottom quark, and demonstrate that there exists
some limited parameter space where the $\Delta\rho$ constraint is satisfied. It
is also shown that the current measurement of Br(B -> X_s + gamma) can be
accommodated in this modified model, and one sigma level precision constrains
the effective weak scale k_{EW} such as k_{EW} ~ 3 TeV for m_psi/k=-0.4, where
k_{EW} is the warp-suppressed AdS_5 curvature.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 23:20:24 GMT""},{""version"":""v2"",""created"":""Mon, 11 Nov 2002 01:48:02 GMT""}]","2009-11-07"
"hep-ph/0204003","Lianshou  Liu","Liu Lianshou","On the Phase Space Partition in High Energy Collisions","4 pages, 6 figures",,,,"hep-ph",,"  In high energy hadron-hadron and e+e- collisions, to isolate a part of the
phase space in multi-hadron final states is necessary for exploring the
underlying dynamics. It is shown that the partition of phase space according to
the value of rapidity, popularly used in hadron-hadron collisions, is
inappropriate for the study of e+e- collisions. The proper way in the latter
case is to identify the visible jets and take them as objects for detailed
study, forming an extended phase space. The value y_cut^(0) of the
distance-measure for the identification of visible jets is determined. A new
variable $r$ is introduced to further partition the phase space inside jets,
which possesses a very good anomalous scaling property, showing that the
$r$-distribution inside jets is a self-similar fractal.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 02:19:23 GMT""}]","2007-05-23"
"hep-th/0203274","Justin Khoury","J. Khoury (Princeton), R.-J. Zhang (IAS)","On the Friedmann Equation in Brane-World Scenarios","4 pages. v2,v3: discussion on BBN extended, minor corrections","Phys.Rev.Lett. 89 (2002) 061302","10.1103/PhysRevLett.89.061302",,"hep-th astro-ph gr-qc hep-ph",,"  The Friedmann law on the brane generically depends quadratically on the brane
energy density and involves a ``dark radiation'' term due to the bulk Weyl
tensor. Despite its unfamiliar form, we show how it can be derived from a
standard four-dimensional Brans-Dicke theory at low energy. In particular, the
dark radiation term is found to depend linearly on the brane energy densities.
For any equation of state on the branes, the radion evolves such as to generate
radiation-dominated cosmology. The radiation-dominated era is conventional and
consistent with nucleosynthesis.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 18:44:09 GMT""},{""version"":""v2"",""created"":""Thu, 6 Jun 2002 19:40:16 GMT""},{""version"":""v3"",""created"":""Tue, 11 Jun 2002 23:22:19 GMT""}]","2009-11-07"
"hep-th/0204002","Makoto Sakaguchi","Machiko Hatsuda, Kiyoshi Kamimura and Makoto Sakaguchi","Super-PP-wave Algebra from Super-AdS x S Algebras in Eleven-dimensions","9 pages, LaTex2e file","Nucl.Phys. B637 (2002) 168-176","10.1016/S0550-3213(02)00468-6","KEK-TH-814, TOHO-CP-0271","hep-th",,"  Maximally supersymmetric spacetime algebras in eleven-dimensions, which are
the isometry superalgebras of Minkowski space, AdS_7 x S^4, AdS_4 x S^7 and
pp-wave background, are related by Inonu-Wigner contractions. The
super-AdS_{4(7)} x S^{7(4)} algebras allow to introduce two contraction
parameters, the one for the flat limit to the super-Poincare algebra and the
other for a Penrose limit to the super-pp-wave algebra. Under these
contractions supersymmetries are maintained because the Jacobi identity of
three supercharges holds for any values of contraction parameters.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 04:18:35 GMT""}]","2009-11-07"
"math/0203291","Wilhelm Schlag","W. Schlag (Caltech)","On continuum incidence problems related to harmonic analysis","38 pages, no figures",,,,"math.CA math-ph math.MP",,"  We consider certain estimates involving averaging operators over curves and
hypersurfaces that can be cast into a combinatorial framework. We show that
hypersurfaces with nonzero rotational curvature satisfy the usual restricted
weak-type bound, but our proof does not involve the Fourier transform.
Secondly, we show that a Strichartz-type estimate for the wave equation in 2+1
dimensions can be obtained in a similar fashion, and we give a simplified proof
of Wolff's endpoint theorem for maximal averages over circles. Finally,
examples are provided that show what the optimal bound can be for the tangency
problem of circles in the plane.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 20:14:39 GMT""},{""version"":""v2"",""created"":""Fri, 29 Mar 2002 22:54:15 GMT""},{""version"":""v3"",""created"":""Tue, 2 Apr 2002 06:38:14 GMT""}]","2007-05-23"
"math/0203292","Bjorn Poonen","Bjorn Poonen","Squarefree values of multivariable polynomials","16 pages, Latex 2e, will appear in Duke Mathematical Journal","Duke Math. J. 118 (2003), no. 2, 353-373","10.1215/S0012-7094-03-11826-8",,"math.NT",,"  Given f in Z[x_1,...,x_n], we compute the density of x in Z^n such that f(x)
is squarefree, assuming the abc conjecture. Given f,g in Z[x_1,...,x_n], we
compute unconditionally the density of x in Z^n such that gcd(f(x),g(x))=1.
Function field analogues of both results are proved unconditionally. Finally,
assuming the abc conjecture, given f in Z[x], we estimate the size of the image
of f({1,2,...,n}) in (Q^*/Q^*2) union {0}.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 20:52:30 GMT""},{""version"":""v2"",""created"":""Mon, 16 Sep 2002 19:03:56 GMT""}]","2017-04-03"
"math/0204001","Bjorn Poonen","Bjorn Poonen","Using elliptic curves of rank one towards the undecidability of
  Hilbert's Tenth Problem over rings of algebraic integers","10 pages, Latex 2e. This article will appear in the Proceedings of
  the Algorithmic Number Theory Symposium V, in the Springer Lecture Notes in
  Computer Science series, accessible electronically at
  http://www.springer.de/comp/lncs/index.html","Algorithmic number theory (Sydney, 2002), 33-42, Lecture Notes in
  Comput. Sci., 2369, Springer, Berlin, 2002","10.1007/3-540-45455-1_4",,"math.NT",,"  Let F and K be number fields, with F contained in K. and let O_F and O_K be
their rings of integers. If there exists an elliptic curve E over F such that
E(F) and E(K) have rank 1, then there exists a diophantine definition of O_F
over O_K.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 21:13:49 GMT""}]","2017-04-03"
"math/0204002","Bjorn Poonen","Bjorn Poonen","Bertini theorems over finite fields","22 pages, Latex 2e","Ann. of Math. (2) 160 (2004), no. 3, 1099-1127","10.4007/annals.2004.160.1099",,"math.AG math.NT",,"  Let X be a smooth quasiprojective subscheme of P^n of dimension m >= 0 over
F_q. Then there exist homogeneous polynomials f over F_q for which the
intersection of X and the hypersurface f=0 is smooth. In fact, the set of such
f has a positive density, equal to zeta_X(m+1)^{-1}, where
zeta_X(s)=Z_X(q^{-s}) is the zeta function of X. An analogue for regular
quasiprojective schemes over Z is proved, assuming the abc conjecture and
another conjecture.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 22:03:50 GMT""}]","2017-04-03"
"math/0204003","Gefry Barad","Gefry Barad (Johns Hopkins Univ.)","The Homology of the real moduli spaces \bar(M)_(0,n)","the paper has been withdrawn",,,,"math.AG hep-ph hep-th math-ph math.AT math.CO math.MP",,"  We compute the rank of the first homology group and we study the higher Betti
numbers of the real points of the Deligne-Mumford-Knudsen compactification of
stable n-pointed curves of genus 0,which coincides with the Chow quotient
(RP^1)^n//PGL(2,R)(after Kapranov).
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 01:22:29 GMT""},{""version"":""v2"",""created"":""Mon, 8 Apr 2002 02:47:16 GMT""},{""version"":""v3"",""created"":""Tue, 9 Apr 2002 05:11:42 GMT""},{""version"":""v4"",""created"":""Wed, 10 Apr 2002 01:19:34 GMT""},{""version"":""v5"",""created"":""Wed, 18 Sep 2002 19:13:50 GMT""}]","2007-05-23"
"math/0204004","Pasha Zusmanovich","Pasha Zusmanovich","Deformations of $W_1(n) \otimes A$ and modular semisimple Lie algebras
  with a solvable maximal subalgebra","v8: fixed a typo","J. Algebra 268 (2003), 603-635","10.1016/S0021-8693(03)00295-3",,"math.RA math.KT","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In one of his last papers, Boris Weisfeiler proved that if modular semisimple
Lie algebra possesses a solvable maximal subalgebra which defines in it a long
filtration, then associated graded algebra is isomorphic to one constructed
from the Zassenhaus algebra tensored with the divided powers algebra. We
completely determine such class of algebras, calculating in process
low-dimensional cohomology groups of Zassenhaus algebra tensored with any
associative commutative algebra.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 15:40:13 GMT""},{""version"":""v2"",""created"":""Sun, 17 Nov 2002 18:40:39 GMT""},{""version"":""v3"",""created"":""Sun, 2 Mar 2003 09:37:06 GMT""},{""version"":""v4"",""created"":""Sun, 12 Jul 2009 12:40:24 GMT""},{""version"":""v5"",""created"":""Sat, 28 Nov 2009 19:47:07 GMT""},{""version"":""v6"",""created"":""Fri, 14 May 2010 23:30:04 GMT""},{""version"":""v7"",""created"":""Fri, 27 Jan 2012 17:42:22 GMT""},{""version"":""v8"",""created"":""Tue, 14 Oct 2014 11:10:45 GMT""}]","2014-10-15"
"nlin/0203062","C. Chandre","C. Chandre and T. Uzer","Stochastic ionization through noble tori: Renormalization results",,"Phys. Rev. E 65, 026211 (2002)","10.1103/PhysRevE.65.026211",,"nlin.CD",,"  We find that chaos in the stochastic ionization problem develops through the
break-up of a sequence of noble tori. In addition to being very accurate, our
method of choice, the renormalization map, is ideally suited for analyzing
properties at criticality. Our computations of chaos thresholds agree closely
with the widely used empirical Chirikov criterion.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 16:58:46 GMT""}]","2009-11-07"
"nlin/0203063","C. Chandre","C. Chandre","Renormalization for cubic frequency invariant tori in Hamiltonian
  systems with two degrees of freedom",,"Discrete and Continuous Dynamical Systems - Series B 2, 457 (2002)",,,"nlin.CD",,"  We consider the break-up of invariant tori in Hamiltonian systems with two
degrees of freedom with a frequency which belongs to a cubic field. We define
and construct renormalization-group transformations in order to determine the
threshold of the break-up of these tori. A first transformation is defined from
the continued fraction expansion of the frequency, and a second one is defined
with a fixed frequency vector in a space of Hamiltonians with three degrees of
freedom.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 18:31:51 GMT""}]","2007-05-23"
"nucl-th/0203080","Deepak P. N.","G. Ramachandran and P.N. Deepak","Radiative capture of polarized neutrons by polarized protons","Revised version; typeset using RevTeX4; 6 pages, no figures","Mod.Phys.Lett. A19 (2004) 1411","10.1142/S0217732304013696",,"nucl-th",,"  A model-independent irreducible tensor approach to p(n,gamma)d is presented
and an explicit form for the spin-structure of the matrix for the reaction is
obtained in terms of the Pauli spin-matrices for the neutron and the proton.
Expressing the multipole amplitudes in terms of the triplet --> triplet and
singlet --> triplet transitions, we point out how the initial singlet and
triplet contributions to the differential cross section can be determined
empirically.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 16:01:35 GMT""},{""version"":""v2"",""created"":""Thu, 8 Aug 2002 19:18:33 GMT""}]","2009-11-07"
"nucl-th/0203081","Marty Stock","Earle L. Lomon","Effect of recent R_p and R_n measurements on extended Gari-Krumpelmann
  model fits to nucleon electromagnetic form factors","14 pages, 8 figures, using RevTeX4; email correspondence to
  lomon@lns.mit.edu ; minor typos corrected, figures added, conclusions
  extended","Phys.Rev.C66:045501,2002","10.1103/PhysRevC.66.045501","MIT-CTP-3257","nucl-th",,"  The Gari-Krumpelmann (GK) models of nucleon electromagnetic form factors, in
which the rho, omega, and phi vector meson pole contributions evolve at high
momentum transfer to conform to the predictions of perturbative QCD (pQCD), was
recently extended to include the width of the rho meson by substituting the
result of dispersion relations for the pole and the addition of rho' (1450)
isovector vector meson pole. This extended model was shown to produce a good
overall fit to all the available nucleon electromagnetic form factor (emff)
data. Since then new polarization data shows that the electric to magnetic
ratios R_p and R_n obtained are not consistent with the older G_{Ep} and G_{En}
data in their range of momentum transfer. The model is further extended to
include the omega' (1419) isoscalar vector meson pole. It is found that while
this GKex cannot simultaneously fit the new R_p and the old G_{En} data, it can
fit the new R_p and R_n well simultaneously. An excellent fit to all the
remaining data is obtained when the inconsistent G_{Ep} and G_{En} is omitted.
The model predictions are shown up to momentum transfer squared, Q^2, of 8
GeV^2/c^2.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 20:55:32 GMT""},{""version"":""v2"",""created"":""Fri, 12 Apr 2002 19:56:12 GMT""},{""version"":""v3"",""created"":""Fri, 2 Aug 2002 18:56:01 GMT""}]","2008-11-26"
"physics/0204002","Yuan-nan Young","Alexandros Alexakis, Yuan-Nan Young and Robert Rosner","Weakly non-linear analysis of wind-driven gravity waves","32 pages, 13 figures, submitted to Journal of Fluid Mechanics,
  http://astro.uchicago.edu/home/web/young",,,,"physics.flu-dyn physics.ao-ph physics.geo-ph",,"  We study the weakly non-linear development of shear-driven gravity waves, and
investigate the mixing properties of the finite amplitude solutions.
Calculations to date have been restricted to the linear theory, which predicts
that gravity waves are amplified by an influx of energy through the critical
layer, where the velocity of the wind equals the wave phase velocity. Because
of the presence of a critical layer, ordinary weakly non-linear methods fail;
in this paper, we use a rescaling at the critical layer and matched asymptotics
to derive an amplitude equation for the most unstable wave, under the
simplifying assumption that the physical domain is periodic. These amplitude
equations are solved numerically, in their quasi-steady limit, for the cases of
small density ratio (applicable to oceanography), and for arbitrary density
ratio but strong stratification (for more general physical/astrophysical
situations). In addition to the familiar asymptotic growth found in other
inviscid flow, we find that, for the air over water case (provided the maximum
wind velocity is in the range of $0.2\mpers \sim 1\mpers$), the single mode
transitions from exponential to algebraic growth when the amplitude of the wave
is as small as $h\sim 10^{-5}\lambda$; hence, it may be difficult to observe
the linear regime for this case in numerical simulations. We also find that the
weakly non-linear flow allows for super-diffusive particle transport with an
exponent $\sim 3/2$, consistent with Venkataramani's results.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 02:02:38 GMT""}]","2007-05-23"
"physics/0204003","V. A. Kuz'menko","V.A.Kuz'menko","The role of intense line wings in the process of infrared
  multiple--photon excitation of polyatomic molecules","LaTeX2e, 9pages, 7 PS figures",,,,"physics.optics",,"  The results of experimental testing the existence of intense Lorentzian--like
wings with FWHM $\sim 4.5 cm^{-1}$ in the absorption spectra of polyatomic
molecules in a gas phase are presented. Two independent experimental methods
were used for evaluating the integral intensity of the line wings for a number
of substances. In the first case, the cross--section of the far wings of
absorption bands in a gas phase spectrum were measured. Then, these band wings
were extrapolated inside the contour of absorption band. In the second case,
the saturation degree of the linear spectrum of molecules was determined.
Radiation of a pulsed $CO_2$--laser was used at low gas pressure ($\sim 16$
mtorr) and averaged excitation level of molecules ${<n>}\sim 0.1$
quanta/molecule. The values obtained by these two independent methods coincide
for a variety of molecules. The average relative integral intensity of the line
wings varied from $\sim 0.6%$ for $SF_6$ and $SiF_4$ to $\sim 90%$ for
$(CF_3)_2O$ and $(CF_3)_2CO$.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 11:07:46 GMT""}]","2007-05-23"
"physics/0204004","W. Woelfli","W. Woelfli, W. Baltensperger, R. Nufer","An additional planet as a model for the Pleistocene Ice Age","11 pages, Latex, 5 figures",,,,"physics.geo-ph",,"  We propose a model for the Pleistocene Ice Age, assuming the following
scenario: Between 3 Myr and 11.5 kyr BP a Mars-sized object existed which moved
in a highly eccentric orbit. Originating from this object, gas clouds with a
complex dynamics reduced Earth's insolation and caused a drop in the global
temperature. In a close encounter, 11.5 kyr ago, tidal forces deformed the
Earth. While the shape of the gyroscope Earth relaxed, the North Pole moved
geographically from Greenland to its present position. During this close
encounter, the object was torn to pieces, each of which subsequently evaporated
or plunged into the sun. These events terminated the Ice Age Epoch.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 13:24:43 GMT""}]","2007-05-23"
"quant-ph/0203152","Alexandre Pechen","A.A. Baranov, A.N. Pechen, I.V. Volovich","Space Dependence of Entangled States and Franson-type EPR Experiments","7 pages","Mathematical Modelling in Physics, Engineering and Cognitive
  Science, Vol. 10, ed. A. Yu. Khrennikov, Vaxjo University, 2004, 83--91",,,"quant-ph hep-th math-ph math.MP",,"  We analyze some aspects of recently performed Franson-type experiments with
entangled photon pairs aimed to test Bell's inequalities. We point out that
quantum theory leads to the coincidence rate between detectors which includes
in fact a dependence on the distance. We study this dependence and obtain that
for large distances the correlation function vanishes. Therefore with taking
into account the space parts of wave functions of photons for large distances
quantum mechanical predictions are consistent with Bell's inequalities. We
propose an experimental study of space dependence of correlation functions in
Bell-type experiments.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 18:46:39 GMT""}]","2021-06-23"
"quant-ph/0203153","H. N. M. Gheorghiu","S. Gheorghiu-Svirschevski","Quantum nonlocality and quantum dynamics","Latex2e/RevTex4; 5 pgs; submitted to Phys.Lett.A. Sec.4 removed and
  superseded by quant-ph/0207042. Sec.3 now includes argument on equivalence of
  ""remote preparation"" to ""projection postulate"", and a well-behaved nonlinear
  example for illustration",,,,"quant-ph",,"  We argue that usual quantum statics and the dynamical equivalence of mixed
quantum states to {\it probabilistic mixtures}suffice to guarantee a linear
evolution law, which necessarily complies with the no-signaling condition.
Alternatively, there are nonlinear dynamical extensions that treat mixed states
as {\it elementary mixtures} and evolve {\it every}pure state linearly and
unitarily. But if all {\it entangled} pure states evolve linearly, then
elementary mixtures cannot evolve nonlinearly without challenging quantum
locality. Conversely, any such extension that is relativistically well behaved
demands a nonlinear evolution [decoherence] of pure entangled states. Wherefrom
follows that the linear evolution of entangled pure states provides an
unequivocal signature of linear quantum dynamics.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 16:58:17 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jul 2002 19:09:07 GMT""}]","2007-05-23"
