"astro-ph/0209192","Gianfranco Bertone","Gianfranco Bertone, Claudia Isola, Martin Lemoine, Guenter Sigl","Ultra-High Energy Heavy Nuclei Propagation in Extragalactic Magnetic
  Fields","10 pages, 16 figures, submitted to PRD","Phys.Rev. D66 (2002) 103003","10.1103/PhysRevD.66.103003",,"astro-ph hep-ph",,"  We extend existing work on the propagation of ultra-high energy cosmic rays
in extragalactic magnetic fields to a possible component of heavy nuclei,
taking into account photodisintegration, pion production, and creation of e+e-
pairs. We focus on the influence of the magnetic field on the spectrum and
chemical composition of observed ultra-high energy cosmic rays. We apply our
simulations to the scenarios proposed by Anchordoqui et al, in which Iron
nuclei are accelerated in nearby starburst galaxies, and show that it is in
marginal agreement with the data. We also show that it is highly unlikely to
detect He nuclei from M87 at the highest energies observed $\sim3 10^{20} $eV
as required for the scenario of Ahn et al. in which the highest energy cosmic
rays originate from M87 and are deflected in a Parker spiral Galactic magnetic
field.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:58:44 GMT""}]","2009-11-07"
"cond-mat/0209267","Satishchandra B. Ogale","Y. G. Zhao, S. R. Shinde, S. B. Ogale, J. Higgins, S. E. Lofland, C.
  Lanci, J. P. Buban, N. D. Browning, S. Das Sarma, A. J. Millis, V.N.
  Kulkarni, R. J. Choudhary, R. L. Greene, T. Venkatesan","Co-doped LaLa1-xSrxTiO3-d : A Diluted Magnetic Oxide System with High
  Curie Temperature","To be appeared in Appl. Phys. Lett",,"10.1063/1.1610796",,"cond-mat.str-el",,"  Ferromagnetism is observed at and above room temperature in pulsed laser
deposited epitaxial films of Co-doped Ti-based oxide perovskite
(La1-xSrxTiO3-d). The system has the characteristics of an intrinsic diluted
magnetic semiconductor (metal) at low concentrations (<~ 2 %), but develops
inhomogeneity at higher cobalt concentrations. The films range from being
opaque metallic to transparent semiconducting depending on the oxygen pressure
during growth and are yet ferromagnetic.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:08:27 GMT""},{""version"":""v2"",""created"":""Wed, 26 Feb 2003 17:33:48 GMT""},{""version"":""v3"",""created"":""Thu, 31 Jul 2003 19:53:12 GMT""}]","2009-11-07"
"cond-mat/0209268","Javier Hernandez-Rojas","Javier Hernandez-Rojas and David J. Wales","Density effects in a bulk binary Lennard-Jones system","10 pages, 7 figures","Phys. Rev. B 68, 144202 (2003)","10.1103/PhysRevB.68.144202",,"cond-mat.dis-nn cond-mat.soft",,"  Properties of local minima as a function of density are studied in a binary
Lennard-Jones system for kinetic equipartition temperatures $T=1.0$ (normal
liquid), 0.5 (supercooled liquid), and 0.4 (glass), in reduced units. The
number of different local minima sampled, energy, pressure, normal mode angular
frequencies, mean distance between all pairs of local minima and partial radial
distribution functions are presented. In agreement with previous studies by
Sastry [Phys. Rev. Lett. {\bf 85}, 590 (2000)] a limiting density is found at
$\rho_l=1.06$ with negative pressure, below which the local structure of the
glass and the supercooled phases are essentially the same, as evidenced by the
partial radial distribution functions. The mean energy, pressure, and normal
mode frequencies have values that are practically independent of the
temperature below $\rho_l$.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:26:50 GMT""}]","2009-11-07"
"cond-mat/0209269","Bob Laughlin","R. B. Laughlin","Gossamer Superconductivity","4 pages of REVTeX, no figures",,,,"cond-mat.supr-con",,"  An new superconducting hamiltonian is introduced for which the exact ground
state is the Anderson resonating valence bond. It differs from the t-J and
hubbard hamiltonians in possessing a powerful attractive force. Its
superconducting state is characterized by a full and intact d-wave tunneling
gap, quasiparticle photoemission intensities that are strongly suppressed, a
suppressed superfluid density, and an incipient Mott-Hubbard gap.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 17:32:47 GMT""}]","2007-05-23"
"cond-mat/0209270","James S. Schilling","S. Deemyad, T. Tomita, J. J. Hamlin, B. R. Beckett, J. S. Schilling,
  D. G. Hinks, J. D. Jorgensen, S. Lee, S. Tajima","Dependence of the superconducting transition temperature of single- and
  polycrystalline MgB2 on hydrostatic pressure","Invited paper for a special edition of Physica on MgB2","Physica C 385, 105 (2003)","10.1016/S0921-4534(02)02300-6",,"cond-mat.supr-con",,"  The dependence of Tc for MgB2 on purely hydrostatic or nearly hydrostatic
pressure has been determined to 23 GPa for single-crystalline and to 32 GPa for
polycrystalline samples, and found to be in good agreement. Tc decreases from
39 K at ambient pressure to 15 K at 32 GPa with an initial slope dTc/dP =
-1.11(2) K/GPa. Evidence is presented that the differing values of dTc/dP
reported in the literature result primarily from shear-stress effects in
nonhydrostatic pressure media and not differences in the samples. Although
comparison of these results with theory supports phonon-mediated
superconductivity, a critical test of theory must await volume-dependent
calculations based on the solution of the anisotropic Eliashberg equations.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 18:04:48 GMT""}]","2009-11-07"
"cond-mat/0209271","Sergei Nechaev","A.A.Naidenov and S.K.Nechaev","On the Reactions A+A+...+A->0 at a One-Dimensional Periodic Lattice of
  Catalytic Centers: Exact Solution","LaTeX, 8 pages","JETP Letters, 76 (2002), 61--65","10.1134/1.1507229",,"cond-mat.stat-mech",,"  The kinetics of the diffusion-controlled chemical reactions A+A+...+A->0 that
occur at catalytic centers periodically arranged along a straight line is
considered. Modes of the behavior of reaction probability W(t) were studied at
different times and different densities of the catalyst. Within the
Smoluchowski approximation, it was rigorously proved that at large times the
function W(t) is independent of the lattice period. This means that, in the
given asymptotic mode, the probability of the reaction on a lattice with a
catalyst placed in each lattice site is the same as on a lattice with a
catalyst placed in sparse sites.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 19:48:21 GMT""}]","2009-11-07"
"cond-mat/0209272","Fu-Chun Zhang","F. C. Zhang","Gossamer Superconductor, Mott Insulator, and Resonating Valence Bond
  State in Correlated Electron Systems",,,"10.1103/PhysRevLett.90.207002",,"cond-mat.str-el",,"  Gutzwiller variational method is applied to an effective two-dimensional
Hubbard model to examine the recently proposed gossamer superconductor by
Laughlin. The ground state at half filled electron density is a gossamer
superconductor for smaller intra-site Coulomb repulsion U and a Mott insulator
for larger U. The gossamer superconducting state is similar to the resonant
valence bond superconducting state, except that the chemical potential is
approximately pinned at the mid of the two Hubbard bands away from the half
filled.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 20:16:51 GMT""}]","2009-11-07"
"cond-mat/0209273","Daniel Murphy","Daniel Murphy, Edgar Genio, Guenter Ahlers, Fengchuan Liu, and
  Yuanming Liu","Finite-Size Scaling and Universality of the Thermal Resistivity of
  Liquid $^4$He near $T_\lambda$",,,"10.1103/PhysRevLett.90.025301",,"cond-mat",,"  We present measurements of the thermal resistivity $\rho(t,P,L)$ near the
superfluid transition of $^4$He at saturated vapor pressure and confined in
cylindrical geometries with radii $L=0.5$ and 1.0 $\mu$m ($t\equiv
T/T_\lambda(P) - 1$). For $L = 1.0 \mu$m measurements at six pressures $P$ are
presented. At and above $T_\lambda$ the data are consistent with a universal
scaling function $F=(L/\xi_0)^{x/\nu}(R/R_0)$, $X= (L/\xi_0)^{1/\nu}t$ valid
for all $P$ ($R_0$ and $x$ are the pressure-dependent amplitude and effective
exponent of the bulk resistivity $R$ and $\xi = \xi_0 t^{-\nu}$ is the
correlation length).
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 21:46:18 GMT""}]","2009-11-07"
"cond-mat/0209274","Aurel Bulgac","Paulo F. Bedaque, Aurel Bulgac and Gautam Rupak","Quantum Corrections to Dilute Bose Liquids","final published version, typos corrected, updated references and
  added one reference","Phys.Rev. A68 (2003) 033606","10.1103/PhysRevA.68.033606",,"cond-mat.stat-mech nucl-th physics.atom-ph",,"  It was recently shown (A. Bulgac. Phys. Rev. Lett. {\bf 89}, 050402 (2002))
that an entirely new class of quantum liquids with widely tunable properties
could be manufactured from bosons (boselets), fermions (fermilets) and their
mixtures (ferbolets) by controlling their interaction properties by the means
of a Feshbach resonance. We extend the previous mean--field analysis of these
quantum liquids by computing the lowest order quantum corrections to the ground
state energy and the depletion of the Bose--Einstein condensate and by
estimating higher order corrections as well. We show that the quantum
corrections are relatively small and controlled by the diluteness parameter
$\sqrt{n|a|^3} \ll 1$, even though strictly speaking in this case there is no
low density expansion.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 23:37:48 GMT""},{""version"":""v2"",""created"":""Fri, 20 Sep 2002 17:47:42 GMT""},{""version"":""v3"",""created"":""Sun, 26 Oct 2003 01:28:17 GMT""}]","2009-11-07"
"cond-mat/0209275","J. J. Lin","J. J. Lin, T. J. Li and Y. L. Zhong","Electron dephasing near zero temperature: an experimental review",,"J. Phys. Soc. Jpn. 72 (Suppl. A), 7 (2003)","10.1143/JPSJS.72SA.7",,"cond-mat.mes-hall",,"  The behavior of the electron dephasing time near zero temperature,
$\tau_\phi^0$, has recently attracted vigorous attention. This renewed interest
is primarily concerned with whether $\tau_\phi^0$ should reach a finite or an
infinite value as $T \to$ 0. While it is accepted that $\tau_\phi^0$ should
diverge if there exists only electron-electron (electron-phonon) scattering,
several recent measurements have found that $\tau_\phi^0$ depends only very
weakly on temperature, if at all, when $T$ is sufficiently low. This article
discusses the current experimental status of ""the saturation problem"", and
concludes that the origin(s) for this widely observed saturation are still
unresolved.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 00:04:57 GMT""}]","2012-08-17"
"cond-mat/0209276","J. E. Hoffman","J. E. Hoffman, K. McElroy, D.-H. Lee, K. M Lang, H. Eisaki, S. Uchida,
  J.C. Davis","Imaging Quasiparticle Interference in Bi2Sr2CaCu2O8+d","10 pages text, 4 pages figures","Science 297, 1148-1151 (2002)","10.1126/science.1072640",,"cond-mat.supr-con",,"  Scanning tunneling spectroscopy of the high-Tc superconductor Bi2Sr2CaCu2O8+d
reveals weak, incommensurate, spatial modulations in the tunneling conductance.
Images of these energy-dependent modulations are Fourier analyzed to yield the
dispersion of their wavevectors. Comparison of the dispersions with
photoemission spectroscopy data indicates that quasiparticle interference, due
to elastic scattering between characteristic regions of momentum-space,
provides a consistent explanation for the conductance modulations, without
appeal to another order parameter. These results refocus attention on
quasiparticle scattering processes as potential explanations for other
incommensurate phenomena in the cuprates. The momentum-resolved tunneling
spectroscopy demonstrated here also provides a new technique with which to
study quasiparticles in correlated materials.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 00:12:15 GMT""}]","2009-11-07"
"cond-mat/0209277","Akio Tsukada","M. Naito, A. Tsukada, T. Greibe, H. Sato","Phase control in La-214 epitaxial thin films","15 pages, 12 figures included, to appear in proceedings of SPIE
  Vol.#4811",,"10.1117/12.455498",,"cond-mat.supr-con",,"  The lanthanide (Ln) copper oxides of the general chemical formula Ln2CuO4
take two different crystal structures: K2NiF4(T) and Nd2CuO4(T'). La2CuO4 takes
the T structure by high-temperature bulk processes. The ""thermal expansion
mismatch"" between the La-O and Cu-O bonds predicts that the T' phase of La2CuO4
can be stabilized at synthesis temperatures below 425 deg. Such low synthesis
temperatures are difficult to access by bulk processes, but easy by thin-film
processes. We have surveyed growth parameters in molecular beam epitaxy, and
succeeded in the selective stabilization of T- and T'-La2CuO4. From our
observations, it turns out that the growth temperature as well as the substrate
play a crucial role in the selective stabilization: the T' structure is
stabilized at low growth temperatures (< 600 deg.) and with substrates of a <
3.70 Ang or a > 3.90 Ang, while the T structure is stabilized at high growth
temperatures (> 650 deg) or with substrates of a ~ 3.70 - 3.85 Ang. We have
also been attempting hole (Ca, Sr, and Ba) and electron (Ce) doping into both
of T- and T'-La2CuO4. In T-La2CuO4, hole doping produces the well-known LSCO
and LBCO. Surprisingly, contrary to the empirical law, electron doping is also
possible up to x ~ 0.06 - 0.08, although the films do not show
superconductivity. In T'-La2CuO4, electron doping produces superconducting
T'-(La,Ce)2CuO4 with Tc ~ 30 K, although hole doping has as yet been
unsuccessful.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 05:27:55 GMT""}]","2015-06-24"
"cond-mat/0209278","Becca Federico","Federico Becca, Frederic Mila, and Didier Poilblanc","Tetramerisation of a frustrated spin-1/2 chain",,"Physical Review Letters 91, 067202 (2003)","10.1103/PhysRevLett.91.067202",,"cond-mat.str-el",,"  We investigate a model of a frustrated spin-1/2 Heisenberg chain coupled to
adiabatic phonons with a general form of magnetoelastic coupling. For large
enough frustration and lattice coupling a new tetramerised phase with three
different bond lengths is found. We argue that the zig-zag spin-1/2 chain
LiV$_2$O$_5$ might be a good candidate to observe such a phase.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 08:48:11 GMT""}]","2009-11-07"
"cond-mat/0209279","Yong Chen","Yong Chen, Ying Hai Wang and Kong Qing Yang","The macroscopic dynamics in separable neural networks","5 pages","Published in Phys. Rev. E 63, 041901(2001)",,,"cond-mat.dis-nn",,"  The parallel dynamics is given in the case of neural networks with separable
coupling through starting from Coolen-Sherrington (CS) theory. It is shown that
this retrieve dynamics as is the case of sequential evolution in the postulate
of away from saturation and finite temperature. The finite-size effects is
governed by a homogeneous Markov process, which differs from the time-dependent
Ornstein-Uhlenbeck process in sequential dynamics. PACS number(s): 87.10.+e,
75.10.Nr, 02.50.+s
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 09:38:10 GMT""}]","2007-05-23"
"cond-mat/0209280","Damian H. Zanette","Damian H. Zanette","Non-monotonic dependence on disorder in biased diffusion on small-world
  networks","6 pages, 2 figures, submitted to Europhys. Lett",,"10.1209/epl/i2002-00670-x",,"cond-mat.stat-mech",,"  We report numerical simulations of a strongly biased diffusion process on a
one-dimensional substrate with directed shortcuts between randomly chosen
sites, i.e. with a small-world-like structure. We find that, unlike many other
dynamical phenomena on small-world networks, this process exhibits
non-monotonic dependence on the density of shortcuts. Specifically, the
diffusion time over a finite length is maximal at an intermediate density. This
density scales with the length in a nontrivial manner, approaching zero as the
length grows. Longer diffusion times for intermediate shortcut densities can be
ascribed to the formation of cyclic paths where the diffusion process becomes
occasionally trapped.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 09:43:49 GMT""}]","2009-11-07"
"cond-mat/0209281","Akio Tsukada","A. Tsukada, T. Greibe, M. Naito","Phase control of La2CuO4 in thin-film synthesis","4 pages, 5 figures, submitted to PRB, revtex",,"10.1103/PhysRevB.66.184515",,"cond-mat.supr-con",,"  The lanthanum copper oxide, La2CuO4, which is an end member of the prototype
high-Tc superconductors (La,Sr)2CuO4 and (La,Ba)2CuO4, crystallizes in the
""K2NiF4"" structure in high-temperature bulk synthesis. The crystal chemistry,
however, predicts that La2CuO4 is at the borderline of the K2NiF4 stability and
that it can crystallize in the Nd2CuO4 structure at low synthesis temperatures.
In this article we demonstrate that low-temperature thin-film synthesis
actually crystallizes La2CuO4 in the Nd2CuO4 structure. We also show that the
phase control of ""K2NiF4""-type La2CuO4 versus ""Nd2CuO4""-type La2CuO4 can be
achieved by varying the synthesis temperature and using different substrates.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 09:59:42 GMT""}]","2009-11-07"
"cond-mat/0209282","Yong Chen","Yong Chen, Ying Hai Wang and Kong Qing Yang","The attractors in sequence processing neural networks","3 pages, 6 figures","Published in Int. J. Mod. Phys. C11, 33(2000)","10.1142/S0129183100000043",,"cond-mat.dis-nn",,"  The average length and average relaxation time of attractors in sequence
processing neural networks are investigated. The simulation results show that a
critical point of $\alpha $, the loading ratio, is found. Below the turning
point, the average length is equal to the number of stored patterns;
conversely, the ratio of length and numbers of stored patterns, grow with an
exponential dependence $\exp (A\alpha) $. Moreover, we find that the logarithm
of average relaxation time is only linearly associated with $\alpha $ and the
turning point of coupling degree is located for examining robustness of
networks.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 10:16:10 GMT""}]","2015-06-24"
"cond-mat/0209283","Yunori Nisikawa","Yunori Nisikawa and Kosaku Yamada","A Mechanism of Spin-Triplet Superconductivity in Hubbard Model on
  Triangular La ttice: Application to UNi_2Al_3","11pages, 5figures","J. Phys. Soc. Jpn. 71, 2629-2632 (2002)","10.1143/JPSJ.71.2629",,"cond-mat.str-el cond-mat.supr-con",,"  We discuss the possibility of spin-triplet superconductivity in a
two-dimensional Hubbard model on a triangular lattice within the third-order
perturbation theory. When we vary the symmetry in the dispersion of the bare
energy band from D_2 to D_6, spin-singlet superconductivity in the
D_2-symmetric system is suppressed and we obtain spin-triplet superconductivity
in near the D_6-symmetric system. In this case, it is found that the vertex
terms, which are not included in the interaction mediated by the spin
fluctuation, are essential for realizing the spin-triplet pairing. We point out
the possibility that obtained results correspond to the difference between the
superconductivity of UNi_2Al_3 and that of UPd_2Al_3.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 10:33:19 GMT""},{""version"":""v2"",""created"":""Fri, 27 Sep 2002 03:09:51 GMT""},{""version"":""v3"",""created"":""Thu, 17 Oct 2002 23:58:32 GMT""},{""version"":""v4"",""created"":""Sat, 3 Dec 2005 05:50:56 GMT""}]","2007-05-23"
"cond-mat/0209285","Takahiro Aoyama","T. Aoyama, K. Ishikawa, and N. Maeda","Optimal orientation of striped states in the quantum Hall system against
  external modulations (in 26th ICPS proceedings)","8 pages, 7 figures. In proceedings of the 26th ICPS. Including the
  result at $l=3,4,5,6,7,8$ Landau levels which is expanding work of
  cond-mat/0106484",,,,"cond-mat.mes-hall cond-mat.dis-nn",,"  The physical properties of striped Hall state in the presence of an external
unidirectional periodic potential is investigated. The study of searching the
optimal orientation of the state is reported for the state at filling factor
$\nu=2+1/2$ and for the state at higher Landau levels at $l+1/2$ where
$l=3,4,5,6,7,8$. It is predicted that two phases of the orientation, parallel
phase and perpendicular phase, exist and a phase transition from one to another
phase occurs.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 10:42:07 GMT""}]","2007-05-23"
"cond-mat/0209286","Vitaly Braude","V. Braude and A. Stern","Vortex shear effects in layered superconductors","11 pages, 7 figures, submitted to Phys. Rev. B","Phys. Rev. B 67, 064501 (2003)","10.1103/PhysRevB.67.064501",,"cond-mat.supr-con",,"  Motivated by recent transport and magnetization measurements in BSCCO samples
[B. Khaykovich et. al., Phys. Rev. B 61, R9261 (2000)], we present a simple
macroscopic model describing effects of inhomogeneous current distribution and
shear in a layered superconductor. Parameters of the model are deduced from a
microscopic calculation. Our model accounts for the strong current
non-linearities and the re-entrant temperature dependence observed in the
experiment.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 11:04:43 GMT""}]","2009-11-07"
"cond-mat/0209287","Geza Odor","Geza Odor","On the critical behavior of the one dimensional, diffusive pair contact
  process","6 pages, 8 figures included, minor changes","Phys.Rev. E 67 (2003) 016111.","10.1103/PhysRevE.67.016111",,"cond-mat.stat-mech cond-mat.soft",,"  The phase transition of the one-dimensional, diffusive pair contact process
(PCPD) is investigated by N cluster mean-field approximations and high
precision simulations. The N=3,4 cluster approximations exhibit smooth
transition line to absorbing state by varying the diffusion rate D with
beta_2=2 mean-field order parameter exponent of the pair density. This
contradicts with former N=2 results, where two different mean-field behavior
was found along the transition line. Extensive dynamical simulations on L=10^5
lattices give estimates for the order parameter exponents of the particles for
0.05 <= D <= 0.7. These data can support former two distinct class findings.
However the gap between low and high D exponents is narrower than estimated
previously and the possibility for interpreting numerical data as a single
class behavior with exponents alpha=0.21(1), beta=0.41(1) assuming logarithmic
corrections is shown. Finite size scaling and cluster simulation results are
also presented.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 14:59:37 GMT""},{""version"":""v2"",""created"":""Fri, 20 Sep 2002 12:12:16 GMT""}]","2009-11-07"
"cond-mat/0209288","Balazs Dora","Bal\'azs D\'ora, Kazumi Maki, Attila Virosztek","Imperfect nesting and transport properties in unconventional density
  waves","9 pages, 9 figures","Phys. Rev. B 66, 165116 (2002)","10.1103/PhysRevB.66.165116",,"cond-mat.str-el",,"  We consider the effect of imperfect nesting in quasi-one dimensional
unconventional density waves.
  The phase diagram is very close to those in a conventional DW. The linear and
non-linear aspects of the electric conductivity are discussed. At T=0 the
frequency dependent electric conductivity develops a small dip at low
frequencies.
  The threshold electric field depends strongly on the imperfect nesting
parameter, allowing us to describe the measured threshold electric field in the
low temperature phase of the quasi-two dimensional organic conductor,
alpha-(BEDT-TTF)_2KHg(SCN)_4 very well.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 12:36:57 GMT""}]","2016-08-31"
"cond-mat/0209289","Magdalena Milata","K. Zieleniec, K. Wojcik, M. Milata, and J. Kapusta","Some physical properties of lead iron niobate","10 pages with 1 table (html), 7 figures (png), submitted to
  Ferroelectrics",,,,"cond-mat.mtrl-sci",,"  The results of the X-ray, microscopic, magnetic, and dielectric measurements
performed for PFN single crystals and ceramic samples are presented. The
influence of the technological conditions on selected physical properties of
the materials examined is shown.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 12:45:06 GMT""}]","2007-05-23"
"cond-mat/0209290","Timo Aspelmeier","T. Aspelmeier, M. A. Moore, A. P. Young","Interface energies in Ising spin glasses","4 pages. Minor changes and clarifications","Phys. Rev. Lett. 90, 127202 (2003)","10.1103/PhysRevLett.90.127202",,"cond-mat.dis-nn",,"  The replica method has been used to calculate the interface free energy
associated with the change from periodic to anti-periodic boundary conditions
in finite-dimensional spin glasses. At mean-field level the interface free
energy vanishes but after allowing for fluctuation effects, a non-zero
interface free energy is obtained which is significantly different from
numerical expectations.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 13:44:17 GMT""},{""version"":""v2"",""created"":""Mon, 16 Dec 2002 17:36:49 GMT""},{""version"":""v3"",""created"":""Tue, 25 Feb 2003 14:22:54 GMT""}]","2009-11-07"
"cond-mat/0209291","Adeline Crepieux","A. Crepieux, R. Guyon, P. Devillard and T. Martin","Electron injection in a nanotube: noise correlations and entanglement","12 pages, 2 figures","Phys. Rev. B 67, 205408 (2003)","10.1103/PhysRevB.67.205408",,"cond-mat.mes-hall cond-mat.str-el",,"  Transport through a metallic carbon nanotube is considered, where electrons
are injected in the bulk by a scanning tunneling microscope tip. The charge
current and noise are computed both in the absence and in the presence of one
dimensional Fermi liquid leads. For an infinite homogeneous nanotube, the shot
noise exhibits effective charges different from the electron charge. Noise
correlations between both ends of the nanotube are positive, and occur to
second order only in the tunneling amplitude. The positive correlations are
symptomatic of an entanglement phenomenon between quasiparticles moving right
and left from the tip. This entanglement involves many body states of the boson
operators which describe the collective excitations of the Luttinger liquid.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 14:16:38 GMT""},{""version"":""v2"",""created"":""Wed, 4 Dec 2002 01:38:51 GMT""},{""version"":""v3"",""created"":""Thu, 20 Mar 2003 13:47:19 GMT""}]","2009-11-07"
"cond-mat/0209292","Zohar Nussinov","Zohar Nussinov","Avoided Phase Transitions and Glassy Dynamics In Geometrically
  Frustrated Systems and Non-Abelian Theories","26 pages, 6 figures, 1 table (To appear in Physical Review B)",,"10.1103/PhysRevB.69.014208",,"cond-mat hep-th",,"  We demonstrate that the application of any external uniform non-abelian gauge
background, no matter how small, leads to a greatly enhanced degeneracy. This
degeneracy is so large that even a non-abelian background field of
infinitesimal strength leads to a shocking change in the thermodynamics. The
critical temperature might be discontinuously depressed and an ""avoided
critical point"" will emerge. Similar models were previously employed to
describe the micropscopics of metallic glasses and correctly predicted the
locations of the structure factor peaks. We will compare one of the fitted
parameters in these plots (the magnitude of the ""avoided critical temperature""
for each of the supercooled liquids) and demonstrate that, on average, these
might be well predicted by our microscopic picture. We find a generalized
version of the Mermin-Wagner inequality which connects the magnitude of the
order parameter (the absence of entropic effects) to the characteristic
relaxation times present in any system. We derive Vogel-Fulcher dynamics for a
multitude of glass models (including non-Abelian gauge backgrounds), and try to
fortify earlier ideas suggesting avoided critical dynamics.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:16:04 GMT""},{""version"":""v2"",""created"":""Sun, 16 Mar 2003 23:46:40 GMT""},{""version"":""v3"",""created"":""Wed, 29 Oct 2003 21:53:10 GMT""}]","2013-05-29"
"cond-mat/0209293","Yong Chen","Qi Li, Yong Chen and Ying Hai Wang","Coupling parameter in synchronization of diluted neural networks","3 pages, 8 figures","Published in Phys. Rev. E65, 041916(2002)","10.1103/PhysRevE.65.041916",,"cond-mat.dis-nn",,"  We study the critical features of coupling parameter in the synchronization
of neural networks with diluted synapses. Based on simulations, the exponential
decay form is observed in the extreme case of global coupling among subsystems
and fully linking in each network: there exists maximum and minimum of the
critical coupling intensity for synchronization in this spatially extended
system. For the partial coupling, we present the primary result about the
critical coupling fraction for various linking degrees of networks.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 14:59:46 GMT""}]","2009-11-07"
"cond-mat/0209294","Xue Feng Wang","X. F. Wang and P. Vasilopoulos","Spin-depedent transmission of holes through periodically modulated
  diluted magnetic semiconductor waveguides","5figures","Appl. Phys. Lett. 81, 1636 (2002)","10.1063/1.1502020",,"cond-mat.mes-hall",,"  We study spin transport of holes through stubless or stubbed waveguides
modulated periodically by diluted magnetic semiconductor (DMS) sections of
width b1 . Injected holes of up (down) spin feel a periodically modulated
barrier (well) potential in the DMS sections and have different transmission
(T) coefficients. T oscillates with b1 for spin-down and decreases fast for
spin-up holes while the relative polarization Pr depends nearly periodically on
the stub height. Using asymmetric stubs leads to a nearly square-wave pattern
in T and to wide plateaus in Pr . T oscillates with the length between the DMS
sections. With two DMS sections per unit, T shows periodically wide gaps for
spin-down holes when a DMS width is varied. The results can be used to create
efficient spin filters.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 15:35:57 GMT""}]","2009-11-07"
"gr-qc/0209038","Sanjay M. Wagh","Sanjay M Wagh and Keshlan S Govinder","Radially homothetic spacetime is of Petrov-type D","Latex4, No figures",,,,"gr-qc",,"  It is well-known \cite{mtbh} that {\em all} black hole solutions of General
Relativity are of Petrov-type D. It may thus be expected that the spacetime of
{\em physically realizable} spherical gravitational collapse is also of
Petrov-type D. We show that a radially homothetic spacetime, {\em ie}, a
spherically symmetric spacetime with hyper-surface orthogonal, radial,
homothetic Killing vector, is of Petrov-type D. As has been argued in
\cite{prl1}, it is a spacetime of {\em physically realizable} spherical
collapse.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 03:37:28 GMT""}]","2007-05-23"
"gr-qc/0209039","Massimo Tinto","Thomas A. Prince, Massimo Tinto, Shane L. Larson, and J.W. Armstrong","The LISA Optimal Sensitivity","Equation (20) of the previous version contained a typographical
  error, which now has been corrected. The final results of the paper are
  unchanged","Phys.Rev. D66 (2002) 122002","10.1103/PhysRevD.66.122002",,"gr-qc",,"  The multiple Doppler readouts available on the Laser Interferometer Space
Antenna (LISA) permit simultaneous formation of several interferometric
observables. All these observables are independent of laser frequency
fluctuations and have different couplings to gravitational waves and to the
various LISA instrumental noises. Within the functional space of
interferometric combinations LISA will be able to synthesize, we have
identified a triplet of interferometric combinations that show optimally
combined sensitivity. As an application of the method, we computed the
sensitivity improvement for sinusoidal sources in the nominal, equal-arm LISA
configuration. In the part of the Fourier band where the period of the wave is
longer than the typical light travel-time across LISA, the sensitivity gain
over a single Michelson interferometer is equal to $\sqrt{2}$. In the mid-band
region, where the LISA Michelson combination has its best sensitivity, the
improvement over the Michelson sensitivity is slightly better than $\sqrt{2}$,
and the frequency band of best sensitivity is broadened. For frequencies
greater than the reciprocal of the light travel-time, the sensitivity
improvement is oscillatory and $\sim \sqrt{3}$, but can be greater than
$\sqrt{3}$ near frequencies that are integer multiples of the inverse of the
one-way light travel-time in the LISA arm.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 06:45:36 GMT""},{""version"":""v2"",""created"":""Wed, 4 Jun 2003 05:04:15 GMT""}]","2009-11-07"
